Geography,Year,Count
BF.CE,1901,28.05
BF.CE,1902,28.25
BF.CE,1903,28.65
BF.CE,1904,28.65
BF.CE,1905,28.13
BF.CE,1906,28.6
BF.CE,1907,28.28
BF.CE,1908,28.42
BF.CE,1909,28.32
BF.CE,1910,28.46
BF.CE,1911,27.9
BF.CE,1912,28.5
BF.CE,1913,28.66
BF.CE,1914,28.98
BF.CE,1915,27.83
BF.CE,1916,27.26
BF.CE,1917,27.51
BF.CE,1918,27.33
BF.CE,1919,28.65
BF.CE,1920,28.69
BF.CE,1921,28.65
BF.CE,1922,28.07
BF.CE,1923,28.09
BF.CE,1924,28.55
BF.CE,1925,28.1
BF.CE,1926,28.26
BF.CE,1927,27.52
BF.CE,1928,27.7
BF.CE,1929,27.56
BF.CE,1930,28.26
BF.CE,1931,28.85
BF.CE,1932,28.64
BF.CE,1933,28.52
BF.CE,1934,28.87
BF.CE,1935,29.4
BF.CE,1936,28.61
BF.CE,1937,29.93
BF.CE,1938,30.18
BF.CE,1939,29.41
BF.CE,1940,28.72
BF.CE,1941,29.23
BF.CE,1942,29.07
BF.CE,1943,28.55
BF.CE,1944,28.95
BF.CE,1945,28.55
BF.CE,1946,28.45
BF.CE,1947,28.96
BF.CE,1948,28.34
BF.CE,1949,29.02
BF.CE,1950,28.01
BF.CE,1951,28.74
BF.CE,1952,28.53
BF.CE,1953,28.4
BF.CE,1954,28.35
BF.CE,1955,28.15
BF.CE,1956,28.36
BF.CE,1957,28.36
BF.CE,1958,28.87
BF.CE,1959,28.73
BF.CE,1960,28.5
BF.CE,1961,28.09
BF.CE,1962,28.26
BF.CE,1963,28.57
BF.CE,1964,28.38
BF.CE,1965,28.35
BF.CE,1966,28.59
BF.CE,1967,28.38
BF.CE,1968,28.57
BF.CE,1969,29.01
BF.CE,1970,28.88
BF.CE,1971,28.32
BF.CE,1972,28.48
BF.CE,1973,28.93
BF.CE,1974,28.12
BF.CE,1975,28.03
BF.CE,1976,27.95
BF.CE,1977,28.4
BF.CE,1978,28.39
BF.CE,1979,28.52
BF.CE,1980,28.77
BF.CE,1981,28.85
BF.CE,1982,28.65
BF.CE,1983,29.08
BF.CE,1984,29.05
BF.CE,1985,29.03
BF.CE,1986,28.84
BF.CE,1987,29.36
BF.CE,1988,28.71
BF.CE,1989,28.41
BF.CE,1990,29.02
BF.CE,1991,28.74
BF.CE,1992,28.38
BF.CE,1993,28.84
BF.CE,1994,28.46
BF.CE,1995,28.82
BF.CE,1996,28.96
BF.CE,1997,28.99
BF.CE,1998,29.31
BF.CE,1999,28.91
BF.CE,2000,28.99
BF.CE,2001,29.12
BF.CE,2002,29.28
BF.CE,2003,29.22
BF.CE,2004,29.25
BF.CE,2005,29.56
BF.CE,2006,29.28
BF.CE,2007,29.32
BF.CE,2008,28.79
BF.CE,2009,29.55
BF.CE,2010,29.53
BF.CE,2011,29.44
BF.CE,2012,29.14
BF.CE,2013,29.24
BF.CE,2014,29.39
BF.CE,2015,29.33
BF.CE,2016,29.55
BF.CE,2017,29.35
BF.CE,2018,29.42
BF.CE,2019,29.23
BF.CE,2020,29.51
BF.CE,2021,29.89
BF.CE,2022,29.13
