Geography,Year,Count
BF.CN,1901,28.43
BF.CN,1902,28.72
BF.CN,1903,29.22
BF.CN,1904,29.22
BF.CN,1905,28.72
BF.CN,1906,29.07
BF.CN,1907,28.79
BF.CN,1908,28.97
BF.CN,1909,28.91
BF.CN,1910,28.96
BF.CN,1911,28.34
BF.CN,1912,29.0
BF.CN,1913,29.07
BF.CN,1914,29.44
BF.CN,1915,28.14
BF.CN,1916,27.39
BF.CN,1917,27.73
BF.CN,1918,27.48
BF.CN,1919,29.22
BF.CN,1920,29.25
BF.CN,1921,29.22
BF.CN,1922,28.45
BF.CN,1923,28.53
BF.CN,1924,29.1
BF.CN,1925,28.71
BF.CN,1926,28.67
BF.CN,1927,27.93
BF.CN,1928,28.18
BF.CN,1929,28.1
BF.CN,1930,28.67
BF.CN,1931,29.28
BF.CN,1932,29.02
BF.CN,1933,28.96
BF.CN,1934,29.23
BF.CN,1935,30.01
BF.CN,1936,29.21
BF.CN,1937,30.54
BF.CN,1938,30.72
BF.CN,1939,30.01
BF.CN,1940,29.27
BF.CN,1941,29.76
BF.CN,1942,29.66
BF.CN,1943,29.1
BF.CN,1944,29.51
BF.CN,1945,29.12
BF.CN,1946,29.03
BF.CN,1947,29.59
BF.CN,1948,28.92
BF.CN,1949,29.61
BF.CN,1950,28.5
BF.CN,1951,29.2
BF.CN,1952,28.69
BF.CN,1953,28.74
BF.CN,1954,28.75
BF.CN,1955,28.68
BF.CN,1956,28.86
BF.CN,1957,28.66
BF.CN,1958,29.29
BF.CN,1959,29.22
BF.CN,1960,28.89
BF.CN,1961,28.48
BF.CN,1962,28.74
BF.CN,1963,29.12
BF.CN,1964,28.81
BF.CN,1965,28.73
BF.CN,1966,29.09
BF.CN,1967,28.81
BF.CN,1968,29.14
BF.CN,1969,29.75
BF.CN,1970,29.47
BF.CN,1971,29.16
BF.CN,1972,29.28
BF.CN,1973,29.62
BF.CN,1974,28.77
BF.CN,1975,28.66
BF.CN,1976,28.58
BF.CN,1977,29.08
BF.CN,1978,29.25
BF.CN,1979,29.24
BF.CN,1980,29.55
BF.CN,1981,29.27
BF.CN,1982,29.12
BF.CN,1983,29.58
BF.CN,1984,29.71
BF.CN,1985,29.57
BF.CN,1986,29.33
BF.CN,1987,30.14
BF.CN,1988,29.31
BF.CN,1989,29.12
BF.CN,1990,29.74
BF.CN,1991,29.4
BF.CN,1992,28.99
BF.CN,1993,29.6
BF.CN,1994,28.97
BF.CN,1995,29.42
BF.CN,1996,29.61
BF.CN,1997,29.69
BF.CN,1998,29.94
BF.CN,1999,29.45
BF.CN,2000,29.62
BF.CN,2001,29.68
BF.CN,2002,29.93
BF.CN,2003,29.8
BF.CN,2004,29.94
BF.CN,2005,30.14
BF.CN,2006,29.79
BF.CN,2007,29.86
BF.CN,2008,29.3
BF.CN,2009,30.13
BF.CN,2010,30.09
BF.CN,2011,30.04
BF.CN,2012,29.68
BF.CN,2013,29.82
BF.CN,2014,29.93
BF.CN,2015,29.82
BF.CN,2016,30.13
BF.CN,2017,29.93
BF.CN,2018,30.04
BF.CN,2019,29.79
BF.CN,2020,30.09
BF.CN,2021,30.51
BF.CN,2022,29.73
