Geography,Year,Count
BF.CS,1901,27.92
BF.CS,1902,28.16
BF.CS,1903,28.57
BF.CS,1904,28.57
BF.CS,1905,28.08
BF.CS,1906,28.48
BF.CS,1907,28.2
BF.CS,1908,28.34
BF.CS,1909,28.26
BF.CS,1910,28.35
BF.CS,1911,27.81
BF.CS,1912,28.41
BF.CS,1913,28.52
BF.CS,1914,28.83
BF.CS,1915,27.69
BF.CS,1916,27.06
BF.CS,1917,27.33
BF.CS,1918,27.14
BF.CS,1919,28.57
BF.CS,1920,28.61
BF.CS,1921,28.56
BF.CS,1922,27.94
BF.CS,1923,27.96
BF.CS,1924,28.45
BF.CS,1925,28.05
BF.CS,1926,28.12
BF.CS,1927,27.34
BF.CS,1928,27.55
BF.CS,1929,27.45
BF.CS,1930,28.07
BF.CS,1931,28.65
BF.CS,1932,28.5
BF.CS,1933,28.41
BF.CS,1934,28.7
BF.CS,1935,29.28
BF.CS,1936,28.51
BF.CS,1937,29.86
BF.CS,1938,30.06
BF.CS,1939,29.3
BF.CS,1940,28.64
BF.CS,1941,29.11
BF.CS,1942,28.94
BF.CS,1943,28.43
BF.CS,1944,28.88
BF.CS,1945,28.5
BF.CS,1946,28.38
BF.CS,1947,28.89
BF.CS,1948,28.28
BF.CS,1949,28.93
BF.CS,1950,28.01
BF.CS,1951,28.62
BF.CS,1952,28.44
BF.CS,1953,28.38
BF.CS,1954,28.28
BF.CS,1955,28.09
BF.CS,1956,28.26
BF.CS,1957,28.29
BF.CS,1958,28.79
BF.CS,1959,28.68
BF.CS,1960,28.41
BF.CS,1961,28.06
BF.CS,1962,28.19
BF.CS,1963,28.49
BF.CS,1964,28.32
BF.CS,1965,28.3
BF.CS,1966,28.54
BF.CS,1967,28.33
BF.CS,1968,28.47
BF.CS,1969,28.96
BF.CS,1970,28.83
BF.CS,1971,28.25
BF.CS,1972,28.42
BF.CS,1973,28.84
BF.CS,1974,28.06
BF.CS,1975,27.98
BF.CS,1976,27.9
BF.CS,1977,28.41
BF.CS,1978,28.39
BF.CS,1979,28.51
BF.CS,1980,28.76
BF.CS,1981,28.76
BF.CS,1982,28.45
BF.CS,1983,29.03
BF.CS,1984,28.94
BF.CS,1985,28.85
BF.CS,1986,28.66
BF.CS,1987,29.33
BF.CS,1988,28.67
BF.CS,1989,28.38
BF.CS,1990,28.87
BF.CS,1991,28.63
BF.CS,1992,28.29
BF.CS,1993,28.75
BF.CS,1994,28.36
BF.CS,1995,28.65
BF.CS,1996,28.83
BF.CS,1997,28.85
BF.CS,1998,29.23
BF.CS,1999,28.77
BF.CS,2000,28.86
BF.CS,2001,29.03
BF.CS,2002,29.22
BF.CS,2003,29.08
BF.CS,2004,29.12
BF.CS,2005,29.46
BF.CS,2006,29.16
BF.CS,2007,29.19
BF.CS,2008,28.69
BF.CS,2009,29.31
BF.CS,2010,29.43
BF.CS,2011,29.3
BF.CS,2012,28.99
BF.CS,2013,29.15
BF.CS,2014,29.29
BF.CS,2015,29.26
BF.CS,2016,29.48
BF.CS,2017,29.3
BF.CS,2018,29.35
BF.CS,2019,29.14
BF.CS,2020,29.43
BF.CS,2021,29.81
BF.CS,2022,29.11
