Geography,Year,Count
BF.CT,1901,28.02
BF.CT,1902,28.32
BF.CT,1903,28.76
BF.CT,1904,28.76
BF.CT,1905,28.28
BF.CT,1906,28.64
BF.CT,1907,28.36
BF.CT,1908,28.54
BF.CT,1909,28.47
BF.CT,1910,28.52
BF.CT,1911,27.94
BF.CT,1912,28.59
BF.CT,1913,28.63
BF.CT,1914,28.99
BF.CT,1915,27.76
BF.CT,1916,27.06
BF.CT,1917,27.36
BF.CT,1918,27.14
BF.CT,1919,28.76
BF.CT,1920,28.8
BF.CT,1921,28.76
BF.CT,1922,28.04
BF.CT,1923,28.11
BF.CT,1924,28.63
BF.CT,1925,28.25
BF.CT,1926,28.25
BF.CT,1927,27.47
BF.CT,1928,27.7
BF.CT,1929,27.62
BF.CT,1930,28.2
BF.CT,1931,28.8
BF.CT,1932,28.62
BF.CT,1933,28.56
BF.CT,1934,28.82
BF.CT,1935,29.51
BF.CT,1936,28.71
BF.CT,1937,30.05
BF.CT,1938,30.23
BF.CT,1939,29.51
BF.CT,1940,28.82
BF.CT,1941,29.28
BF.CT,1942,29.14
BF.CT,1943,28.61
BF.CT,1944,29.06
BF.CT,1945,28.69
BF.CT,1946,28.58
BF.CT,1947,29.12
BF.CT,1948,28.47
BF.CT,1949,29.14
BF.CT,1950,28.11
BF.CT,1951,28.74
BF.CT,1952,28.49
BF.CT,1953,28.51
BF.CT,1954,28.45
BF.CT,1955,28.29
BF.CT,1956,28.45
BF.CT,1957,28.44
BF.CT,1958,28.96
BF.CT,1959,28.87
BF.CT,1960,28.55
BF.CT,1961,28.17
BF.CT,1962,28.34
BF.CT,1963,28.71
BF.CT,1964,28.49
BF.CT,1965,28.43
BF.CT,1966,28.69
BF.CT,1967,28.49
BF.CT,1968,28.66
BF.CT,1969,29.22
BF.CT,1970,29.02
BF.CT,1971,28.59
BF.CT,1972,28.7
BF.CT,1973,29.11
BF.CT,1974,28.29
BF.CT,1975,28.21
BF.CT,1976,28.13
BF.CT,1977,28.65
BF.CT,1978,28.71
BF.CT,1979,28.78
BF.CT,1980,29.13
BF.CT,1981,28.89
BF.CT,1982,28.58
BF.CT,1983,29.17
BF.CT,1984,29.15
BF.CT,1985,29.03
BF.CT,1986,28.83
BF.CT,1987,29.64
BF.CT,1988,28.89
BF.CT,1989,28.63
BF.CT,1990,29.14
BF.CT,1991,28.88
BF.CT,1992,28.5
BF.CT,1993,29.02
BF.CT,1994,28.55
BF.CT,1995,28.85
BF.CT,1996,29.09
BF.CT,1997,29.1
BF.CT,1998,29.45
BF.CT,1999,28.97
BF.CT,2000,29.07
BF.CT,2001,29.25
BF.CT,2002,29.46
BF.CT,2003,29.28
BF.CT,2004,29.39
BF.CT,2005,29.69
BF.CT,2006,29.31
BF.CT,2007,29.38
BF.CT,2008,28.87
BF.CT,2009,29.49
BF.CT,2010,29.6
BF.CT,2011,29.49
BF.CT,2012,29.17
BF.CT,2013,29.37
BF.CT,2014,29.46
BF.CT,2015,29.44
BF.CT,2016,29.69
BF.CT,2017,29.52
BF.CT,2018,29.58
BF.CT,2019,29.35
BF.CT,2020,29.64
BF.CT,2021,30.04
BF.CT,2022,29.3
