Geography,Year,Count
BF.ES,1901,28.32
BF.ES,1902,28.51
BF.ES,1903,28.9
BF.ES,1904,28.89
BF.ES,1905,28.37
BF.ES,1906,28.88
BF.ES,1907,28.53
BF.ES,1908,28.68
BF.ES,1909,28.56
BF.ES,1910,28.72
BF.ES,1911,28.16
BF.ES,1912,28.76
BF.ES,1913,28.95
BF.ES,1914,29.27
BF.ES,1915,28.11
BF.ES,1916,27.55
BF.ES,1917,27.8
BF.ES,1918,27.62
BF.ES,1919,28.9
BF.ES,1920,28.93
BF.ES,1921,28.89
BF.ES,1922,28.33
BF.ES,1923,28.42
BF.ES,1924,28.82
BF.ES,1925,28.33
BF.ES,1926,28.59
BF.ES,1927,27.97
BF.ES,1928,28.09
BF.ES,1929,27.9
BF.ES,1930,28.7
BF.ES,1931,29.25
BF.ES,1932,28.91
BF.ES,1933,28.82
BF.ES,1934,29.18
BF.ES,1935,29.64
BF.ES,1936,28.9
BF.ES,1937,30.16
BF.ES,1938,30.46
BF.ES,1939,29.71
BF.ES,1940,28.95
BF.ES,1941,29.56
BF.ES,1942,29.39
BF.ES,1943,28.84
BF.ES,1944,29.17
BF.ES,1945,28.72
BF.ES,1946,28.68
BF.ES,1947,29.22
BF.ES,1948,28.53
BF.ES,1949,29.28
BF.ES,1950,28.23
BF.ES,1951,29.0
BF.ES,1952,28.7
BF.ES,1953,28.57
BF.ES,1954,28.6
BF.ES,1955,28.39
BF.ES,1956,28.63
BF.ES,1957,28.53
BF.ES,1958,29.08
BF.ES,1959,28.96
BF.ES,1960,28.73
BF.ES,1961,28.27
BF.ES,1962,28.5
BF.ES,1963,28.83
BF.ES,1964,28.61
BF.ES,1965,28.56
BF.ES,1966,28.8
BF.ES,1967,28.6
BF.ES,1968,28.84
BF.ES,1969,29.31
BF.ES,1970,29.16
BF.ES,1971,28.62
BF.ES,1972,28.8
BF.ES,1973,29.21
BF.ES,1974,28.36
BF.ES,1975,28.26
BF.ES,1976,28.19
BF.ES,1977,28.62
BF.ES,1978,28.63
BF.ES,1979,28.77
BF.ES,1980,29.01
BF.ES,1981,29.08
BF.ES,1982,28.93
BF.ES,1983,29.29
BF.ES,1984,29.31
BF.ES,1985,29.29
BF.ES,1986,29.14
BF.ES,1987,29.61
BF.ES,1988,28.95
BF.ES,1989,28.64
BF.ES,1990,29.31
BF.ES,1991,29.0
BF.ES,1992,28.66
BF.ES,1993,29.13
BF.ES,1994,28.75
BF.ES,1995,29.14
BF.ES,1996,29.28
BF.ES,1997,29.3
BF.ES,1998,29.6
BF.ES,1999,29.21
BF.ES,2000,29.26
BF.ES,2001,29.39
BF.ES,2002,29.54
BF.ES,2003,29.52
BF.ES,2004,29.53
BF.ES,2005,29.82
BF.ES,2006,29.55
BF.ES,2007,29.6
BF.ES,2008,29.07
BF.ES,2009,29.9
BF.ES,2010,29.84
BF.ES,2011,29.74
BF.ES,2012,29.44
BF.ES,2013,29.53
BF.ES,2014,29.68
BF.ES,2015,29.55
BF.ES,2016,29.83
BF.ES,2017,29.62
BF.ES,2018,29.68
BF.ES,2019,29.49
BF.ES,2020,29.75
BF.ES,2021,30.14
BF.ES,2022,29.39
