Geography,Year,Count
BF.HB,1901,27.4
BF.HB,1902,27.82
BF.HB,1903,27.81
BF.HB,1904,27.9
BF.HB,1905,27.6
BF.HB,1906,27.71
BF.HB,1907,27.53
BF.HB,1908,27.87
BF.HB,1909,27.83
BF.HB,1910,27.81
BF.HB,1911,27.42
BF.HB,1912,27.94
BF.HB,1913,27.73
BF.HB,1914,28.0
BF.HB,1915,27.2
BF.HB,1916,26.66
BF.HB,1917,26.87
BF.HB,1918,26.67
BF.HB,1919,27.86
BF.HB,1920,27.91
BF.HB,1921,27.86
BF.HB,1922,27.36
BF.HB,1923,27.41
BF.HB,1924,27.73
BF.HB,1925,27.45
BF.HB,1926,27.45
BF.HB,1927,26.69
BF.HB,1928,26.85
BF.HB,1929,26.78
BF.HB,1930,27.23
BF.HB,1931,27.92
BF.HB,1932,27.68
BF.HB,1933,27.68
BF.HB,1934,27.9
BF.HB,1935,28.28
BF.HB,1936,27.78
BF.HB,1937,28.86
BF.HB,1938,28.97
BF.HB,1939,28.57
BF.HB,1940,27.95
BF.HB,1941,28.31
BF.HB,1942,28.12
BF.HB,1943,27.6
BF.HB,1944,28.16
BF.HB,1945,27.9
BF.HB,1946,27.7
BF.HB,1947,28.21
BF.HB,1948,27.63
BF.HB,1949,28.15
BF.HB,1950,27.46
BF.HB,1951,27.86
BF.HB,1952,27.62
BF.HB,1953,27.71
BF.HB,1954,27.44
BF.HB,1955,27.47
BF.HB,1956,27.57
BF.HB,1957,27.59
BF.HB,1958,28.03
BF.HB,1959,27.96
BF.HB,1960,27.67
BF.HB,1961,27.32
BF.HB,1962,27.42
BF.HB,1963,27.81
BF.HB,1964,27.48
BF.HB,1965,27.3
BF.HB,1966,27.73
BF.HB,1967,27.38
BF.HB,1968,27.64
BF.HB,1969,28.29
BF.HB,1970,28.04
BF.HB,1971,27.71
BF.HB,1972,27.86
BF.HB,1973,28.28
BF.HB,1974,27.49
BF.HB,1975,27.27
BF.HB,1976,27.2
BF.HB,1977,27.82
BF.HB,1978,27.76
BF.HB,1979,27.87
BF.HB,1980,28.39
BF.HB,1981,28.12
BF.HB,1982,27.71
BF.HB,1983,28.39
BF.HB,1984,28.22
BF.HB,1985,28.11
BF.HB,1986,27.8
BF.HB,1987,28.76
BF.HB,1988,28.05
BF.HB,1989,27.84
BF.HB,1990,28.18
BF.HB,1991,28.03
BF.HB,1992,27.7
BF.HB,1993,28.16
BF.HB,1994,27.59
BF.HB,1995,27.9
BF.HB,1996,28.26
BF.HB,1997,28.13
BF.HB,1998,28.61
BF.HB,1999,27.9
BF.HB,2000,28.08
BF.HB,2001,28.25
BF.HB,2002,28.65
BF.HB,2003,28.48
BF.HB,2004,28.54
BF.HB,2005,28.73
BF.HB,2006,28.3
BF.HB,2007,28.48
BF.HB,2008,28.02
BF.HB,2009,28.48
BF.HB,2010,28.65
BF.HB,2011,28.49
BF.HB,2012,28.14
BF.HB,2013,28.36
BF.HB,2014,28.43
BF.HB,2015,28.59
BF.HB,2016,28.81
BF.HB,2017,28.71
BF.HB,2018,28.67
BF.HB,2019,28.35
BF.HB,2020,28.77
BF.HB,2021,29.12
BF.HB,2022,28.44
