Geography,Year,Count
BF.PC,1901,28.13
BF.PC,1902,28.41
BF.PC,1903,28.87
BF.PC,1904,28.87
BF.PC,1905,28.37
BF.PC,1906,28.75
BF.PC,1907,28.46
BF.PC,1908,28.64
BF.PC,1909,28.57
BF.PC,1910,28.62
BF.PC,1911,28.04
BF.PC,1912,28.68
BF.PC,1913,28.75
BF.PC,1914,29.11
BF.PC,1915,27.87
BF.PC,1916,27.17
BF.PC,1917,27.48
BF.PC,1918,27.24
BF.PC,1919,28.87
BF.PC,1920,28.91
BF.PC,1921,28.87
BF.PC,1922,28.16
BF.PC,1923,28.21
BF.PC,1924,28.75
BF.PC,1925,28.36
BF.PC,1926,28.36
BF.PC,1927,27.6
BF.PC,1928,27.83
BF.PC,1929,27.74
BF.PC,1930,28.33
BF.PC,1931,28.94
BF.PC,1932,28.73
BF.PC,1933,28.66
BF.PC,1934,28.95
BF.PC,1935,29.64
BF.PC,1936,28.84
BF.PC,1937,30.18
BF.PC,1938,30.36
BF.PC,1939,29.64
BF.PC,1940,28.93
BF.PC,1941,29.41
BF.PC,1942,29.28
BF.PC,1943,28.74
BF.PC,1944,29.16
BF.PC,1945,28.78
BF.PC,1946,28.68
BF.PC,1947,29.23
BF.PC,1948,28.57
BF.PC,1949,29.25
BF.PC,1950,28.17
BF.PC,1951,28.88
BF.PC,1952,28.56
BF.PC,1953,28.55
BF.PC,1954,28.52
BF.PC,1955,28.37
BF.PC,1956,28.55
BF.PC,1957,28.46
BF.PC,1958,29.02
BF.PC,1959,28.94
BF.PC,1960,28.64
BF.PC,1961,28.25
BF.PC,1962,28.44
BF.PC,1963,28.8
BF.PC,1964,28.55
BF.PC,1965,28.5
BF.PC,1966,28.78
BF.PC,1967,28.57
BF.PC,1968,28.78
BF.PC,1969,29.32
BF.PC,1970,29.13
BF.PC,1971,28.68
BF.PC,1972,28.85
BF.PC,1973,29.21
BF.PC,1974,28.39
BF.PC,1975,28.31
BF.PC,1976,28.21
BF.PC,1977,28.73
BF.PC,1978,28.8
BF.PC,1979,28.86
BF.PC,1980,29.2
BF.PC,1981,28.99
BF.PC,1982,28.74
BF.PC,1983,29.27
BF.PC,1984,29.29
BF.PC,1985,29.18
BF.PC,1986,28.98
BF.PC,1987,29.72
BF.PC,1988,28.97
BF.PC,1989,28.73
BF.PC,1990,29.25
BF.PC,1991,29.01
BF.PC,1992,28.6
BF.PC,1993,29.15
BF.PC,1994,28.65
BF.PC,1995,29.0
BF.PC,1996,29.17
BF.PC,1997,29.23
BF.PC,1998,29.54
BF.PC,1999,29.09
BF.PC,2000,29.19
BF.PC,2001,29.32
BF.PC,2002,29.53
BF.PC,2003,29.39
BF.PC,2004,29.5
BF.PC,2005,29.77
BF.PC,2006,29.44
BF.PC,2007,29.51
BF.PC,2008,28.94
BF.PC,2009,29.66
BF.PC,2010,29.7
BF.PC,2011,29.63
BF.PC,2012,29.31
BF.PC,2013,29.46
BF.PC,2014,29.58
BF.PC,2015,29.52
BF.PC,2016,29.78
BF.PC,2017,29.58
BF.PC,2018,29.67
BF.PC,2019,29.43
BF.PC,2020,29.73
BF.PC,2021,30.12
BF.PC,2022,29.39
