Geography,Year,Count
BF.SO,1901,27.53
BF.SO,1902,27.85
BF.SO,1903,28.0
BF.SO,1904,28.04
BF.SO,1905,27.72
BF.SO,1906,27.94
BF.SO,1907,27.76
BF.SO,1908,27.96
BF.SO,1909,27.89
BF.SO,1910,27.93
BF.SO,1911,27.55
BF.SO,1912,28.01
BF.SO,1913,27.95
BF.SO,1914,28.22
BF.SO,1915,27.36
BF.SO,1916,26.87
BF.SO,1917,27.07
BF.SO,1918,26.91
BF.SO,1919,28.03
BF.SO,1920,28.08
BF.SO,1921,28.02
BF.SO,1922,27.54
BF.SO,1923,27.53
BF.SO,1924,27.91
BF.SO,1925,27.57
BF.SO,1926,27.64
BF.SO,1927,26.86
BF.SO,1928,27.08
BF.SO,1929,26.96
BF.SO,1930,27.45
BF.SO,1931,28.12
BF.SO,1932,27.91
BF.SO,1933,27.93
BF.SO,1934,28.14
BF.SO,1935,28.51
BF.SO,1936,27.96
BF.SO,1937,29.21
BF.SO,1938,29.35
BF.SO,1939,28.76
BF.SO,1940,28.11
BF.SO,1941,28.52
BF.SO,1942,28.28
BF.SO,1943,27.82
BF.SO,1944,28.33
BF.SO,1945,28.05
BF.SO,1946,27.84
BF.SO,1947,28.32
BF.SO,1948,27.77
BF.SO,1949,28.34
BF.SO,1950,27.54
BF.SO,1951,28.1
BF.SO,1952,27.98
BF.SO,1953,28.0
BF.SO,1954,27.81
BF.SO,1955,27.7
BF.SO,1956,27.84
BF.SO,1957,27.94
BF.SO,1958,28.3
BF.SO,1959,28.18
BF.SO,1960,27.88
BF.SO,1961,27.67
BF.SO,1962,27.7
BF.SO,1963,28.13
BF.SO,1964,27.7
BF.SO,1965,27.6
BF.SO,1966,27.97
BF.SO,1967,27.64
BF.SO,1968,27.92
BF.SO,1969,28.49
BF.SO,1970,28.32
BF.SO,1971,27.8
BF.SO,1972,27.95
BF.SO,1973,28.45
BF.SO,1974,27.68
BF.SO,1975,27.49
BF.SO,1976,27.4
BF.SO,1977,27.98
BF.SO,1978,27.87
BF.SO,1979,28.04
BF.SO,1980,28.3
BF.SO,1981,28.17
BF.SO,1982,27.84
BF.SO,1983,28.49
BF.SO,1984,28.38
BF.SO,1985,28.23
BF.SO,1986,27.99
BF.SO,1987,28.87
BF.SO,1988,28.25
BF.SO,1989,28.02
BF.SO,1990,28.38
BF.SO,1991,28.17
BF.SO,1992,27.88
BF.SO,1993,28.31
BF.SO,1994,27.92
BF.SO,1995,28.23
BF.SO,1996,28.39
BF.SO,1997,28.32
BF.SO,1998,28.85
BF.SO,1999,28.17
BF.SO,2000,28.29
BF.SO,2001,28.51
BF.SO,2002,28.81
BF.SO,2003,28.67
BF.SO,2004,28.66
BF.SO,2005,28.9
BF.SO,2006,28.56
BF.SO,2007,28.66
BF.SO,2008,28.27
BF.SO,2009,28.75
BF.SO,2010,28.88
BF.SO,2011,28.76
BF.SO,2012,28.4
BF.SO,2013,28.59
BF.SO,2014,28.69
BF.SO,2015,28.82
BF.SO,2016,29.03
BF.SO,2017,28.93
BF.SO,2018,28.88
BF.SO,2019,28.61
BF.SO,2020,29.02
BF.SO,2021,29.35
BF.SO,2022,28.65
