Geography,Year,Count
BI.BR,1901,19.86
BI.BR,1902,20.01
BI.BR,1903,19.85
BI.BR,1904,19.69
BI.BR,1905,19.54
BI.BR,1906,19.19
BI.BR,1907,19.15
BI.BR,1908,19.69
BI.BR,1909,19.1
BI.BR,1910,19.1
BI.BR,1911,19.11
BI.BR,1912,19.14
BI.BR,1913,19.09
BI.BR,1914,19.25
BI.BR,1915,19.22
BI.BR,1916,19.03
BI.BR,1917,18.83
BI.BR,1918,18.99
BI.BR,1919,19.11
BI.BR,1920,19.09
BI.BR,1921,19.64
BI.BR,1922,19.59
BI.BR,1923,19.56
BI.BR,1924,19.7
BI.BR,1925,19.65
BI.BR,1926,19.78
BI.BR,1927,19.71
BI.BR,1928,19.8
BI.BR,1929,18.92
BI.BR,1930,19.04
BI.BR,1931,19.42
BI.BR,1932,19.21
BI.BR,1933,19.12
BI.BR,1934,19.16
BI.BR,1935,19.38
BI.BR,1936,19.27
BI.BR,1937,19.2
BI.BR,1938,19.42
BI.BR,1939,19.41
BI.BR,1940,19.6
BI.BR,1941,19.78
BI.BR,1942,19.32
BI.BR,1943,19.41
BI.BR,1944,19.49
BI.BR,1945,19.45
BI.BR,1946,19.5
BI.BR,1947,19.32
BI.BR,1948,19.55
BI.BR,1949,19.88
BI.BR,1950,19.12
BI.BR,1951,19.5
BI.BR,1952,19.7
BI.BR,1953,19.82
BI.BR,1954,19.68
BI.BR,1955,19.61
BI.BR,1956,19.5
BI.BR,1957,19.76
BI.BR,1958,19.98
BI.BR,1959,19.75
BI.BR,1960,19.55
BI.BR,1961,19.73
BI.BR,1962,19.52
BI.BR,1963,19.47
BI.BR,1964,19.5
BI.BR,1965,19.53
BI.BR,1966,19.8
BI.BR,1967,19.61
BI.BR,1968,19.35
BI.BR,1969,19.96
BI.BR,1970,19.63
BI.BR,1971,19.41
BI.BR,1972,19.68
BI.BR,1973,19.77
BI.BR,1974,19.53
BI.BR,1975,19.5
BI.BR,1976,19.73
BI.BR,1977,19.89
BI.BR,1978,19.8
BI.BR,1979,19.66
BI.BR,1980,19.79
BI.BR,1981,19.77
BI.BR,1982,19.83
BI.BR,1983,20.11
BI.BR,1984,19.73
BI.BR,1985,19.67
BI.BR,1986,19.68
BI.BR,1987,20.22
BI.BR,1988,20.0
BI.BR,1989,19.64
BI.BR,1990,19.94
BI.BR,1991,19.97
BI.BR,1992,19.95
BI.BR,1993,19.85
BI.BR,1994,20.04
BI.BR,1995,20.35
BI.BR,1996,20.04
BI.BR,1997,20.32
BI.BR,1998,20.27
BI.BR,1999,20.19
BI.BR,2000,20.29
BI.BR,2001,20.25
BI.BR,2002,20.5
BI.BR,2003,20.64
BI.BR,2004,20.16
BI.BR,2005,20.49
BI.BR,2006,20.1
BI.BR,2007,20.14
BI.BR,2008,19.93
BI.BR,2009,20.33
BI.BR,2010,20.49
BI.BR,2011,19.97
BI.BR,2012,20.07
BI.BR,2013,20.26
BI.BR,2014,20.04
BI.BR,2015,20.16
BI.BR,2016,20.34
BI.BR,2017,20.6
BI.BR,2018,20.05
BI.BR,2019,20.27
BI.BR,2020,20.07
BI.BR,2021,20.18
BI.BR,2022,20.09
