Geography,Year,Count
BI.BU,1901,21.2
BI.BU,1902,21.34
BI.BU,1903,21.18
BI.BU,1904,21.04
BI.BU,1905,20.89
BI.BU,1906,20.54
BI.BU,1907,20.5
BI.BU,1908,21.03
BI.BU,1909,20.45
BI.BU,1910,20.45
BI.BU,1911,20.47
BI.BU,1912,20.49
BI.BU,1913,20.45
BI.BU,1914,20.61
BI.BU,1915,20.58
BI.BU,1916,20.41
BI.BU,1917,20.21
BI.BU,1918,20.38
BI.BU,1919,20.47
BI.BU,1920,20.46
BI.BU,1921,20.97
BI.BU,1922,20.93
BI.BU,1923,20.92
BI.BU,1924,21.03
BI.BU,1925,20.98
BI.BU,1926,21.11
BI.BU,1927,21.05
BI.BU,1928,21.13
BI.BU,1929,20.3
BI.BU,1930,20.41
BI.BU,1931,20.77
BI.BU,1932,20.56
BI.BU,1933,20.47
BI.BU,1934,20.51
BI.BU,1935,20.71
BI.BU,1936,20.61
BI.BU,1937,20.54
BI.BU,1938,20.75
BI.BU,1939,20.75
BI.BU,1940,20.95
BI.BU,1941,21.12
BI.BU,1942,20.68
BI.BU,1943,20.77
BI.BU,1944,20.84
BI.BU,1945,20.8
BI.BU,1946,20.83
BI.BU,1947,20.67
BI.BU,1948,20.88
BI.BU,1949,21.21
BI.BU,1950,20.48
BI.BU,1951,20.85
BI.BU,1952,21.04
BI.BU,1953,21.15
BI.BU,1954,21.01
BI.BU,1955,20.94
BI.BU,1956,20.85
BI.BU,1957,21.11
BI.BU,1958,21.32
BI.BU,1959,21.09
BI.BU,1960,20.88
BI.BU,1961,21.05
BI.BU,1962,20.85
BI.BU,1963,20.81
BI.BU,1964,20.85
BI.BU,1965,20.87
BI.BU,1966,21.14
BI.BU,1967,20.95
BI.BU,1968,20.68
BI.BU,1969,21.29
BI.BU,1970,20.97
BI.BU,1971,20.76
BI.BU,1972,21.01
BI.BU,1973,21.11
BI.BU,1974,20.86
BI.BU,1975,20.84
BI.BU,1976,21.06
BI.BU,1977,21.21
BI.BU,1978,21.14
BI.BU,1979,21.0
BI.BU,1980,21.14
BI.BU,1981,21.1
BI.BU,1982,21.17
BI.BU,1983,21.43
BI.BU,1984,21.06
BI.BU,1985,21.0
BI.BU,1986,21.02
BI.BU,1987,21.55
BI.BU,1988,21.33
BI.BU,1989,20.96
BI.BU,1990,21.28
BI.BU,1991,21.29
BI.BU,1992,21.27
BI.BU,1993,21.18
BI.BU,1994,21.35
BI.BU,1995,21.64
BI.BU,1996,21.34
BI.BU,1997,21.61
BI.BU,1998,21.54
BI.BU,1999,21.47
BI.BU,2000,21.61
BI.BU,2001,21.59
BI.BU,2002,21.83
BI.BU,2003,21.94
BI.BU,2004,21.51
BI.BU,2005,21.74
BI.BU,2006,21.44
BI.BU,2007,21.49
BI.BU,2008,21.3
BI.BU,2009,21.71
BI.BU,2010,21.84
BI.BU,2011,21.32
BI.BU,2012,21.38
BI.BU,2013,21.58
BI.BU,2014,21.35
BI.BU,2015,21.47
BI.BU,2016,21.66
BI.BU,2017,21.89
BI.BU,2018,21.36
BI.BU,2019,21.54
BI.BU,2020,21.36
BI.BU,2021,21.5
BI.BU,2022,21.42
