Geography,Year,Count
BI.CA,1901,20.69
BI.CA,1902,20.88
BI.CA,1903,20.7
BI.CA,1904,20.36
BI.CA,1905,20.32
BI.CA,1906,19.93
BI.CA,1907,19.94
BI.CA,1908,20.56
BI.CA,1909,19.61
BI.CA,1910,19.58
BI.CA,1911,19.76
BI.CA,1912,19.69
BI.CA,1913,19.52
BI.CA,1914,19.84
BI.CA,1915,19.77
BI.CA,1916,19.45
BI.CA,1917,19.12
BI.CA,1918,19.41
BI.CA,1919,19.58
BI.CA,1920,19.55
BI.CA,1921,20.49
BI.CA,1922,20.42
BI.CA,1923,20.34
BI.CA,1924,20.58
BI.CA,1925,20.5
BI.CA,1926,20.76
BI.CA,1927,20.6
BI.CA,1928,20.75
BI.CA,1929,19.27
BI.CA,1930,19.48
BI.CA,1931,20.16
BI.CA,1932,19.87
BI.CA,1933,19.86
BI.CA,1934,19.93
BI.CA,1935,20.13
BI.CA,1936,20.0
BI.CA,1937,19.96
BI.CA,1938,20.16
BI.CA,1939,20.23
BI.CA,1940,20.43
BI.CA,1941,20.61
BI.CA,1942,20.17
BI.CA,1943,20.28
BI.CA,1944,20.36
BI.CA,1945,20.31
BI.CA,1946,20.32
BI.CA,1947,20.16
BI.CA,1948,20.36
BI.CA,1949,20.7
BI.CA,1950,19.97
BI.CA,1951,20.46
BI.CA,1952,20.63
BI.CA,1953,20.78
BI.CA,1954,20.59
BI.CA,1955,20.53
BI.CA,1956,20.41
BI.CA,1957,20.69
BI.CA,1958,20.88
BI.CA,1959,20.68
BI.CA,1960,20.49
BI.CA,1961,20.63
BI.CA,1962,20.36
BI.CA,1963,20.33
BI.CA,1964,20.36
BI.CA,1965,20.4
BI.CA,1966,20.68
BI.CA,1967,20.44
BI.CA,1968,20.08
BI.CA,1969,20.78
BI.CA,1970,20.51
BI.CA,1971,20.25
BI.CA,1972,20.58
BI.CA,1973,20.68
BI.CA,1974,20.39
BI.CA,1975,20.39
BI.CA,1976,20.67
BI.CA,1977,20.73
BI.CA,1978,20.65
BI.CA,1979,20.54
BI.CA,1980,20.67
BI.CA,1981,20.68
BI.CA,1982,20.74
BI.CA,1983,21.0
BI.CA,1984,20.63
BI.CA,1985,20.54
BI.CA,1986,20.62
BI.CA,1987,21.15
BI.CA,1988,20.93
BI.CA,1989,20.48
BI.CA,1990,20.83
BI.CA,1991,20.84
BI.CA,1992,20.83
BI.CA,1993,20.75
BI.CA,1994,20.9
BI.CA,1995,21.18
BI.CA,1996,20.95
BI.CA,1997,21.16
BI.CA,1998,21.12
BI.CA,1999,21.14
BI.CA,2000,21.23
BI.CA,2001,21.21
BI.CA,2002,21.53
BI.CA,2003,21.62
BI.CA,2004,21.15
BI.CA,2005,21.31
BI.CA,2006,21.16
BI.CA,2007,21.14
BI.CA,2008,20.97
BI.CA,2009,21.46
BI.CA,2010,21.52
BI.CA,2011,21.04
BI.CA,2012,21.0
BI.CA,2013,21.21
BI.CA,2014,21.01
BI.CA,2015,21.09
BI.CA,2016,21.36
BI.CA,2017,21.56
BI.CA,2018,21.08
BI.CA,2019,21.38
BI.CA,2020,21.18
BI.CA,2021,21.21
BI.CA,2022,21.13
