Geography,Year,Count
BI.GI,1901,18.53
BI.GI,1902,18.7
BI.GI,1903,18.54
BI.GI,1904,18.32
BI.GI,1905,18.2
BI.GI,1906,17.83
BI.GI,1907,17.81
BI.GI,1908,18.38
BI.GI,1909,17.66
BI.GI,1910,17.66
BI.GI,1911,17.72
BI.GI,1912,17.71
BI.GI,1913,17.65
BI.GI,1914,17.85
BI.GI,1915,17.81
BI.GI,1916,17.58
BI.GI,1917,17.34
BI.GI,1918,17.55
BI.GI,1919,17.67
BI.GI,1920,17.65
BI.GI,1921,18.32
BI.GI,1922,18.25
BI.GI,1923,18.22
BI.GI,1924,18.39
BI.GI,1925,18.33
BI.GI,1926,18.49
BI.GI,1927,18.4
BI.GI,1928,18.51
BI.GI,1929,17.45
BI.GI,1930,17.6
BI.GI,1931,18.07
BI.GI,1932,17.83
BI.GI,1933,17.77
BI.GI,1934,17.81
BI.GI,1935,18.03
BI.GI,1936,17.92
BI.GI,1937,17.85
BI.GI,1938,18.07
BI.GI,1939,18.08
BI.GI,1940,18.27
BI.GI,1941,18.45
BI.GI,1942,18.02
BI.GI,1943,18.1
BI.GI,1944,18.19
BI.GI,1945,18.13
BI.GI,1946,18.16
BI.GI,1947,18.0
BI.GI,1948,18.21
BI.GI,1949,18.54
BI.GI,1950,17.8
BI.GI,1951,18.22
BI.GI,1952,18.42
BI.GI,1953,18.53
BI.GI,1954,18.38
BI.GI,1955,18.31
BI.GI,1956,18.21
BI.GI,1957,18.48
BI.GI,1958,18.68
BI.GI,1959,18.47
BI.GI,1960,18.26
BI.GI,1961,18.41
BI.GI,1962,18.2
BI.GI,1963,18.16
BI.GI,1964,18.19
BI.GI,1965,18.23
BI.GI,1966,18.49
BI.GI,1967,18.29
BI.GI,1968,18.01
BI.GI,1969,18.64
BI.GI,1970,18.31
BI.GI,1971,18.1
BI.GI,1972,18.36
BI.GI,1973,18.46
BI.GI,1974,18.21
BI.GI,1975,18.2
BI.GI,1976,18.44
BI.GI,1977,18.56
BI.GI,1978,18.49
BI.GI,1979,18.35
BI.GI,1980,18.47
BI.GI,1981,18.47
BI.GI,1982,18.53
BI.GI,1983,18.79
BI.GI,1984,18.43
BI.GI,1985,18.36
BI.GI,1986,18.4
BI.GI,1987,18.93
BI.GI,1988,18.7
BI.GI,1989,18.31
BI.GI,1990,18.64
BI.GI,1991,18.66
BI.GI,1992,18.63
BI.GI,1993,18.55
BI.GI,1994,18.71
BI.GI,1995,19.0
BI.GI,1996,18.73
BI.GI,1997,18.98
BI.GI,1998,18.92
BI.GI,1999,18.88
BI.GI,2000,19.01
BI.GI,2001,18.98
BI.GI,2002,19.25
BI.GI,2003,19.36
BI.GI,2004,18.9
BI.GI,2005,19.15
BI.GI,2006,18.87
BI.GI,2007,18.88
BI.GI,2008,18.69
BI.GI,2009,19.13
BI.GI,2010,19.24
BI.GI,2011,18.73
BI.GI,2012,18.77
BI.GI,2013,18.97
BI.GI,2014,18.76
BI.GI,2015,18.86
BI.GI,2016,19.07
BI.GI,2017,19.31
BI.GI,2018,18.8
BI.GI,2019,19.03
BI.GI,2020,18.83
BI.GI,2021,18.92
BI.GI,2022,18.84
