Geography,Year,Count
BI.KR,1901,20.04
BI.KR,1902,20.19
BI.KR,1903,20.03
BI.KR,1904,19.74
BI.KR,1905,19.66
BI.KR,1906,19.29
BI.KR,1907,19.28
BI.KR,1908,19.87
BI.KR,1909,19.02
BI.KR,1910,19.01
BI.KR,1911,19.14
BI.KR,1912,19.09
BI.KR,1913,18.97
BI.KR,1914,19.24
BI.KR,1915,19.19
BI.KR,1916,18.91
BI.KR,1917,18.61
BI.KR,1918,18.87
BI.KR,1919,19.02
BI.KR,1920,18.99
BI.KR,1921,19.82
BI.KR,1922,19.75
BI.KR,1923,19.71
BI.KR,1924,19.89
BI.KR,1925,19.82
BI.KR,1926,20.04
BI.KR,1927,19.9
BI.KR,1928,20.04
BI.KR,1929,18.75
BI.KR,1930,18.93
BI.KR,1931,19.53
BI.KR,1932,19.24
BI.KR,1933,19.23
BI.KR,1934,19.27
BI.KR,1935,19.51
BI.KR,1936,19.36
BI.KR,1937,19.31
BI.KR,1938,19.51
BI.KR,1939,19.56
BI.KR,1940,19.76
BI.KR,1941,19.94
BI.KR,1942,19.51
BI.KR,1943,19.61
BI.KR,1944,19.68
BI.KR,1945,19.63
BI.KR,1946,19.64
BI.KR,1947,19.48
BI.KR,1948,19.68
BI.KR,1949,20.03
BI.KR,1950,19.3
BI.KR,1951,19.76
BI.KR,1952,19.94
BI.KR,1953,20.05
BI.KR,1954,19.89
BI.KR,1955,19.82
BI.KR,1956,19.72
BI.KR,1957,20.0
BI.KR,1958,20.19
BI.KR,1959,19.98
BI.KR,1960,19.78
BI.KR,1961,19.91
BI.KR,1962,19.69
BI.KR,1963,19.65
BI.KR,1964,19.68
BI.KR,1965,19.72
BI.KR,1966,19.98
BI.KR,1967,19.75
BI.KR,1968,19.43
BI.KR,1969,20.12
BI.KR,1970,19.82
BI.KR,1971,19.59
BI.KR,1972,19.87
BI.KR,1973,19.97
BI.KR,1974,19.7
BI.KR,1975,19.71
BI.KR,1976,19.97
BI.KR,1977,20.04
BI.KR,1978,19.97
BI.KR,1979,19.85
BI.KR,1980,19.98
BI.KR,1981,19.99
BI.KR,1982,20.05
BI.KR,1983,20.29
BI.KR,1984,19.94
BI.KR,1985,19.85
BI.KR,1986,19.91
BI.KR,1987,20.44
BI.KR,1988,20.21
BI.KR,1989,19.79
BI.KR,1990,20.15
BI.KR,1991,20.15
BI.KR,1992,20.13
BI.KR,1993,20.05
BI.KR,1994,20.18
BI.KR,1995,20.47
BI.KR,1996,20.22
BI.KR,1997,20.46
BI.KR,1998,20.4
BI.KR,1999,20.4
BI.KR,2000,20.52
BI.KR,2001,20.52
BI.KR,2002,20.82
BI.KR,2003,20.89
BI.KR,2004,20.45
BI.KR,2005,20.6
BI.KR,2006,20.43
BI.KR,2007,20.43
BI.KR,2008,20.28
BI.KR,2009,20.74
BI.KR,2010,20.81
BI.KR,2011,20.31
BI.KR,2012,20.29
BI.KR,2013,20.51
BI.KR,2014,20.3
BI.KR,2015,20.38
BI.KR,2016,20.63
BI.KR,2017,20.83
BI.KR,2018,20.34
BI.KR,2019,20.61
BI.KR,2020,20.41
BI.KR,2021,20.49
BI.KR,2022,20.4
