Geography,Year,Count
BI.KY,1901,18.9
BI.KY,1902,19.05
BI.KY,1903,18.89
BI.KY,1904,18.66
BI.KY,1905,18.55
BI.KY,1906,18.17
BI.KY,1907,18.17
BI.KY,1908,18.73
BI.KY,1909,17.99
BI.KY,1910,17.99
BI.KY,1911,18.08
BI.KY,1912,18.04
BI.KY,1913,17.98
BI.KY,1914,18.21
BI.KY,1915,18.15
BI.KY,1916,17.94
BI.KY,1917,17.69
BI.KY,1918,17.9
BI.KY,1919,18.01
BI.KY,1920,18.0
BI.KY,1921,18.66
BI.KY,1922,18.6
BI.KY,1923,18.57
BI.KY,1924,18.74
BI.KY,1925,18.68
BI.KY,1926,18.84
BI.KY,1927,18.75
BI.KY,1928,18.86
BI.KY,1929,17.8
BI.KY,1930,17.95
BI.KY,1931,18.42
BI.KY,1932,18.19
BI.KY,1933,18.12
BI.KY,1934,18.16
BI.KY,1935,18.36
BI.KY,1936,18.27
BI.KY,1937,18.19
BI.KY,1938,18.39
BI.KY,1939,18.42
BI.KY,1940,18.63
BI.KY,1941,18.81
BI.KY,1942,18.4
BI.KY,1943,18.5
BI.KY,1944,18.55
BI.KY,1945,18.49
BI.KY,1946,18.49
BI.KY,1947,18.36
BI.KY,1948,18.55
BI.KY,1949,18.89
BI.KY,1950,18.17
BI.KY,1951,18.6
BI.KY,1952,18.78
BI.KY,1953,18.9
BI.KY,1954,18.73
BI.KY,1955,18.66
BI.KY,1956,18.57
BI.KY,1957,18.85
BI.KY,1958,19.05
BI.KY,1959,18.82
BI.KY,1960,18.63
BI.KY,1961,18.74
BI.KY,1962,18.54
BI.KY,1963,18.52
BI.KY,1964,18.55
BI.KY,1965,18.59
BI.KY,1966,18.83
BI.KY,1967,18.62
BI.KY,1968,18.34
BI.KY,1969,18.96
BI.KY,1970,18.67
BI.KY,1971,18.46
BI.KY,1972,18.71
BI.KY,1973,18.81
BI.KY,1974,18.56
BI.KY,1975,18.56
BI.KY,1976,18.81
BI.KY,1977,18.89
BI.KY,1978,18.83
BI.KY,1979,18.71
BI.KY,1980,18.84
BI.KY,1981,18.84
BI.KY,1982,18.9
BI.KY,1983,19.14
BI.KY,1984,18.79
BI.KY,1985,18.7
BI.KY,1986,18.76
BI.KY,1987,19.28
BI.KY,1988,19.04
BI.KY,1989,18.65
BI.KY,1990,19.0
BI.KY,1991,19.0
BI.KY,1992,18.96
BI.KY,1993,18.89
BI.KY,1994,19.03
BI.KY,1995,19.3
BI.KY,1996,19.06
BI.KY,1997,19.27
BI.KY,1998,19.2
BI.KY,1999,19.19
BI.KY,2000,19.36
BI.KY,2001,19.37
BI.KY,2002,19.63
BI.KY,2003,19.69
BI.KY,2004,19.28
BI.KY,2005,19.4
BI.KY,2006,19.24
BI.KY,2007,19.27
BI.KY,2008,19.11
BI.KY,2009,19.57
BI.KY,2010,19.62
BI.KY,2011,19.13
BI.KY,2012,19.11
BI.KY,2013,19.3
BI.KY,2014,19.1
BI.KY,2015,19.19
BI.KY,2016,19.41
BI.KY,2017,19.62
BI.KY,2018,19.14
BI.KY,2019,19.35
BI.KY,2020,19.17
BI.KY,2021,19.27
BI.KY,2022,19.2
