Geography,Year,Count
BI.MA,1901,21.23
BI.MA,1902,21.39
BI.MA,1903,21.22
BI.MA,1904,21.06
BI.MA,1905,20.92
BI.MA,1906,20.56
BI.MA,1907,20.52
BI.MA,1908,21.07
BI.MA,1909,20.48
BI.MA,1910,20.47
BI.MA,1911,20.47
BI.MA,1912,20.53
BI.MA,1913,20.46
BI.MA,1914,20.64
BI.MA,1915,20.58
BI.MA,1916,20.4
BI.MA,1917,20.19
BI.MA,1918,20.36
BI.MA,1919,20.48
BI.MA,1920,20.45
BI.MA,1921,21.01
BI.MA,1922,20.96
BI.MA,1923,20.94
BI.MA,1924,21.08
BI.MA,1925,21.03
BI.MA,1926,21.16
BI.MA,1927,21.09
BI.MA,1928,21.17
BI.MA,1929,20.28
BI.MA,1930,20.4
BI.MA,1931,20.8
BI.MA,1932,20.58
BI.MA,1933,20.49
BI.MA,1934,20.52
BI.MA,1935,20.74
BI.MA,1936,20.65
BI.MA,1937,20.59
BI.MA,1938,20.82
BI.MA,1939,20.78
BI.MA,1940,20.97
BI.MA,1941,21.16
BI.MA,1942,20.66
BI.MA,1943,20.77
BI.MA,1944,20.85
BI.MA,1945,20.81
BI.MA,1946,20.88
BI.MA,1947,20.69
BI.MA,1948,20.93
BI.MA,1949,21.27
BI.MA,1950,20.48
BI.MA,1951,20.86
BI.MA,1952,21.09
BI.MA,1953,21.19
BI.MA,1954,21.05
BI.MA,1955,20.99
BI.MA,1956,20.84
BI.MA,1957,21.15
BI.MA,1958,21.35
BI.MA,1959,21.12
BI.MA,1960,20.92
BI.MA,1961,21.14
BI.MA,1962,20.91
BI.MA,1963,20.83
BI.MA,1964,20.88
BI.MA,1965,20.89
BI.MA,1966,21.19
BI.MA,1967,20.98
BI.MA,1968,20.71
BI.MA,1969,21.35
BI.MA,1970,21.01
BI.MA,1971,20.78
BI.MA,1972,21.06
BI.MA,1973,21.16
BI.MA,1974,20.92
BI.MA,1975,20.89
BI.MA,1976,21.1
BI.MA,1977,21.26
BI.MA,1978,21.17
BI.MA,1979,21.03
BI.MA,1980,21.17
BI.MA,1981,21.15
BI.MA,1982,21.21
BI.MA,1983,21.51
BI.MA,1984,21.12
BI.MA,1985,21.04
BI.MA,1986,21.05
BI.MA,1987,21.61
BI.MA,1988,21.41
BI.MA,1989,21.03
BI.MA,1990,21.34
BI.MA,1991,21.34
BI.MA,1992,21.36
BI.MA,1993,21.25
BI.MA,1994,21.43
BI.MA,1995,21.76
BI.MA,1996,21.45
BI.MA,1997,21.76
BI.MA,1998,21.7
BI.MA,1999,21.6
BI.MA,2000,21.67
BI.MA,2001,21.61
BI.MA,2002,21.86
BI.MA,2003,22.04
BI.MA,2004,21.51
BI.MA,2005,21.92
BI.MA,2006,21.47
BI.MA,2007,21.49
BI.MA,2008,21.26
BI.MA,2009,21.66
BI.MA,2010,21.86
BI.MA,2011,21.33
BI.MA,2012,21.45
BI.MA,2013,21.66
BI.MA,2014,21.43
BI.MA,2015,21.56
BI.MA,2016,21.74
BI.MA,2017,22.0
BI.MA,2018,21.44
BI.MA,2019,21.69
BI.MA,2020,21.47
BI.MA,2021,21.57
BI.MA,2022,21.52
