Geography,Year,Count
BI.MY,1901,20.54
BI.MY,1902,20.7
BI.MY,1903,20.53
BI.MY,1904,20.22
BI.MY,1905,20.15
BI.MY,1906,19.76
BI.MY,1907,19.76
BI.MY,1908,20.37
BI.MY,1909,19.46
BI.MY,1910,19.46
BI.MY,1911,19.63
BI.MY,1912,19.52
BI.MY,1913,19.43
BI.MY,1914,19.7
BI.MY,1915,19.63
BI.MY,1916,19.36
BI.MY,1917,19.05
BI.MY,1918,19.3
BI.MY,1919,19.45
BI.MY,1920,19.45
BI.MY,1921,20.3
BI.MY,1922,20.23
BI.MY,1923,20.18
BI.MY,1924,20.39
BI.MY,1925,20.32
BI.MY,1926,20.54
BI.MY,1927,20.42
BI.MY,1928,20.55
BI.MY,1929,19.19
BI.MY,1930,19.37
BI.MY,1931,20.0
BI.MY,1932,19.71
BI.MY,1933,19.71
BI.MY,1934,19.75
BI.MY,1935,19.97
BI.MY,1936,19.81
BI.MY,1937,19.78
BI.MY,1938,19.98
BI.MY,1939,20.04
BI.MY,1940,20.25
BI.MY,1941,20.46
BI.MY,1942,20.04
BI.MY,1943,20.14
BI.MY,1944,20.19
BI.MY,1945,20.14
BI.MY,1946,20.13
BI.MY,1947,19.98
BI.MY,1948,20.17
BI.MY,1949,20.53
BI.MY,1950,19.8
BI.MY,1951,20.28
BI.MY,1952,20.44
BI.MY,1953,20.56
BI.MY,1954,20.39
BI.MY,1955,20.32
BI.MY,1956,20.22
BI.MY,1957,20.51
BI.MY,1958,20.72
BI.MY,1959,20.48
BI.MY,1960,20.3
BI.MY,1961,20.4
BI.MY,1962,20.17
BI.MY,1963,20.15
BI.MY,1964,20.18
BI.MY,1965,20.23
BI.MY,1966,20.48
BI.MY,1967,20.25
BI.MY,1968,19.94
BI.MY,1969,20.58
BI.MY,1970,20.34
BI.MY,1971,20.09
BI.MY,1972,20.38
BI.MY,1973,20.49
BI.MY,1974,20.2
BI.MY,1975,20.21
BI.MY,1976,20.47
BI.MY,1977,20.55
BI.MY,1978,20.46
BI.MY,1979,20.36
BI.MY,1980,20.49
BI.MY,1981,20.5
BI.MY,1982,20.57
BI.MY,1983,20.78
BI.MY,1984,20.46
BI.MY,1985,20.35
BI.MY,1986,20.43
BI.MY,1987,20.94
BI.MY,1988,20.72
BI.MY,1989,20.29
BI.MY,1990,20.64
BI.MY,1991,20.63
BI.MY,1992,20.63
BI.MY,1993,20.56
BI.MY,1994,20.69
BI.MY,1995,20.98
BI.MY,1996,20.72
BI.MY,1997,20.93
BI.MY,1998,20.87
BI.MY,1999,20.91
BI.MY,2000,21.04
BI.MY,2001,21.07
BI.MY,2002,21.35
BI.MY,2003,21.39
BI.MY,2004,21.0
BI.MY,2005,21.05
BI.MY,2006,20.96
BI.MY,2007,20.97
BI.MY,2008,20.83
BI.MY,2009,21.31
BI.MY,2010,21.36
BI.MY,2011,20.86
BI.MY,2012,20.8
BI.MY,2013,21.0
BI.MY,2014,20.79
BI.MY,2015,20.86
BI.MY,2016,21.14
BI.MY,2017,21.32
BI.MY,2018,20.86
BI.MY,2019,21.11
BI.MY,2020,20.93
BI.MY,2021,21.0
BI.MY,2022,20.92
