Geography,Year,Count
BI.NG,1901,19.58
BI.NG,1902,19.73
BI.NG,1903,19.56
BI.NG,1904,19.31
BI.NG,1905,19.21
BI.NG,1906,18.82
BI.NG,1907,18.84
BI.NG,1908,19.42
BI.NG,1909,18.6
BI.NG,1910,18.59
BI.NG,1911,18.73
BI.NG,1912,18.65
BI.NG,1913,18.59
BI.NG,1914,18.84
BI.NG,1915,18.77
BI.NG,1916,18.54
BI.NG,1917,18.27
BI.NG,1918,18.49
BI.NG,1919,18.62
BI.NG,1920,18.6
BI.NG,1921,19.34
BI.NG,1922,19.28
BI.NG,1923,19.24
BI.NG,1924,19.42
BI.NG,1925,19.35
BI.NG,1926,19.54
BI.NG,1927,19.43
BI.NG,1928,19.56
BI.NG,1929,18.39
BI.NG,1930,18.54
BI.NG,1931,19.07
BI.NG,1932,18.83
BI.NG,1933,18.78
BI.NG,1934,18.82
BI.NG,1935,19.03
BI.NG,1936,18.91
BI.NG,1937,18.85
BI.NG,1938,19.04
BI.NG,1939,19.09
BI.NG,1940,19.3
BI.NG,1941,19.5
BI.NG,1942,19.09
BI.NG,1943,19.19
BI.NG,1944,19.23
BI.NG,1945,19.17
BI.NG,1946,19.16
BI.NG,1947,19.03
BI.NG,1948,19.22
BI.NG,1949,19.56
BI.NG,1950,18.84
BI.NG,1951,19.3
BI.NG,1952,19.47
BI.NG,1953,19.59
BI.NG,1954,19.41
BI.NG,1955,19.34
BI.NG,1956,19.25
BI.NG,1957,19.54
BI.NG,1958,19.75
BI.NG,1959,19.5
BI.NG,1960,19.32
BI.NG,1961,19.41
BI.NG,1962,19.21
BI.NG,1963,19.19
BI.NG,1964,19.23
BI.NG,1965,19.27
BI.NG,1966,19.5
BI.NG,1967,19.3
BI.NG,1968,19.0
BI.NG,1969,19.62
BI.NG,1970,19.36
BI.NG,1971,19.14
BI.NG,1972,19.41
BI.NG,1973,19.5
BI.NG,1974,19.24
BI.NG,1975,19.24
BI.NG,1976,19.5
BI.NG,1977,19.57
BI.NG,1978,19.5
BI.NG,1979,19.39
BI.NG,1980,19.52
BI.NG,1981,19.53
BI.NG,1982,19.59
BI.NG,1983,19.82
BI.NG,1984,19.49
BI.NG,1985,19.38
BI.NG,1986,19.45
BI.NG,1987,19.97
BI.NG,1988,19.73
BI.NG,1989,19.32
BI.NG,1990,19.67
BI.NG,1991,19.67
BI.NG,1992,19.65
BI.NG,1993,19.57
BI.NG,1994,19.7
BI.NG,1995,19.97
BI.NG,1996,19.73
BI.NG,1997,19.94
BI.NG,1998,19.87
BI.NG,1999,19.89
BI.NG,2000,20.05
BI.NG,2001,20.08
BI.NG,2002,20.34
BI.NG,2003,20.38
BI.NG,2004,20.0
BI.NG,2005,20.04
BI.NG,2006,19.96
BI.NG,2007,19.98
BI.NG,2008,19.84
BI.NG,2009,20.31
BI.NG,2010,20.33
BI.NG,2011,19.86
BI.NG,2012,19.81
BI.NG,2013,20.0
BI.NG,2014,19.8
BI.NG,2015,19.88
BI.NG,2016,20.11
BI.NG,2017,20.31
BI.NG,2018,19.86
BI.NG,2019,20.06
BI.NG,2020,19.89
BI.NG,2021,19.98
BI.NG,2022,19.9
