Geography,Year,Count
BI.RY,1901,20.46
BI.RY,1902,20.63
BI.RY,1903,20.46
BI.RY,1904,20.18
BI.RY,1905,20.09
BI.RY,1906,19.73
BI.RY,1907,19.71
BI.RY,1908,20.31
BI.RY,1909,19.47
BI.RY,1910,19.45
BI.RY,1911,19.58
BI.RY,1912,19.54
BI.RY,1913,19.41
BI.RY,1914,19.68
BI.RY,1915,19.63
BI.RY,1916,19.34
BI.RY,1917,19.05
BI.RY,1918,19.3
BI.RY,1919,19.45
BI.RY,1920,19.42
BI.RY,1921,20.26
BI.RY,1922,20.19
BI.RY,1923,20.14
BI.RY,1924,20.33
BI.RY,1925,20.26
BI.RY,1926,20.48
BI.RY,1927,20.34
BI.RY,1928,20.48
BI.RY,1929,19.18
BI.RY,1930,19.36
BI.RY,1931,19.96
BI.RY,1932,19.68
BI.RY,1933,19.65
BI.RY,1934,19.72
BI.RY,1935,19.94
BI.RY,1936,19.8
BI.RY,1937,19.75
BI.RY,1938,19.96
BI.RY,1939,20.0
BI.RY,1940,20.2
BI.RY,1941,20.37
BI.RY,1942,19.93
BI.RY,1943,20.03
BI.RY,1944,20.12
BI.RY,1945,20.06
BI.RY,1946,20.08
BI.RY,1947,19.92
BI.RY,1948,20.13
BI.RY,1949,20.47
BI.RY,1950,19.72
BI.RY,1951,20.19
BI.RY,1952,20.38
BI.RY,1953,20.49
BI.RY,1954,20.33
BI.RY,1955,20.27
BI.RY,1956,20.16
BI.RY,1957,20.44
BI.RY,1958,20.62
BI.RY,1959,20.42
BI.RY,1960,20.21
BI.RY,1961,20.37
BI.RY,1962,20.14
BI.RY,1963,20.09
BI.RY,1964,20.12
BI.RY,1965,20.15
BI.RY,1966,20.43
BI.RY,1967,20.21
BI.RY,1968,19.88
BI.RY,1969,20.57
BI.RY,1970,20.26
BI.RY,1971,20.02
BI.RY,1972,20.31
BI.RY,1973,20.42
BI.RY,1974,20.14
BI.RY,1975,20.14
BI.RY,1976,20.4
BI.RY,1977,20.48
BI.RY,1978,20.41
BI.RY,1979,20.29
BI.RY,1980,20.42
BI.RY,1981,20.42
BI.RY,1982,20.48
BI.RY,1983,20.73
BI.RY,1984,20.38
BI.RY,1985,20.3
BI.RY,1986,20.35
BI.RY,1987,20.88
BI.RY,1988,20.66
BI.RY,1989,20.24
BI.RY,1990,20.59
BI.RY,1991,20.6
BI.RY,1992,20.58
BI.RY,1993,20.49
BI.RY,1994,20.64
BI.RY,1995,20.93
BI.RY,1996,20.68
BI.RY,1997,20.92
BI.RY,1998,20.87
BI.RY,1999,20.86
BI.RY,2000,20.97
BI.RY,2001,20.94
BI.RY,2002,21.24
BI.RY,2003,21.34
BI.RY,2004,20.87
BI.RY,2005,21.08
BI.RY,2006,20.87
BI.RY,2007,20.85
BI.RY,2008,20.68
BI.RY,2009,21.15
BI.RY,2010,21.23
BI.RY,2011,20.73
BI.RY,2012,20.73
BI.RY,2013,20.94
BI.RY,2014,20.74
BI.RY,2015,20.83
BI.RY,2016,21.07
BI.RY,2017,21.29
BI.RY,2018,20.79
BI.RY,2019,21.08
BI.RY,2020,20.86
BI.RY,2021,20.94
BI.RY,2022,20.84
