Geography,Year,Count
BJ.OU,1901,27.13
BJ.OU,1902,27.26
BJ.OU,1903,27.27
BJ.OU,1904,27.25
BJ.OU,1905,27.12
BJ.OU,1906,27.56
BJ.OU,1907,27.28
BJ.OU,1908,27.25
BJ.OU,1909,27.14
BJ.OU,1910,27.35
BJ.OU,1911,27.26
BJ.OU,1912,27.38
BJ.OU,1913,27.57
BJ.OU,1914,27.77
BJ.OU,1915,27.27
BJ.OU,1916,27.28
BJ.OU,1917,27.27
BJ.OU,1918,27.27
BJ.OU,1919,27.27
BJ.OU,1920,27.33
BJ.OU,1921,27.27
BJ.OU,1922,27.28
BJ.OU,1923,27.1
BJ.OU,1924,27.22
BJ.OU,1925,26.64
BJ.OU,1926,27.38
BJ.OU,1927,26.73
BJ.OU,1928,26.68
BJ.OU,1929,26.56
BJ.OU,1930,27.54
BJ.OU,1931,27.56
BJ.OU,1932,27.69
BJ.OU,1933,27.65
BJ.OU,1934,27.66
BJ.OU,1935,27.61
BJ.OU,1936,27.08
BJ.OU,1937,27.94
BJ.OU,1938,28.04
BJ.OU,1939,27.64
BJ.OU,1940,27.36
BJ.OU,1941,27.97
BJ.OU,1942,27.65
BJ.OU,1943,27.29
BJ.OU,1944,27.59
BJ.OU,1945,27.24
BJ.OU,1946,27.19
BJ.OU,1947,27.47
BJ.OU,1948,27.03
BJ.OU,1949,27.6
BJ.OU,1950,27.03
BJ.OU,1951,27.66
BJ.OU,1952,27.35
BJ.OU,1953,27.13
BJ.OU,1954,26.8
BJ.OU,1955,26.82
BJ.OU,1956,26.85
BJ.OU,1957,27.0
BJ.OU,1958,27.16
BJ.OU,1959,27.18
BJ.OU,1960,27.1
BJ.OU,1961,27.04
BJ.OU,1962,26.98
BJ.OU,1963,27.38
BJ.OU,1964,26.96
BJ.OU,1965,27.08
BJ.OU,1966,27.37
BJ.OU,1967,26.96
BJ.OU,1968,27.25
BJ.OU,1969,27.54
BJ.OU,1970,27.32
BJ.OU,1971,26.51
BJ.OU,1972,26.87
BJ.OU,1973,27.27
BJ.OU,1974,26.54
BJ.OU,1975,26.38
BJ.OU,1976,26.41
BJ.OU,1977,27.15
BJ.OU,1978,26.76
BJ.OU,1979,27.12
BJ.OU,1980,27.07
BJ.OU,1981,27.69
BJ.OU,1982,27.53
BJ.OU,1983,27.87
BJ.OU,1984,27.78
BJ.OU,1985,27.6
BJ.OU,1986,27.41
BJ.OU,1987,27.68
BJ.OU,1988,27.16
BJ.OU,1989,26.85
BJ.OU,1990,27.23
BJ.OU,1991,27.09
BJ.OU,1992,27.04
BJ.OU,1993,27.08
BJ.OU,1994,27.06
BJ.OU,1995,27.26
BJ.OU,1996,27.26
BJ.OU,1997,27.2
BJ.OU,1998,27.82
BJ.OU,1999,27.26
BJ.OU,2000,27.59
BJ.OU,2001,27.69
BJ.OU,2002,27.69
BJ.OU,2003,27.81
BJ.OU,2004,27.6
BJ.OU,2005,27.89
BJ.OU,2006,27.86
BJ.OU,2007,27.8
BJ.OU,2008,27.61
BJ.OU,2009,27.83
BJ.OU,2010,28.2
BJ.OU,2011,27.79
BJ.OU,2012,27.6
BJ.OU,2013,27.79
BJ.OU,2014,27.97
BJ.OU,2015,28.02
BJ.OU,2016,28.23
BJ.OU,2017,28.07
BJ.OU,2018,28.01
BJ.OU,2019,27.89
BJ.OU,2020,28.15
BJ.OU,2021,28.35
BJ.OU,2022,27.81
