Geography,Year,Count
CD.BU,1901,24.69
CD.BU,1902,24.69
CD.BU,1903,24.69
CD.BU,1904,24.69
CD.BU,1905,24.69
CD.BU,1906,24.69
CD.BU,1907,24.69
CD.BU,1908,24.69
CD.BU,1909,24.69
CD.BU,1910,24.68
CD.BU,1911,24.68
CD.BU,1912,24.68
CD.BU,1913,24.67
CD.BU,1914,24.69
CD.BU,1915,24.69
CD.BU,1916,24.68
CD.BU,1917,24.68
CD.BU,1918,24.7
CD.BU,1919,24.73
CD.BU,1920,24.65
CD.BU,1921,24.68
CD.BU,1922,24.65
CD.BU,1923,24.68
CD.BU,1924,24.72
CD.BU,1925,24.7
CD.BU,1926,24.71
CD.BU,1927,24.72
CD.BU,1928,24.74
CD.BU,1929,24.67
CD.BU,1930,24.68
CD.BU,1931,24.71
CD.BU,1932,24.71
CD.BU,1933,24.74
CD.BU,1934,24.71
CD.BU,1935,24.71
CD.BU,1936,24.74
CD.BU,1937,24.73
CD.BU,1938,24.74
CD.BU,1939,24.72
CD.BU,1940,24.71
CD.BU,1941,25.18
CD.BU,1942,25.04
CD.BU,1943,24.59
CD.BU,1944,24.65
CD.BU,1945,24.67
CD.BU,1946,24.66
CD.BU,1947,24.76
CD.BU,1948,24.61
CD.BU,1949,24.72
CD.BU,1950,24.39
CD.BU,1951,24.7
CD.BU,1952,24.86
CD.BU,1953,24.76
CD.BU,1954,24.61
CD.BU,1955,24.41
CD.BU,1956,24.46
CD.BU,1957,24.78
CD.BU,1958,25.19
CD.BU,1959,24.81
CD.BU,1960,24.78
CD.BU,1961,24.68
CD.BU,1962,24.7
CD.BU,1963,24.8
CD.BU,1964,24.63
CD.BU,1965,24.76
CD.BU,1966,24.78
CD.BU,1967,24.46
CD.BU,1968,24.55
CD.BU,1969,24.94
CD.BU,1970,24.86
CD.BU,1971,24.44
CD.BU,1972,24.58
CD.BU,1973,24.66
CD.BU,1974,24.31
CD.BU,1975,24.3
CD.BU,1976,24.51
CD.BU,1977,24.68
CD.BU,1978,24.73
CD.BU,1979,24.68
CD.BU,1980,24.83
CD.BU,1981,24.84
CD.BU,1982,24.78
CD.BU,1983,25.02
CD.BU,1984,24.68
CD.BU,1985,24.7
CD.BU,1986,24.85
CD.BU,1987,25.18
CD.BU,1988,24.93
CD.BU,1989,24.49
CD.BU,1990,25.16
CD.BU,1991,24.8
CD.BU,1992,24.65
CD.BU,1993,24.73
CD.BU,1994,24.52
CD.BU,1995,24.99
CD.BU,1996,24.66
CD.BU,1997,24.94
CD.BU,1998,25.27
CD.BU,1999,24.61
CD.BU,2000,25.23
CD.BU,2001,25.18
CD.BU,2002,25.39
CD.BU,2003,25.36
CD.BU,2004,25.65
CD.BU,2005,25.69
CD.BU,2006,25.6
CD.BU,2007,25.78
CD.BU,2008,25.67
CD.BU,2009,26.13
CD.BU,2010,25.84
CD.BU,2011,25.12
CD.BU,2012,24.94
CD.BU,2013,24.96
CD.BU,2014,24.89
CD.BU,2015,24.91
CD.BU,2016,25.05
CD.BU,2017,24.91
CD.BU,2018,24.88
CD.BU,2019,25.01
CD.BU,2020,25.08
CD.BU,2021,25.11
CD.BU,2022,25.06
