Geography,Year,Count
CD.ET,1901,24.99
CD.ET,1902,25.0
CD.ET,1903,25.02
CD.ET,1904,24.97
CD.ET,1905,25.04
CD.ET,1906,25.03
CD.ET,1907,25.04
CD.ET,1908,24.97
CD.ET,1909,25.07
CD.ET,1910,24.97
CD.ET,1911,25.04
CD.ET,1912,25.08
CD.ET,1913,24.98
CD.ET,1914,25.05
CD.ET,1915,25.02
CD.ET,1916,25.02
CD.ET,1917,25.02
CD.ET,1918,25.02
CD.ET,1919,25.01
CD.ET,1920,25.02
CD.ET,1921,25.02
CD.ET,1922,25.02
CD.ET,1923,25.01
CD.ET,1924,25.02
CD.ET,1925,25.02
CD.ET,1926,25.02
CD.ET,1927,25.02
CD.ET,1928,25.02
CD.ET,1929,25.01
CD.ET,1930,25.02
CD.ET,1931,25.02
CD.ET,1932,25.01
CD.ET,1933,25.02
CD.ET,1934,25.02
CD.ET,1935,25.02
CD.ET,1936,25.02
CD.ET,1937,25.02
CD.ET,1938,25.02
CD.ET,1939,25.02
CD.ET,1940,25.02
CD.ET,1941,25.72
CD.ET,1942,25.53
CD.ET,1943,24.95
CD.ET,1944,25.41
CD.ET,1945,25.34
CD.ET,1946,25.31
CD.ET,1947,25.52
CD.ET,1948,25.11
CD.ET,1949,25.42
CD.ET,1950,25.13
CD.ET,1951,25.24
CD.ET,1952,25.28
CD.ET,1953,25.14
CD.ET,1954,24.91
CD.ET,1955,24.85
CD.ET,1956,24.88
CD.ET,1957,25.12
CD.ET,1958,25.28
CD.ET,1959,25.16
CD.ET,1960,24.99
CD.ET,1961,24.87
CD.ET,1962,25.02
CD.ET,1963,25.07
CD.ET,1964,24.97
CD.ET,1965,25.03
CD.ET,1966,25.15
CD.ET,1967,24.94
CD.ET,1968,24.97
CD.ET,1969,25.26
CD.ET,1970,25.26
CD.ET,1971,24.7
CD.ET,1972,24.93
CD.ET,1973,24.99
CD.ET,1974,24.47
CD.ET,1975,24.47
CD.ET,1976,24.46
CD.ET,1977,24.84
CD.ET,1978,24.72
CD.ET,1979,25.15
CD.ET,1980,24.98
CD.ET,1981,25.2
CD.ET,1982,25.09
CD.ET,1983,25.4
CD.ET,1984,25.09
CD.ET,1985,25.04
CD.ET,1986,25.11
CD.ET,1987,25.59
CD.ET,1988,25.33
CD.ET,1989,25.04
CD.ET,1990,25.35
CD.ET,1991,25.09
CD.ET,1992,24.8
CD.ET,1993,24.79
CD.ET,1994,24.88
CD.ET,1995,25.18
CD.ET,1996,24.82
CD.ET,1997,25.06
CD.ET,1998,25.71
CD.ET,1999,24.93
CD.ET,2000,25.05
CD.ET,2001,25.24
CD.ET,2002,25.27
CD.ET,2003,25.27
CD.ET,2004,25.44
CD.ET,2005,25.49
CD.ET,2006,25.41
CD.ET,2007,25.32
CD.ET,2008,25.18
CD.ET,2009,25.37
CD.ET,2010,25.68
CD.ET,2011,25.2
CD.ET,2012,25.22
CD.ET,2013,25.4
CD.ET,2014,25.34
CD.ET,2015,25.44
CD.ET,2016,25.79
CD.ET,2017,25.51
CD.ET,2018,25.55
CD.ET,2019,25.56
CD.ET,2020,25.96
CD.ET,2021,25.81
CD.ET,2022,25.68
