Geography,Year,Count
CD.HL,1901,23.9
CD.HL,1902,23.95
CD.HL,1903,23.89
CD.HL,1904,23.96
CD.HL,1905,23.87
CD.HL,1906,23.78
CD.HL,1907,23.73
CD.HL,1908,23.85
CD.HL,1909,23.85
CD.HL,1910,23.85
CD.HL,1911,23.79
CD.HL,1912,23.85
CD.HL,1913,23.85
CD.HL,1914,23.85
CD.HL,1915,23.85
CD.HL,1916,23.85
CD.HL,1917,23.85
CD.HL,1918,23.76
CD.HL,1919,23.79
CD.HL,1920,23.84
CD.HL,1921,23.86
CD.HL,1922,23.91
CD.HL,1923,23.86
CD.HL,1924,23.84
CD.HL,1925,23.79
CD.HL,1926,23.82
CD.HL,1927,23.81
CD.HL,1928,23.89
CD.HL,1929,23.87
CD.HL,1930,23.83
CD.HL,1931,23.89
CD.HL,1932,23.82
CD.HL,1933,23.77
CD.HL,1934,23.67
CD.HL,1935,23.77
CD.HL,1936,23.74
CD.HL,1937,23.63
CD.HL,1938,23.89
CD.HL,1939,23.84
CD.HL,1940,24.03
CD.HL,1941,24.18
CD.HL,1942,24.04
CD.HL,1943,23.96
CD.HL,1944,23.97
CD.HL,1945,23.88
CD.HL,1946,23.88
CD.HL,1947,23.74
CD.HL,1948,23.78
CD.HL,1949,24.27
CD.HL,1950,23.73
CD.HL,1951,23.53
CD.HL,1952,23.92
CD.HL,1953,23.8
CD.HL,1954,23.6
CD.HL,1955,23.62
CD.HL,1956,23.37
CD.HL,1957,23.79
CD.HL,1958,23.92
CD.HL,1959,23.79
CD.HL,1960,23.69
CD.HL,1961,23.74
CD.HL,1962,23.54
CD.HL,1963,23.52
CD.HL,1964,23.58
CD.HL,1965,23.57
CD.HL,1966,23.89
CD.HL,1967,23.62
CD.HL,1968,23.59
CD.HL,1969,24.03
CD.HL,1970,23.91
CD.HL,1971,23.59
CD.HL,1972,23.85
CD.HL,1973,23.93
CD.HL,1974,23.56
CD.HL,1975,23.64
CD.HL,1976,23.57
CD.HL,1977,24.08
CD.HL,1978,23.89
CD.HL,1979,23.86
CD.HL,1980,23.98
CD.HL,1981,23.89
CD.HL,1982,23.96
CD.HL,1983,24.49
CD.HL,1984,24.03
CD.HL,1985,23.96
CD.HL,1986,23.8
CD.HL,1987,24.52
CD.HL,1988,24.26
CD.HL,1989,24.0
CD.HL,1990,24.26
CD.HL,1991,24.04
CD.HL,1992,24.32
CD.HL,1993,23.97
CD.HL,1994,24.29
CD.HL,1995,24.55
CD.HL,1996,24.27
CD.HL,1997,24.47
CD.HL,1998,24.4
CD.HL,1999,23.95
CD.HL,2000,24.16
CD.HL,2001,24.25
CD.HL,2002,24.39
CD.HL,2003,24.53
CD.HL,2004,24.17
CD.HL,2005,24.82
CD.HL,2006,23.87
CD.HL,2007,23.95
CD.HL,2008,23.85
CD.HL,2009,23.96
CD.HL,2010,24.44
CD.HL,2011,23.96
CD.HL,2012,23.93
CD.HL,2013,23.98
CD.HL,2014,23.93
CD.HL,2015,24.08
CD.HL,2016,24.19
CD.HL,2017,24.26
CD.HL,2018,23.86
CD.HL,2019,23.94
CD.HL,2020,23.85
CD.HL,2021,23.93
CD.HL,2022,23.92
