Geography,Year,Count
CD.IT,1901,22.57
CD.IT,1902,22.62
CD.IT,1903,22.55
CD.IT,1904,22.36
CD.IT,1905,22.37
CD.IT,1906,22.2
CD.IT,1907,22.22
CD.IT,1908,22.5
CD.IT,1909,21.96
CD.IT,1910,21.96
CD.IT,1911,22.13
CD.IT,1912,21.99
CD.IT,1913,21.97
CD.IT,1914,22.12
CD.IT,1915,22.09
CD.IT,1916,21.93
CD.IT,1917,21.75
CD.IT,1918,21.9
CD.IT,1919,21.99
CD.IT,1920,21.98
CD.IT,1921,22.45
CD.IT,1922,22.4
CD.IT,1923,22.38
CD.IT,1924,22.5
CD.IT,1925,22.45
CD.IT,1926,22.57
CD.IT,1927,22.51
CD.IT,1928,22.59
CD.IT,1929,21.84
CD.IT,1930,21.94
CD.IT,1931,22.31
CD.IT,1932,22.16
CD.IT,1933,22.2
CD.IT,1934,22.18
CD.IT,1935,22.22
CD.IT,1936,22.14
CD.IT,1937,22.13
CD.IT,1938,22.22
CD.IT,1939,22.3
CD.IT,1940,22.41
CD.IT,1941,22.62
CD.IT,1942,22.38
CD.IT,1943,22.23
CD.IT,1944,22.21
CD.IT,1945,22.17
CD.IT,1946,22.12
CD.IT,1947,22.11
CD.IT,1948,22.17
CD.IT,1949,22.34
CD.IT,1950,21.88
CD.IT,1951,22.32
CD.IT,1952,22.52
CD.IT,1953,22.51
CD.IT,1954,22.34
CD.IT,1955,22.17
CD.IT,1956,22.12
CD.IT,1957,22.43
CD.IT,1958,22.8
CD.IT,1959,22.44
CD.IT,1960,22.4
CD.IT,1961,22.2
CD.IT,1962,22.14
CD.IT,1963,22.28
CD.IT,1964,22.18
CD.IT,1965,22.31
CD.IT,1966,22.4
CD.IT,1967,22.14
CD.IT,1968,22.01
CD.IT,1969,22.52
CD.IT,1970,22.52
CD.IT,1971,22.23
CD.IT,1972,22.44
CD.IT,1973,22.57
CD.IT,1974,22.22
CD.IT,1975,22.23
CD.IT,1976,22.5
CD.IT,1977,22.56
CD.IT,1978,22.62
CD.IT,1979,22.52
CD.IT,1980,22.69
CD.IT,1981,22.82
CD.IT,1982,22.81
CD.IT,1983,22.98
CD.IT,1984,22.79
CD.IT,1985,22.62
CD.IT,1986,22.79
CD.IT,1987,23.18
CD.IT,1988,22.85
CD.IT,1989,22.34
CD.IT,1990,22.94
CD.IT,1991,22.65
CD.IT,1992,22.63
CD.IT,1993,22.94
CD.IT,1994,22.54
CD.IT,1995,22.98
CD.IT,1996,22.64
CD.IT,1997,22.76
CD.IT,1998,22.99
CD.IT,1999,22.77
CD.IT,2000,23.3
CD.IT,2001,23.47
CD.IT,2002,23.83
CD.IT,2003,23.68
CD.IT,2004,23.8
CD.IT,2005,23.84
CD.IT,2006,23.75
CD.IT,2007,23.89
CD.IT,2008,23.81
CD.IT,2009,24.3
CD.IT,2010,23.92
CD.IT,2011,23.35
CD.IT,2012,22.82
CD.IT,2013,22.87
CD.IT,2014,22.82
CD.IT,2015,22.81
CD.IT,2016,22.98
CD.IT,2017,22.95
CD.IT,2018,22.95
CD.IT,2019,23.01
CD.IT,2020,23.06
CD.IT,2021,22.97
CD.IT,2022,22.92
