Geography,Year,Count
CD.KU,1901,24.89
CD.KU,1902,24.93
CD.KU,1903,24.93
CD.KU,1904,24.87
CD.KU,1905,24.91
CD.KU,1906,24.82
CD.KU,1907,24.84
CD.KU,1908,24.87
CD.KU,1909,24.91
CD.KU,1910,24.94
CD.KU,1911,25.01
CD.KU,1912,24.95
CD.KU,1913,24.93
CD.KU,1914,24.87
CD.KU,1915,24.89
CD.KU,1916,24.85
CD.KU,1917,24.91
CD.KU,1918,24.89
CD.KU,1919,24.88
CD.KU,1920,24.89
CD.KU,1921,24.89
CD.KU,1922,24.88
CD.KU,1923,24.86
CD.KU,1924,24.97
CD.KU,1925,24.89
CD.KU,1926,24.9
CD.KU,1927,24.92
CD.KU,1928,24.96
CD.KU,1929,24.84
CD.KU,1930,24.91
CD.KU,1931,24.95
CD.KU,1932,24.83
CD.KU,1933,25.0
CD.KU,1934,25.02
CD.KU,1935,24.94
CD.KU,1936,24.87
CD.KU,1937,25.04
CD.KU,1938,24.93
CD.KU,1939,24.97
CD.KU,1940,24.92
CD.KU,1941,25.36
CD.KU,1942,25.19
CD.KU,1943,24.67
CD.KU,1944,25.31
CD.KU,1945,25.06
CD.KU,1946,24.92
CD.KU,1947,25.29
CD.KU,1948,24.85
CD.KU,1949,25.24
CD.KU,1950,24.87
CD.KU,1951,24.81
CD.KU,1952,24.94
CD.KU,1953,24.78
CD.KU,1954,24.54
CD.KU,1955,24.62
CD.KU,1956,24.67
CD.KU,1957,24.93
CD.KU,1958,25.04
CD.KU,1959,24.89
CD.KU,1960,24.8
CD.KU,1961,24.51
CD.KU,1962,24.69
CD.KU,1963,24.93
CD.KU,1964,24.71
CD.KU,1965,24.88
CD.KU,1966,25.06
CD.KU,1967,24.72
CD.KU,1968,24.8
CD.KU,1969,25.18
CD.KU,1970,25.09
CD.KU,1971,24.77
CD.KU,1972,24.9
CD.KU,1973,25.11
CD.KU,1974,24.65
CD.KU,1975,24.7
CD.KU,1976,24.57
CD.KU,1977,24.98
CD.KU,1978,25.0
CD.KU,1979,25.32
CD.KU,1980,25.16
CD.KU,1981,25.19
CD.KU,1982,24.98
CD.KU,1983,25.34
CD.KU,1984,25.33
CD.KU,1985,25.05
CD.KU,1986,25.1
CD.KU,1987,25.61
CD.KU,1988,25.44
CD.KU,1989,25.13
CD.KU,1990,25.22
CD.KU,1991,25.07
CD.KU,1992,24.79
CD.KU,1993,24.89
CD.KU,1994,24.87
CD.KU,1995,25.11
CD.KU,1996,24.85
CD.KU,1997,25.02
CD.KU,1998,25.63
CD.KU,1999,24.93
CD.KU,2000,24.96
CD.KU,2001,25.25
CD.KU,2002,25.34
CD.KU,2003,25.26
CD.KU,2004,25.36
CD.KU,2005,25.44
CD.KU,2006,25.42
CD.KU,2007,25.34
CD.KU,2008,25.23
CD.KU,2009,25.34
CD.KU,2010,25.61
CD.KU,2011,25.17
CD.KU,2012,25.17
CD.KU,2013,25.38
CD.KU,2014,25.3
CD.KU,2015,25.4
CD.KU,2016,25.79
CD.KU,2017,25.44
CD.KU,2018,25.64
CD.KU,2019,25.57
CD.KU,2020,25.87
CD.KU,2021,25.75
CD.KU,2022,25.54
