Geography,Year,Count
CD.LB,1901,22.26
CD.LB,1902,22.28
CD.LB,1903,22.28
CD.LB,1904,22.25
CD.LB,1905,22.27
CD.LB,1906,22.23
CD.LB,1907,22.22
CD.LB,1908,22.26
CD.LB,1909,22.26
CD.LB,1910,22.25
CD.LB,1911,22.24
CD.LB,1912,22.28
CD.LB,1913,22.27
CD.LB,1914,22.3
CD.LB,1915,22.29
CD.LB,1916,22.28
CD.LB,1917,22.28
CD.LB,1918,22.0
CD.LB,1919,22.1
CD.LB,1920,22.27
CD.LB,1921,22.29
CD.LB,1922,22.46
CD.LB,1923,22.31
CD.LB,1924,22.24
CD.LB,1925,22.1
CD.LB,1926,22.18
CD.LB,1927,22.15
CD.LB,1928,22.39
CD.LB,1929,22.34
CD.LB,1930,22.21
CD.LB,1931,22.43
CD.LB,1932,22.25
CD.LB,1933,22.28
CD.LB,1934,22.31
CD.LB,1935,22.24
CD.LB,1936,22.18
CD.LB,1937,22.06
CD.LB,1938,22.33
CD.LB,1939,22.29
CD.LB,1940,22.59
CD.LB,1941,22.72
CD.LB,1942,22.74
CD.LB,1943,22.53
CD.LB,1944,22.53
CD.LB,1945,22.36
CD.LB,1946,22.33
CD.LB,1947,22.21
CD.LB,1948,22.13
CD.LB,1949,22.77
CD.LB,1950,22.28
CD.LB,1951,22.02
CD.LB,1952,22.42
CD.LB,1953,22.14
CD.LB,1954,21.99
CD.LB,1955,22.03
CD.LB,1956,21.77
CD.LB,1957,22.24
CD.LB,1958,22.28
CD.LB,1959,22.25
CD.LB,1960,22.19
CD.LB,1961,22.1
CD.LB,1962,21.92
CD.LB,1963,21.88
CD.LB,1964,21.98
CD.LB,1965,21.96
CD.LB,1966,22.27
CD.LB,1967,22.0
CD.LB,1968,22.03
CD.LB,1969,22.38
CD.LB,1970,22.36
CD.LB,1971,22.03
CD.LB,1972,22.25
CD.LB,1973,22.41
CD.LB,1974,21.94
CD.LB,1975,22.08
CD.LB,1976,21.91
CD.LB,1977,22.5
CD.LB,1978,22.27
CD.LB,1979,22.32
CD.LB,1980,22.4
CD.LB,1981,22.28
CD.LB,1982,22.39
CD.LB,1983,22.92
CD.LB,1984,22.51
CD.LB,1985,22.46
CD.LB,1986,22.23
CD.LB,1987,23.02
CD.LB,1988,22.7
CD.LB,1989,22.45
CD.LB,1990,22.71
CD.LB,1991,22.44
CD.LB,1992,22.84
CD.LB,1993,22.44
CD.LB,1994,22.76
CD.LB,1995,23.05
CD.LB,1996,22.84
CD.LB,1997,23.0
CD.LB,1998,22.99
CD.LB,1999,22.43
CD.LB,2000,22.64
CD.LB,2001,22.76
CD.LB,2002,22.9
CD.LB,2003,23.04
CD.LB,2004,22.68
CD.LB,2005,23.35
CD.LB,2006,22.34
CD.LB,2007,22.35
CD.LB,2008,22.31
CD.LB,2009,22.5
CD.LB,2010,22.99
CD.LB,2011,22.44
CD.LB,2012,22.34
CD.LB,2013,22.33
CD.LB,2014,22.32
CD.LB,2015,22.53
CD.LB,2016,22.73
CD.LB,2017,22.8
CD.LB,2018,22.35
CD.LB,2019,22.54
CD.LB,2020,22.37
CD.LB,2021,22.4
CD.LB,2022,22.36
