Geography,Year,Count
CD.NK,1901,21.36
CD.NK,1902,21.46
CD.NK,1903,21.35
CD.NK,1904,21.22
CD.NK,1905,21.13
CD.NK,1906,20.89
CD.NK,1907,20.87
CD.NK,1908,21.24
CD.NK,1909,20.77
CD.NK,1910,20.77
CD.NK,1911,20.83
CD.NK,1912,20.79
CD.NK,1913,20.78
CD.NK,1914,20.91
CD.NK,1915,20.88
CD.NK,1916,20.75
CD.NK,1917,20.6
CD.NK,1918,20.72
CD.NK,1919,20.8
CD.NK,1920,20.79
CD.NK,1921,21.2
CD.NK,1922,21.16
CD.NK,1923,21.14
CD.NK,1924,21.24
CD.NK,1925,21.2
CD.NK,1926,21.31
CD.NK,1927,21.25
CD.NK,1928,21.32
CD.NK,1929,20.66
CD.NK,1930,20.75
CD.NK,1931,21.04
CD.NK,1932,20.89
CD.NK,1933,20.85
CD.NK,1934,20.81
CD.NK,1935,20.95
CD.NK,1936,20.84
CD.NK,1937,20.79
CD.NK,1938,20.92
CD.NK,1939,20.99
CD.NK,1940,21.19
CD.NK,1941,21.4
CD.NK,1942,21.1
CD.NK,1943,21.09
CD.NK,1944,21.07
CD.NK,1945,21.06
CD.NK,1946,21.02
CD.NK,1947,20.98
CD.NK,1948,21.1
CD.NK,1949,21.31
CD.NK,1950,20.84
CD.NK,1951,21.12
CD.NK,1952,21.28
CD.NK,1953,21.35
CD.NK,1954,21.18
CD.NK,1955,21.03
CD.NK,1956,21.0
CD.NK,1957,21.29
CD.NK,1958,21.62
CD.NK,1959,21.25
CD.NK,1960,21.13
CD.NK,1961,21.07
CD.NK,1962,20.98
CD.NK,1963,21.07
CD.NK,1964,21.05
CD.NK,1965,21.12
CD.NK,1966,21.28
CD.NK,1967,21.04
CD.NK,1968,20.87
CD.NK,1969,21.39
CD.NK,1970,21.24
CD.NK,1971,21.02
CD.NK,1972,21.19
CD.NK,1973,21.3
CD.NK,1974,21.02
CD.NK,1975,20.99
CD.NK,1976,21.27
CD.NK,1977,21.36
CD.NK,1978,21.37
CD.NK,1979,21.26
CD.NK,1980,21.4
CD.NK,1981,21.44
CD.NK,1982,21.48
CD.NK,1983,21.64
CD.NK,1984,21.39
CD.NK,1985,21.28
CD.NK,1986,21.37
CD.NK,1987,21.8
CD.NK,1988,21.54
CD.NK,1989,21.1
CD.NK,1990,21.55
CD.NK,1991,21.4
CD.NK,1992,21.39
CD.NK,1993,21.53
CD.NK,1994,21.34
CD.NK,1995,21.65
CD.NK,1996,21.39
CD.NK,1997,21.54
CD.NK,1998,21.59
CD.NK,1999,21.54
CD.NK,2000,21.85
CD.NK,2001,21.94
CD.NK,2002,22.19
CD.NK,2003,22.15
CD.NK,2004,22.14
CD.NK,2005,22.15
CD.NK,2006,22.0
CD.NK,2007,22.04
CD.NK,2008,21.98
CD.NK,2009,22.36
CD.NK,2010,22.14
CD.NK,2011,21.72
CD.NK,2012,21.5
CD.NK,2013,21.63
CD.NK,2014,21.51
CD.NK,2015,21.55
CD.NK,2016,21.7
CD.NK,2017,21.77
CD.NK,2018,21.53
CD.NK,2019,21.62
CD.NK,2020,21.56
CD.NK,2021,21.63
CD.NK,2022,21.59
