Geography,Year,Count
CD.NU,1901,24.92
CD.NU,1902,24.92
CD.NU,1903,24.92
CD.NU,1904,24.92
CD.NU,1905,24.92
CD.NU,1906,24.92
CD.NU,1907,24.92
CD.NU,1908,24.92
CD.NU,1909,24.92
CD.NU,1910,24.92
CD.NU,1911,24.92
CD.NU,1912,24.92
CD.NU,1913,24.92
CD.NU,1914,24.92
CD.NU,1915,24.92
CD.NU,1916,24.92
CD.NU,1917,24.92
CD.NU,1918,24.92
CD.NU,1919,24.92
CD.NU,1920,24.92
CD.NU,1921,24.92
CD.NU,1922,24.91
CD.NU,1923,24.92
CD.NU,1924,24.92
CD.NU,1925,24.92
CD.NU,1926,24.92
CD.NU,1927,24.92
CD.NU,1928,24.92
CD.NU,1929,24.92
CD.NU,1930,24.92
CD.NU,1931,24.92
CD.NU,1932,24.92
CD.NU,1933,24.92
CD.NU,1934,24.92
CD.NU,1935,24.92
CD.NU,1936,24.92
CD.NU,1937,24.92
CD.NU,1938,24.92
CD.NU,1939,24.92
CD.NU,1940,24.92
CD.NU,1941,25.95
CD.NU,1942,25.66
CD.NU,1943,24.92
CD.NU,1944,25.15
CD.NU,1945,25.23
CD.NU,1946,25.29
CD.NU,1947,25.41
CD.NU,1948,25.1
CD.NU,1949,25.29
CD.NU,1950,24.99
CD.NU,1951,25.33
CD.NU,1952,25.44
CD.NU,1953,25.3
CD.NU,1954,25.07
CD.NU,1955,24.92
CD.NU,1956,24.95
CD.NU,1957,25.2
CD.NU,1958,25.59
CD.NU,1959,25.28
CD.NU,1960,25.2
CD.NU,1961,25.2
CD.NU,1962,25.14
CD.NU,1963,25.3
CD.NU,1964,25.08
CD.NU,1965,25.19
CD.NU,1966,25.16
CD.NU,1967,24.76
CD.NU,1968,24.99
CD.NU,1969,25.27
CD.NU,1970,25.34
CD.NU,1971,24.56
CD.NU,1972,24.84
CD.NU,1973,24.95
CD.NU,1974,24.43
CD.NU,1975,24.39
CD.NU,1976,24.48
CD.NU,1977,24.78
CD.NU,1978,24.7
CD.NU,1979,24.89
CD.NU,1980,24.9
CD.NU,1981,24.84
CD.NU,1982,24.83
CD.NU,1983,25.16
CD.NU,1984,24.65
CD.NU,1985,24.77
CD.NU,1986,24.93
CD.NU,1987,25.29
CD.NU,1988,25.14
CD.NU,1989,24.72
CD.NU,1990,25.2
CD.NU,1991,24.98
CD.NU,1992,24.72
CD.NU,1993,24.64
CD.NU,1994,24.72
CD.NU,1995,25.07
CD.NU,1996,24.75
CD.NU,1997,25.04
CD.NU,1998,25.62
CD.NU,1999,24.81
CD.NU,2000,25.11
CD.NU,2001,25.1
CD.NU,2002,25.15
CD.NU,2003,25.23
CD.NU,2004,25.49
CD.NU,2005,25.57
CD.NU,2006,25.44
CD.NU,2007,25.4
CD.NU,2008,25.23
CD.NU,2009,25.5
CD.NU,2010,25.65
CD.NU,2011,25.15
CD.NU,2012,25.19
CD.NU,2013,25.24
CD.NU,2014,25.22
CD.NU,2015,25.29
CD.NU,2016,25.55
CD.NU,2017,25.29
CD.NU,2018,25.28
CD.NU,2019,25.37
CD.NU,2020,25.75
CD.NU,2021,25.62
CD.NU,2022,25.54
