Geography,Year,Count
CD.TG,1901,23.75
CD.TG,1902,23.87
CD.TG,1903,23.74
CD.TG,1904,23.86
CD.TG,1905,23.65
CD.TG,1906,23.38
CD.TG,1907,23.28
CD.TG,1908,23.61
CD.TG,1909,23.55
CD.TG,1910,23.55
CD.TG,1911,23.41
CD.TG,1912,23.56
CD.TG,1913,23.55
CD.TG,1914,23.57
CD.TG,1915,23.56
CD.TG,1916,23.54
CD.TG,1917,23.52
CD.TG,1918,23.53
CD.TG,1919,23.55
CD.TG,1920,23.54
CD.TG,1921,23.61
CD.TG,1922,23.61
CD.TG,1923,23.6
CD.TG,1924,23.62
CD.TG,1925,23.61
CD.TG,1926,23.62
CD.TG,1927,23.62
CD.TG,1928,23.63
CD.TG,1929,23.53
CD.TG,1930,23.54
CD.TG,1931,23.57
CD.TG,1932,23.48
CD.TG,1933,23.31
CD.TG,1934,23.24
CD.TG,1935,23.44
CD.TG,1936,23.42
CD.TG,1937,23.32
CD.TG,1938,23.57
CD.TG,1939,23.45
CD.TG,1940,23.62
CD.TG,1941,23.8
CD.TG,1942,23.43
CD.TG,1943,23.46
CD.TG,1944,23.52
CD.TG,1945,23.47
CD.TG,1946,23.56
CD.TG,1947,23.4
CD.TG,1948,23.6
CD.TG,1949,24.0
CD.TG,1950,23.2
CD.TG,1951,23.28
CD.TG,1952,23.6
CD.TG,1953,23.66
CD.TG,1954,23.46
CD.TG,1955,23.44
CD.TG,1956,23.22
CD.TG,1957,23.58
CD.TG,1958,23.78
CD.TG,1959,23.6
CD.TG,1960,23.42
CD.TG,1961,23.61
CD.TG,1962,23.36
CD.TG,1963,23.34
CD.TG,1964,23.37
CD.TG,1965,23.35
CD.TG,1966,23.71
CD.TG,1967,23.46
CD.TG,1968,23.33
CD.TG,1969,23.86
CD.TG,1970,23.63
CD.TG,1971,23.34
CD.TG,1972,23.62
CD.TG,1973,23.69
CD.TG,1974,23.41
CD.TG,1975,23.42
CD.TG,1976,23.49
CD.TG,1977,23.83
CD.TG,1978,23.67
CD.TG,1979,23.59
CD.TG,1980,23.71
CD.TG,1981,23.67
CD.TG,1982,23.7
CD.TG,1983,24.22
CD.TG,1984,23.71
CD.TG,1985,23.61
CD.TG,1986,23.57
CD.TG,1987,24.17
CD.TG,1988,23.97
CD.TG,1989,23.66
CD.TG,1990,23.98
CD.TG,1991,23.83
CD.TG,1992,24.02
CD.TG,1993,23.75
CD.TG,1994,24.09
CD.TG,1995,24.39
CD.TG,1996,23.99
CD.TG,1997,24.31
CD.TG,1998,24.21
CD.TG,1999,23.84
CD.TG,2000,24.01
CD.TG,2001,24.04
CD.TG,2002,24.21
CD.TG,2003,24.43
CD.TG,2004,23.98
CD.TG,2005,24.69
CD.TG,2006,23.76
CD.TG,2007,23.89
CD.TG,2008,23.62
CD.TG,2009,23.85
CD.TG,2010,24.22
CD.TG,2011,23.73
CD.TG,2012,23.88
CD.TG,2013,24.01
CD.TG,2014,23.85
CD.TG,2015,24.01
CD.TG,2016,24.13
CD.TG,2017,24.2
CD.TG,2018,23.69
CD.TG,2019,23.8
CD.TG,2020,23.68
CD.TG,2021,23.85
CD.TG,2022,23.81
