Geography,Year,Count
CD.TP,1901,24.83
CD.TP,1902,24.83
CD.TP,1903,24.83
CD.TP,1904,24.83
CD.TP,1905,24.83
CD.TP,1906,24.83
CD.TP,1907,24.83
CD.TP,1908,24.83
CD.TP,1909,24.83
CD.TP,1910,24.83
CD.TP,1911,24.83
CD.TP,1912,24.83
CD.TP,1913,24.83
CD.TP,1914,24.83
CD.TP,1915,24.83
CD.TP,1916,24.83
CD.TP,1917,24.83
CD.TP,1918,24.83
CD.TP,1919,24.83
CD.TP,1920,24.83
CD.TP,1921,24.83
CD.TP,1922,24.83
CD.TP,1923,24.83
CD.TP,1924,24.83
CD.TP,1925,24.83
CD.TP,1926,24.83
CD.TP,1927,24.83
CD.TP,1928,24.83
CD.TP,1929,24.83
CD.TP,1930,24.83
CD.TP,1931,24.83
CD.TP,1932,24.83
CD.TP,1933,24.83
CD.TP,1934,24.83
CD.TP,1935,24.83
CD.TP,1936,24.83
CD.TP,1937,24.83
CD.TP,1938,24.83
CD.TP,1939,24.83
CD.TP,1940,24.83
CD.TP,1941,25.43
CD.TP,1942,25.32
CD.TP,1943,24.79
CD.TP,1944,25.15
CD.TP,1945,25.12
CD.TP,1946,25.11
CD.TP,1947,25.25
CD.TP,1948,24.93
CD.TP,1949,25.19
CD.TP,1950,24.9
CD.TP,1951,24.95
CD.TP,1952,25.01
CD.TP,1953,24.85
CD.TP,1954,24.63
CD.TP,1955,24.55
CD.TP,1956,24.61
CD.TP,1957,24.89
CD.TP,1958,25.1
CD.TP,1959,24.84
CD.TP,1960,24.69
CD.TP,1961,24.68
CD.TP,1962,24.8
CD.TP,1963,24.85
CD.TP,1964,24.78
CD.TP,1965,24.81
CD.TP,1966,24.9
CD.TP,1967,24.76
CD.TP,1968,24.71
CD.TP,1969,25.02
CD.TP,1970,25.01
CD.TP,1971,24.6
CD.TP,1972,24.75
CD.TP,1973,24.84
CD.TP,1974,24.46
CD.TP,1975,24.41
CD.TP,1976,24.5
CD.TP,1977,24.82
CD.TP,1978,24.77
CD.TP,1979,24.91
CD.TP,1980,24.89
CD.TP,1981,24.94
CD.TP,1982,24.9
CD.TP,1983,25.13
CD.TP,1984,24.86
CD.TP,1985,24.79
CD.TP,1986,24.86
CD.TP,1987,25.33
CD.TP,1988,25.12
CD.TP,1989,24.74
CD.TP,1990,25.07
CD.TP,1991,24.88
CD.TP,1992,24.66
CD.TP,1993,24.62
CD.TP,1994,24.67
CD.TP,1995,24.97
CD.TP,1996,24.66
CD.TP,1997,24.85
CD.TP,1998,25.38
CD.TP,1999,24.7
CD.TP,2000,24.85
CD.TP,2001,24.98
CD.TP,2002,25.02
CD.TP,2003,25.04
CD.TP,2004,25.19
CD.TP,2005,25.25
CD.TP,2006,25.18
CD.TP,2007,25.1
CD.TP,2008,24.97
CD.TP,2009,25.11
CD.TP,2010,25.39
CD.TP,2011,24.98
CD.TP,2012,24.98
CD.TP,2013,25.15
CD.TP,2014,25.1
CD.TP,2015,25.17
CD.TP,2016,25.47
CD.TP,2017,25.23
CD.TP,2018,25.27
CD.TP,2019,25.28
CD.TP,2020,25.56
CD.TP,2021,25.49
CD.TP,2022,25.36
