Year,Geography,Count
1901,CD,24.02
1902,CD,24.07
1903,CD,24.04
1904,CD,24.02
1905,CD,24.01
1906,CD,23.92
1907,CD,23.9
1908,CD,23.99
1909,CD,23.96
1910,CD,23.94
1911,CD,23.95
1912,CD,23.98
1913,CD,23.96
1914,CD,23.98
1915,CD,23.97
1916,CD,23.95
1917,CD,23.94
1918,CD,23.91
1919,CD,23.93
1920,CD,23.95
1921,CD,23.99
1922,CD,24.01
1923,CD,23.99
1924,CD,24.01
1925,CD,23.97
1926,CD,24.0
1927,CD,23.99
1928,CD,24.04
1929,CD,23.94
1930,CD,23.94
1931,CD,24.01
1932,CD,23.94
1933,CD,23.94
1934,CD,23.93
1935,CD,23.95
1936,CD,23.92
1937,CD,23.91
1938,CD,23.98
1939,CD,23.97
1940,CD,24.05
1941,CD,24.4
1942,CD,24.24
1943,CD,23.93
1944,CD,24.13
1945,CD,24.06
1946,CD,24.04
1947,CD,24.11
1948,CD,23.97
1949,CD,24.27
1950,CD,23.87
1951,CD,23.92
1952,CD,24.11
1953,CD,24.01
1954,CD,23.81
1955,CD,23.75
1956,CD,23.72
1957,CD,24.04
1958,CD,24.24
1959,CD,24.02
1960,CD,23.92
1961,CD,23.85
1962,CD,23.85
1963,CD,23.93
1964,CD,23.85
1965,CD,23.92
1966,CD,24.08
1967,CD,23.83
1968,CD,23.82
1969,CD,24.22
1970,CD,24.14
1971,CD,23.78
1972,CD,23.95
1973,CD,24.07
1974,CD,23.68
1975,CD,23.69
1976,CD,23.75
1977,CD,24.08
1978,CD,24.02
1979,CD,24.1
1980,CD,24.13
1981,CD,24.13
1982,CD,24.1
1983,CD,24.43
1984,CD,24.14
1985,CD,24.04
1986,CD,24.07
1987,CD,24.59
1988,CD,24.35
1989,CD,24.0
1990,CD,24.34
1991,CD,24.13
1992,CD,24.07
1993,CD,24.03
1994,CD,24.06
1995,CD,24.36
1996,CD,24.08
1997,CD,24.27
1998,CD,24.57
1999,CD,24.04
2000,CD,24.27
2001,CD,24.38
2002,CD,24.51
2003,CD,24.53
2004,CD,24.52
2005,CD,24.73
2006,CD,24.44
2007,CD,24.46
2008,CD,24.34
2009,CD,24.56
2010,CD,24.74
2011,CD,24.25
2012,CD,24.19
2013,CD,24.3
2014,CD,24.24
2015,CD,24.33
2016,CD,24.54
2017,CD,24.41
2018,CD,24.32
2019,CD,24.37
2020,CD,24.48
2021,CD,24.46
2022,CD,24.38
