Geography,Year,Count
CG.BO,1901,23.87
CG.BO,1902,23.96
CG.BO,1903,24.07
CG.BO,1904,23.83
CG.BO,1905,24.1
CG.BO,1906,23.99
CG.BO,1907,24.06
CG.BO,1908,23.77
CG.BO,1909,24.19
CG.BO,1910,23.9
CG.BO,1911,24.16
CG.BO,1912,24.25
CG.BO,1913,23.89
CG.BO,1914,24.09
CG.BO,1915,23.91
CG.BO,1916,23.86
CG.BO,1917,23.93
CG.BO,1918,23.91
CG.BO,1919,23.89
CG.BO,1920,23.92
CG.BO,1921,23.91
CG.BO,1922,23.89
CG.BO,1923,23.86
CG.BO,1924,24.04
CG.BO,1925,23.91
CG.BO,1926,23.93
CG.BO,1927,23.96
CG.BO,1928,24.03
CG.BO,1929,23.82
CG.BO,1930,23.95
CG.BO,1931,24.0
CG.BO,1932,23.82
CG.BO,1933,24.09
CG.BO,1934,24.13
CG.BO,1935,24.0
CG.BO,1936,23.87
CG.BO,1937,24.16
CG.BO,1938,23.98
CG.BO,1939,24.04
CG.BO,1940,23.95
CG.BO,1941,24.47
CG.BO,1942,24.26
CG.BO,1943,23.73
CG.BO,1944,24.5
CG.BO,1945,24.29
CG.BO,1946,24.02
CG.BO,1947,24.48
CG.BO,1948,23.99
CG.BO,1949,24.41
CG.BO,1950,24.13
CG.BO,1951,24.09
CG.BO,1952,24.15
CG.BO,1953,24.03
CG.BO,1954,23.85
CG.BO,1955,23.9
CG.BO,1956,23.96
CG.BO,1957,24.16
CG.BO,1958,24.08
CG.BO,1959,24.07
CG.BO,1960,24.19
CG.BO,1961,23.71
CG.BO,1962,23.92
CG.BO,1963,24.28
CG.BO,1964,23.89
CG.BO,1965,23.98
CG.BO,1966,24.42
CG.BO,1967,23.92
CG.BO,1968,24.04
CG.BO,1969,24.37
CG.BO,1970,24.22
CG.BO,1971,23.98
CG.BO,1972,23.97
CG.BO,1973,24.1
CG.BO,1974,23.62
CG.BO,1975,23.65
CG.BO,1976,23.43
CG.BO,1977,23.86
CG.BO,1978,23.89
CG.BO,1979,24.34
CG.BO,1980,24.09
CG.BO,1981,24.24
CG.BO,1982,23.93
CG.BO,1983,24.34
CG.BO,1984,24.62
CG.BO,1985,24.24
CG.BO,1986,24.25
CG.BO,1987,24.67
CG.BO,1988,24.46
CG.BO,1989,24.24
CG.BO,1990,24.27
CG.BO,1991,24.21
CG.BO,1992,23.88
CG.BO,1993,24.11
CG.BO,1994,24.0
CG.BO,1995,24.27
CG.BO,1996,23.98
CG.BO,1997,24.11
CG.BO,1998,24.87
CG.BO,1999,24.27
CG.BO,2000,24.19
CG.BO,2001,24.43
CG.BO,2002,24.58
CG.BO,2003,24.48
CG.BO,2004,24.48
CG.BO,2005,24.56
CG.BO,2006,24.57
CG.BO,2007,24.53
CG.BO,2008,24.4
CG.BO,2009,24.5
CG.BO,2010,24.77
CG.BO,2011,24.3
CG.BO,2012,24.39
CG.BO,2013,24.5
CG.BO,2014,24.47
CG.BO,2015,24.55
CG.BO,2016,24.95
CG.BO,2017,24.55
CG.BO,2018,24.82
CG.BO,2019,24.74
CG.BO,2020,25.03
CG.BO,2021,24.95
CG.BO,2022,24.67
