Geography,Year,Count
CG.CO,1901,23.84
CG.CO,1902,23.99
CG.CO,1903,24.11
CG.CO,1904,23.84
CG.CO,1905,24.19
CG.CO,1906,24.13
CG.CO,1907,24.18
CG.CO,1908,23.82
CG.CO,1909,24.32
CG.CO,1910,23.82
CG.CO,1911,24.18
CG.CO,1912,24.26
CG.CO,1913,23.86
CG.CO,1914,24.21
CG.CO,1915,24.06
CG.CO,1916,24.05
CG.CO,1917,24.07
CG.CO,1918,24.06
CG.CO,1919,24.06
CG.CO,1920,24.06
CG.CO,1921,24.07
CG.CO,1922,24.06
CG.CO,1923,24.05
CG.CO,1924,24.09
CG.CO,1925,24.06
CG.CO,1926,24.07
CG.CO,1927,24.07
CG.CO,1928,24.09
CG.CO,1929,24.04
CG.CO,1930,24.07
CG.CO,1931,24.08
CG.CO,1932,24.04
CG.CO,1933,24.1
CG.CO,1934,24.11
CG.CO,1935,24.08
CG.CO,1936,24.06
CG.CO,1937,24.11
CG.CO,1938,24.08
CG.CO,1939,24.09
CG.CO,1940,24.07
CG.CO,1941,24.67
CG.CO,1942,24.52
CG.CO,1943,23.96
CG.CO,1944,24.52
CG.CO,1945,24.45
CG.CO,1946,24.31
CG.CO,1947,24.55
CG.CO,1948,24.13
CG.CO,1949,24.51
CG.CO,1950,24.27
CG.CO,1951,24.39
CG.CO,1952,24.3
CG.CO,1953,24.29
CG.CO,1954,24.06
CG.CO,1955,24.09
CG.CO,1956,24.08
CG.CO,1957,24.37
CG.CO,1958,24.38
CG.CO,1959,24.38
CG.CO,1960,24.28
CG.CO,1961,23.9
CG.CO,1962,24.1
CG.CO,1963,24.15
CG.CO,1964,24.04
CG.CO,1965,24.08
CG.CO,1966,24.32
CG.CO,1967,24.06
CG.CO,1968,24.08
CG.CO,1969,24.42
CG.CO,1970,24.25
CG.CO,1971,23.88
CG.CO,1972,24.09
CG.CO,1973,24.14
CG.CO,1974,23.55
CG.CO,1975,23.63
CG.CO,1976,23.42
CG.CO,1977,23.9
CG.CO,1978,23.72
CG.CO,1979,24.31
CG.CO,1980,24.12
CG.CO,1981,24.24
CG.CO,1982,24.0
CG.CO,1983,24.5
CG.CO,1984,24.31
CG.CO,1985,24.15
CG.CO,1986,24.12
CG.CO,1987,24.62
CG.CO,1988,24.33
CG.CO,1989,24.19
CG.CO,1990,24.39
CG.CO,1991,24.15
CG.CO,1992,23.83
CG.CO,1993,23.93
CG.CO,1994,23.96
CG.CO,1995,24.23
CG.CO,1996,23.94
CG.CO,1997,24.13
CG.CO,1998,24.82
CG.CO,1999,24.15
CG.CO,2000,24.16
CG.CO,2001,24.34
CG.CO,2002,24.42
CG.CO,2003,24.41
CG.CO,2004,24.51
CG.CO,2005,24.57
CG.CO,2006,24.52
CG.CO,2007,24.45
CG.CO,2008,24.31
CG.CO,2009,24.48
CG.CO,2010,24.79
CG.CO,2011,24.31
CG.CO,2012,24.37
CG.CO,2013,24.49
CG.CO,2014,24.45
CG.CO,2015,24.61
CG.CO,2016,24.93
CG.CO,2017,24.61
CG.CO,2018,24.75
CG.CO,2019,24.69
CG.CO,2020,25.05
CG.CO,2021,24.88
CG.CO,2022,24.74
