Geography,Year,Count
CG.LE,1901,23.27
CG.LE,1902,23.36
CG.LE,1903,23.5
CG.LE,1904,23.23
CG.LE,1905,23.54
CG.LE,1906,23.44
CG.LE,1907,23.51
CG.LE,1908,23.17
CG.LE,1909,23.65
CG.LE,1910,23.28
CG.LE,1911,23.58
CG.LE,1912,23.67
CG.LE,1913,23.28
CG.LE,1914,23.54
CG.LE,1915,23.35
CG.LE,1916,23.31
CG.LE,1917,23.38
CG.LE,1918,23.35
CG.LE,1919,23.34
CG.LE,1920,23.36
CG.LE,1921,23.35
CG.LE,1922,23.34
CG.LE,1923,23.31
CG.LE,1924,23.47
CG.LE,1925,23.36
CG.LE,1926,23.37
CG.LE,1927,23.39
CG.LE,1928,23.46
CG.LE,1929,23.28
CG.LE,1930,23.39
CG.LE,1931,23.44
CG.LE,1932,23.27
CG.LE,1933,23.5
CG.LE,1934,23.54
CG.LE,1935,23.43
CG.LE,1936,23.32
CG.LE,1937,23.56
CG.LE,1938,23.41
CG.LE,1939,23.46
CG.LE,1940,23.39
CG.LE,1941,23.94
CG.LE,1942,23.74
CG.LE,1943,23.2
CG.LE,1944,23.93
CG.LE,1945,23.76
CG.LE,1946,23.5
CG.LE,1947,23.93
CG.LE,1948,23.46
CG.LE,1949,23.88
CG.LE,1950,23.6
CG.LE,1951,23.55
CG.LE,1952,23.56
CG.LE,1953,23.5
CG.LE,1954,23.32
CG.LE,1955,23.37
CG.LE,1956,23.41
CG.LE,1957,23.62
CG.LE,1958,23.55
CG.LE,1959,23.52
CG.LE,1960,23.69
CG.LE,1961,23.16
CG.LE,1962,23.36
CG.LE,1963,23.7
CG.LE,1964,23.35
CG.LE,1965,23.45
CG.LE,1966,23.86
CG.LE,1967,23.37
CG.LE,1968,23.51
CG.LE,1969,23.79
CG.LE,1970,23.65
CG.LE,1971,23.37
CG.LE,1972,23.38
CG.LE,1973,23.49
CG.LE,1974,22.99
CG.LE,1975,23.06
CG.LE,1976,22.81
CG.LE,1977,23.22
CG.LE,1978,23.25
CG.LE,1979,23.75
CG.LE,1980,23.5
CG.LE,1981,23.66
CG.LE,1982,23.35
CG.LE,1983,23.8
CG.LE,1984,24.01
CG.LE,1985,23.64
CG.LE,1986,23.66
CG.LE,1987,24.08
CG.LE,1988,23.83
CG.LE,1989,23.68
CG.LE,1990,23.7
CG.LE,1991,23.61
CG.LE,1992,23.29
CG.LE,1993,23.49
CG.LE,1994,23.43
CG.LE,1995,23.67
CG.LE,1996,23.39
CG.LE,1997,23.51
CG.LE,1998,24.26
CG.LE,1999,23.68
CG.LE,2000,23.6
CG.LE,2001,23.82
CG.LE,2002,23.97
CG.LE,2003,23.88
CG.LE,2004,23.9
CG.LE,2005,23.97
CG.LE,2006,23.98
CG.LE,2007,23.94
CG.LE,2008,23.81
CG.LE,2009,23.92
CG.LE,2010,24.18
CG.LE,2011,23.74
CG.LE,2012,23.83
CG.LE,2013,23.9
CG.LE,2014,23.88
CG.LE,2015,23.97
CG.LE,2016,24.36
CG.LE,2017,23.96
CG.LE,2018,24.23
CG.LE,2019,24.14
CG.LE,2020,24.45
CG.LE,2021,24.35
CG.LE,2022,24.1
