Geography,Year,Count
CI.BA,1901,26.09
CI.BA,1902,25.98
CI.BA,1903,25.99
CI.BA,1904,25.81
CI.BA,1905,25.98
CI.BA,1906,25.98
CI.BA,1907,25.88
CI.BA,1908,25.86
CI.BA,1909,25.84
CI.BA,1910,26.01
CI.BA,1911,25.9
CI.BA,1912,26.09
CI.BA,1913,25.92
CI.BA,1914,25.92
CI.BA,1915,26.09
CI.BA,1916,26.01
CI.BA,1917,25.91
CI.BA,1918,25.81
CI.BA,1919,25.7
CI.BA,1920,25.79
CI.BA,1921,25.75
CI.BA,1922,25.84
CI.BA,1923,25.87
CI.BA,1924,25.75
CI.BA,1925,25.5
CI.BA,1926,25.98
CI.BA,1927,25.36
CI.BA,1928,25.27
CI.BA,1929,25.41
CI.BA,1930,25.46
CI.BA,1931,25.73
CI.BA,1932,25.68
CI.BA,1933,25.75
CI.BA,1934,25.83
CI.BA,1935,25.59
CI.BA,1936,25.72
CI.BA,1937,25.93
CI.BA,1938,25.91
CI.BA,1939,25.81
CI.BA,1940,25.88
CI.BA,1941,26.26
CI.BA,1942,25.91
CI.BA,1943,25.66
CI.BA,1944,26.1
CI.BA,1945,26.05
CI.BA,1946,25.78
CI.BA,1947,25.85
CI.BA,1948,25.61
CI.BA,1949,25.91
CI.BA,1950,25.61
CI.BA,1951,25.97
CI.BA,1952,26.01
CI.BA,1953,26.02
CI.BA,1954,25.72
CI.BA,1955,25.68
CI.BA,1956,25.6
CI.BA,1957,25.9
CI.BA,1958,25.91
CI.BA,1959,25.83
CI.BA,1960,25.84
CI.BA,1961,25.85
CI.BA,1962,25.79
CI.BA,1963,26.04
CI.BA,1964,25.62
CI.BA,1965,25.55
CI.BA,1966,26.02
CI.BA,1967,25.65
CI.BA,1968,25.88
CI.BA,1969,26.12
CI.BA,1970,26.07
CI.BA,1971,25.19
CI.BA,1972,25.45
CI.BA,1973,25.92
CI.BA,1974,25.43
CI.BA,1975,25.35
CI.BA,1976,25.05
CI.BA,1977,25.63
CI.BA,1978,25.42
CI.BA,1979,25.78
CI.BA,1980,25.66
CI.BA,1981,25.82
CI.BA,1982,25.45
CI.BA,1983,25.99
CI.BA,1984,25.9
CI.BA,1985,25.62
CI.BA,1986,25.56
CI.BA,1987,26.46
CI.BA,1988,26.02
CI.BA,1989,25.84
CI.BA,1990,25.94
CI.BA,1991,25.87
CI.BA,1992,25.77
CI.BA,1993,25.83
CI.BA,1994,25.87
CI.BA,1995,26.15
CI.BA,1996,26.03
CI.BA,1997,26.09
CI.BA,1998,26.61
CI.BA,1999,26.04
CI.BA,2000,25.99
CI.BA,2001,25.96
CI.BA,2002,26.17
CI.BA,2003,26.19
CI.BA,2004,26.23
CI.BA,2005,26.37
CI.BA,2006,26.18
CI.BA,2007,26.27
CI.BA,2008,25.83
CI.BA,2009,26.11
CI.BA,2010,26.57
CI.BA,2011,26.14
CI.BA,2012,25.9
CI.BA,2013,26.14
CI.BA,2014,26.21
CI.BA,2015,26.38
CI.BA,2016,26.69
CI.BA,2017,26.52
CI.BA,2018,26.26
CI.BA,2019,26.17
CI.BA,2020,26.42
CI.BA,2021,26.5
CI.BA,2022,26.09
