Geography,Year,Count
CI.DE,1901,26.19
CI.DE,1902,26.2
CI.DE,1903,25.98
CI.DE,1904,25.96
CI.DE,1905,25.94
CI.DE,1906,25.89
CI.DE,1907,25.78
CI.DE,1908,26.06
CI.DE,1909,26.03
CI.DE,1910,26.09
CI.DE,1911,25.83
CI.DE,1912,26.27
CI.DE,1913,25.97
CI.DE,1914,26.01
CI.DE,1915,26.06
CI.DE,1916,25.79
CI.DE,1917,25.81
CI.DE,1918,25.62
CI.DE,1919,25.84
CI.DE,1920,25.94
CI.DE,1921,25.89
CI.DE,1922,25.83
CI.DE,1923,25.84
CI.DE,1924,25.78
CI.DE,1925,25.72
CI.DE,1926,25.7
CI.DE,1927,25.09
CI.DE,1928,25.12
CI.DE,1929,24.96
CI.DE,1930,25.23
CI.DE,1931,25.96
CI.DE,1932,25.74
CI.DE,1933,25.72
CI.DE,1934,25.93
CI.DE,1935,25.95
CI.DE,1936,25.83
CI.DE,1937,26.24
CI.DE,1938,26.35
CI.DE,1939,26.24
CI.DE,1940,26.06
CI.DE,1941,26.33
CI.DE,1942,26.06
CI.DE,1943,25.67
CI.DE,1944,26.19
CI.DE,1945,26.08
CI.DE,1946,25.84
CI.DE,1947,26.12
CI.DE,1948,25.71
CI.DE,1949,26.02
CI.DE,1950,25.87
CI.DE,1951,26.07
CI.DE,1952,25.94
CI.DE,1953,26.07
CI.DE,1954,25.71
CI.DE,1955,25.86
CI.DE,1956,25.87
CI.DE,1957,26.0
CI.DE,1958,26.2
CI.DE,1959,25.95
CI.DE,1960,25.92
CI.DE,1961,25.67
CI.DE,1962,25.65
CI.DE,1963,25.99
CI.DE,1964,25.67
CI.DE,1965,25.49
CI.DE,1966,25.87
CI.DE,1967,25.46
CI.DE,1968,25.83
CI.DE,1969,26.3
CI.DE,1970,26.05
CI.DE,1971,25.65
CI.DE,1972,25.83
CI.DE,1973,26.22
CI.DE,1974,25.54
CI.DE,1975,25.29
CI.DE,1976,25.19
CI.DE,1977,25.8
CI.DE,1978,25.64
CI.DE,1979,25.89
CI.DE,1980,26.23
CI.DE,1981,26.0
CI.DE,1982,25.59
CI.DE,1983,26.26
CI.DE,1984,26.0
CI.DE,1985,25.96
CI.DE,1986,25.63
CI.DE,1987,26.6
CI.DE,1988,26.09
CI.DE,1989,25.91
CI.DE,1990,26.07
CI.DE,1991,26.02
CI.DE,1992,25.84
CI.DE,1993,26.02
CI.DE,1994,25.79
CI.DE,1995,25.98
CI.DE,1996,26.25
CI.DE,1997,26.11
CI.DE,1998,26.67
CI.DE,1999,25.92
CI.DE,2000,26.02
CI.DE,2001,26.16
CI.DE,2002,26.52
CI.DE,2003,26.39
CI.DE,2004,26.5
CI.DE,2005,26.57
CI.DE,2006,26.27
CI.DE,2007,26.47
CI.DE,2008,26.04
CI.DE,2009,26.38
CI.DE,2010,26.59
CI.DE,2011,26.4
CI.DE,2012,26.1
CI.DE,2013,26.37
CI.DE,2014,26.36
CI.DE,2015,26.56
CI.DE,2016,26.77
CI.DE,2017,26.7
CI.DE,2018,26.59
CI.DE,2019,26.31
CI.DE,2020,26.68
CI.DE,2021,26.96
CI.DE,2022,26.38
