Geography,Year,Count
CI.LN,1901,26.71
CI.LN,1902,26.69
CI.LN,1903,26.7
CI.LN,1904,26.65
CI.LN,1905,26.67
CI.LN,1906,26.71
CI.LN,1907,26.67
CI.LN,1908,26.67
CI.LN,1909,26.66
CI.LN,1910,26.71
CI.LN,1911,26.67
CI.LN,1912,26.72
CI.LN,1913,26.69
CI.LN,1914,26.7
CI.LN,1915,26.71
CI.LN,1916,26.7
CI.LN,1917,26.67
CI.LN,1918,26.65
CI.LN,1919,26.63
CI.LN,1920,26.7
CI.LN,1921,26.63
CI.LN,1922,26.67
CI.LN,1923,26.55
CI.LN,1924,26.62
CI.LN,1925,26.27
CI.LN,1926,26.78
CI.LN,1927,26.08
CI.LN,1928,26.06
CI.LN,1929,26.18
CI.LN,1930,26.42
CI.LN,1931,26.84
CI.LN,1932,26.73
CI.LN,1933,26.78
CI.LN,1934,26.87
CI.LN,1935,26.53
CI.LN,1936,26.59
CI.LN,1937,27.15
CI.LN,1938,27.25
CI.LN,1939,26.97
CI.LN,1940,26.74
CI.LN,1941,27.18
CI.LN,1942,26.83
CI.LN,1943,26.53
CI.LN,1944,27.0
CI.LN,1945,26.86
CI.LN,1946,26.59
CI.LN,1947,26.8
CI.LN,1948,26.48
CI.LN,1949,26.87
CI.LN,1950,26.45
CI.LN,1951,26.87
CI.LN,1952,26.86
CI.LN,1953,26.87
CI.LN,1954,26.59
CI.LN,1955,26.47
CI.LN,1956,26.44
CI.LN,1957,26.74
CI.LN,1958,26.77
CI.LN,1959,26.81
CI.LN,1960,26.75
CI.LN,1961,26.71
CI.LN,1962,26.68
CI.LN,1963,26.96
CI.LN,1964,26.42
CI.LN,1965,26.45
CI.LN,1966,26.96
CI.LN,1967,26.52
CI.LN,1968,26.83
CI.LN,1969,27.04
CI.LN,1970,27.01
CI.LN,1971,26.09
CI.LN,1972,26.32
CI.LN,1973,26.85
CI.LN,1974,26.31
CI.LN,1975,26.24
CI.LN,1976,25.98
CI.LN,1977,26.58
CI.LN,1978,26.32
CI.LN,1979,26.7
CI.LN,1980,26.53
CI.LN,1981,26.74
CI.LN,1982,26.4
CI.LN,1983,26.94
CI.LN,1984,26.89
CI.LN,1985,26.54
CI.LN,1986,26.55
CI.LN,1987,27.35
CI.LN,1988,26.92
CI.LN,1989,26.69
CI.LN,1990,26.89
CI.LN,1991,26.84
CI.LN,1992,26.7
CI.LN,1993,26.79
CI.LN,1994,26.87
CI.LN,1995,27.15
CI.LN,1996,26.98
CI.LN,1997,27.04
CI.LN,1998,27.59
CI.LN,1999,26.98
CI.LN,2000,26.98
CI.LN,2001,26.89
CI.LN,2002,27.11
CI.LN,2003,27.12
CI.LN,2004,27.1
CI.LN,2005,27.26
CI.LN,2006,27.11
CI.LN,2007,27.16
CI.LN,2008,26.85
CI.LN,2009,27.14
CI.LN,2010,27.55
CI.LN,2011,27.12
CI.LN,2012,26.87
CI.LN,2013,27.09
CI.LN,2014,27.16
CI.LN,2015,27.34
CI.LN,2016,27.66
CI.LN,2017,27.5
CI.LN,2018,27.32
CI.LN,2019,27.18
CI.LN,2020,27.49
CI.LN,2021,27.57
CI.LN,2022,27.09
