Geography,Year,Count
CI.VB,1901,26.89
CI.VB,1902,26.9
CI.VB,1903,26.89
CI.VB,1904,26.87
CI.VB,1905,26.82
CI.VB,1906,26.86
CI.VB,1907,26.79
CI.VB,1908,26.86
CI.VB,1909,26.84
CI.VB,1910,26.9
CI.VB,1911,26.77
CI.VB,1912,26.94
CI.VB,1913,26.87
CI.VB,1914,26.93
CI.VB,1915,26.83
CI.VB,1916,26.72
CI.VB,1917,26.73
CI.VB,1918,26.63
CI.VB,1919,26.81
CI.VB,1920,26.89
CI.VB,1921,26.83
CI.VB,1922,26.8
CI.VB,1923,26.64
CI.VB,1924,26.76
CI.VB,1925,26.47
CI.VB,1926,26.68
CI.VB,1927,25.99
CI.VB,1928,26.06
CI.VB,1929,26.03
CI.VB,1930,26.33
CI.VB,1931,26.95
CI.VB,1932,26.8
CI.VB,1933,26.83
CI.VB,1934,26.98
CI.VB,1935,26.88
CI.VB,1936,26.76
CI.VB,1937,27.54
CI.VB,1938,27.64
CI.VB,1939,27.33
CI.VB,1940,26.95
CI.VB,1941,27.27
CI.VB,1942,26.98
CI.VB,1943,26.62
CI.VB,1944,27.14
CI.VB,1945,26.98
CI.VB,1946,26.71
CI.VB,1947,27.02
CI.VB,1948,26.64
CI.VB,1949,27.02
CI.VB,1950,26.59
CI.VB,1951,27.09
CI.VB,1952,27.07
CI.VB,1953,27.09
CI.VB,1954,26.84
CI.VB,1955,26.71
CI.VB,1956,26.74
CI.VB,1957,27.04
CI.VB,1958,27.14
CI.VB,1959,27.06
CI.VB,1960,26.91
CI.VB,1961,26.9
CI.VB,1962,26.88
CI.VB,1963,27.16
CI.VB,1964,26.66
CI.VB,1965,26.67
CI.VB,1966,27.05
CI.VB,1967,26.66
CI.VB,1968,26.94
CI.VB,1969,27.3
CI.VB,1970,27.22
CI.VB,1971,26.33
CI.VB,1972,26.59
CI.VB,1973,27.06
CI.VB,1974,26.43
CI.VB,1975,26.37
CI.VB,1976,26.14
CI.VB,1977,26.77
CI.VB,1978,26.52
CI.VB,1979,26.83
CI.VB,1980,26.82
CI.VB,1981,26.91
CI.VB,1982,26.53
CI.VB,1983,27.2
CI.VB,1984,27.03
CI.VB,1985,26.8
CI.VB,1986,26.67
CI.VB,1987,27.57
CI.VB,1988,27.04
CI.VB,1989,26.89
CI.VB,1990,26.97
CI.VB,1991,26.95
CI.VB,1992,26.8
CI.VB,1993,26.92
CI.VB,1994,26.88
CI.VB,1995,27.1
CI.VB,1996,27.1
CI.VB,1997,27.14
CI.VB,1998,27.7
CI.VB,1999,27.02
CI.VB,2000,27.05
CI.VB,2001,27.16
CI.VB,2002,27.43
CI.VB,2003,27.37
CI.VB,2004,27.38
CI.VB,2005,27.53
CI.VB,2006,27.29
CI.VB,2007,27.44
CI.VB,2008,26.97
CI.VB,2009,27.45
CI.VB,2010,27.68
CI.VB,2011,27.35
CI.VB,2012,27.09
CI.VB,2013,27.31
CI.VB,2014,27.35
CI.VB,2015,27.54
CI.VB,2016,27.82
CI.VB,2017,27.67
CI.VB,2018,27.55
CI.VB,2019,27.33
CI.VB,2020,27.74
CI.VB,2021,27.97
CI.VB,2022,27.39
