Geography,Year,Count
CI.ZA,1901,26.79
CI.ZA,1902,26.9
CI.ZA,1903,26.98
CI.ZA,1904,26.98
CI.ZA,1905,26.8
CI.ZA,1906,27.0
CI.ZA,1907,26.86
CI.ZA,1908,26.94
CI.ZA,1909,26.88
CI.ZA,1910,26.97
CI.ZA,1911,26.75
CI.ZA,1912,27.01
CI.ZA,1913,27.03
CI.ZA,1914,27.16
CI.ZA,1915,26.71
CI.ZA,1916,26.51
CI.ZA,1917,26.59
CI.ZA,1918,26.52
CI.ZA,1919,26.97
CI.ZA,1920,27.03
CI.ZA,1921,26.97
CI.ZA,1922,26.78
CI.ZA,1923,26.61
CI.ZA,1924,26.9
CI.ZA,1925,26.54
CI.ZA,1926,26.75
CI.ZA,1927,25.99
CI.ZA,1928,26.14
CI.ZA,1929,26.06
CI.ZA,1930,26.49
CI.ZA,1931,27.16
CI.ZA,1932,26.98
CI.ZA,1933,27.01
CI.ZA,1934,27.19
CI.ZA,1935,27.23
CI.ZA,1936,26.91
CI.ZA,1937,28.03
CI.ZA,1938,28.2
CI.ZA,1939,27.65
CI.ZA,1940,27.07
CI.ZA,1941,27.48
CI.ZA,1942,27.19
CI.ZA,1943,26.79
CI.ZA,1944,27.28
CI.ZA,1945,27.04
CI.ZA,1946,26.8
CI.ZA,1947,27.19
CI.ZA,1948,26.75
CI.ZA,1949,27.22
CI.ZA,1950,26.64
CI.ZA,1951,27.15
CI.ZA,1952,27.07
CI.ZA,1953,27.07
CI.ZA,1954,26.84
CI.ZA,1955,26.66
CI.ZA,1956,26.76
CI.ZA,1957,27.01
CI.ZA,1958,27.21
CI.ZA,1959,27.13
CI.ZA,1960,26.93
CI.ZA,1961,26.86
CI.ZA,1962,26.85
CI.ZA,1963,27.19
CI.ZA,1964,26.71
CI.ZA,1965,26.71
CI.ZA,1966,27.11
CI.ZA,1967,26.74
CI.ZA,1968,27.01
CI.ZA,1969,27.4
CI.ZA,1970,27.33
CI.ZA,1971,26.55
CI.ZA,1972,26.78
CI.ZA,1973,27.29
CI.ZA,1974,26.63
CI.ZA,1975,26.5
CI.ZA,1976,26.34
CI.ZA,1977,26.97
CI.ZA,1978,26.73
CI.ZA,1979,27.03
CI.ZA,1980,27.02
CI.ZA,1981,27.12
CI.ZA,1982,26.75
CI.ZA,1983,27.43
CI.ZA,1984,27.28
CI.ZA,1985,27.08
CI.ZA,1986,26.94
CI.ZA,1987,27.73
CI.ZA,1988,27.19
CI.ZA,1989,26.99
CI.ZA,1990,27.19
CI.ZA,1991,27.14
CI.ZA,1992,26.92
CI.ZA,1993,27.12
CI.ZA,1994,27.03
CI.ZA,1995,27.27
CI.ZA,1996,27.29
CI.ZA,1997,27.31
CI.ZA,1998,27.85
CI.ZA,1999,27.19
CI.ZA,2000,27.23
CI.ZA,2001,27.39
CI.ZA,2002,27.62
CI.ZA,2003,27.52
CI.ZA,2004,27.49
CI.ZA,2005,27.73
CI.ZA,2006,27.51
CI.ZA,2007,27.61
CI.ZA,2008,27.23
CI.ZA,2009,27.67
CI.ZA,2010,27.87
CI.ZA,2011,27.61
CI.ZA,2012,27.32
CI.ZA,2013,27.49
CI.ZA,2014,27.57
CI.ZA,2015,27.72
CI.ZA,2016,28.01
CI.ZA,2017,27.86
CI.ZA,2018,27.78
CI.ZA,2019,27.55
CI.ZA,2020,27.97
CI.ZA,2021,28.19
CI.ZA,2022,27.6
