Geography,Year,Count
CM.SW,1901,22.97
CM.SW,1902,23.24
CM.SW,1903,23.36
CM.SW,1904,23.1
CM.SW,1905,23.46
CM.SW,1906,23.43
CM.SW,1907,23.47
CM.SW,1908,23.1
CM.SW,1909,23.59
CM.SW,1910,23.01
CM.SW,1911,23.42
CM.SW,1912,23.45
CM.SW,1913,23.11
CM.SW,1914,23.5
CM.SW,1915,23.34
CM.SW,1916,23.34
CM.SW,1917,23.34
CM.SW,1918,23.34
CM.SW,1919,23.34
CM.SW,1920,23.34
CM.SW,1921,23.34
CM.SW,1922,23.34
CM.SW,1923,23.4
CM.SW,1924,23.36
CM.SW,1925,23.2
CM.SW,1926,23.43
CM.SW,1927,23.42
CM.SW,1928,23.26
CM.SW,1929,23.13
CM.SW,1930,23.46
CM.SW,1931,23.65
CM.SW,1932,23.56
CM.SW,1933,23.43
CM.SW,1934,23.49
CM.SW,1935,23.54
CM.SW,1936,23.38
CM.SW,1937,23.51
CM.SW,1938,23.71
CM.SW,1939,23.58
CM.SW,1940,23.34
CM.SW,1941,23.89
CM.SW,1942,23.73
CM.SW,1943,23.31
CM.SW,1944,23.59
CM.SW,1945,23.59
CM.SW,1946,23.47
CM.SW,1947,23.66
CM.SW,1948,23.33
CM.SW,1949,23.69
CM.SW,1950,23.6
CM.SW,1951,23.71
CM.SW,1952,23.58
CM.SW,1953,23.53
CM.SW,1954,23.16
CM.SW,1955,23.23
CM.SW,1956,23.13
CM.SW,1957,23.48
CM.SW,1958,23.44
CM.SW,1959,23.51
CM.SW,1960,23.51
CM.SW,1961,23.31
CM.SW,1962,23.37
CM.SW,1963,23.72
CM.SW,1964,23.31
CM.SW,1965,23.29
CM.SW,1966,23.6
CM.SW,1967,23.39
CM.SW,1968,23.34
CM.SW,1969,23.58
CM.SW,1970,23.5
CM.SW,1971,23.03
CM.SW,1972,23.2
CM.SW,1973,23.55
CM.SW,1974,23.02
CM.SW,1975,23.01
CM.SW,1976,22.82
CM.SW,1977,23.34
CM.SW,1978,23.27
CM.SW,1979,23.44
CM.SW,1980,23.46
CM.SW,1981,23.3
CM.SW,1982,23.14
CM.SW,1983,23.47
CM.SW,1984,23.43
CM.SW,1985,23.21
CM.SW,1986,23.08
CM.SW,1987,23.75
CM.SW,1988,23.43
CM.SW,1989,23.38
CM.SW,1990,23.41
CM.SW,1991,23.27
CM.SW,1992,23.19
CM.SW,1993,23.31
CM.SW,1994,23.26
CM.SW,1995,23.48
CM.SW,1996,23.36
CM.SW,1997,23.26
CM.SW,1998,23.94
CM.SW,1999,23.46
CM.SW,2000,23.52
CM.SW,2001,23.52
CM.SW,2002,23.64
CM.SW,2003,23.77
CM.SW,2004,23.69
CM.SW,2005,23.78
CM.SW,2006,23.74
CM.SW,2007,23.73
CM.SW,2008,23.55
CM.SW,2009,23.73
CM.SW,2010,23.94
CM.SW,2011,23.63
CM.SW,2012,23.58
CM.SW,2013,23.72
CM.SW,2014,23.82
CM.SW,2015,23.88
CM.SW,2016,24.0
CM.SW,2017,23.91
CM.SW,2018,23.89
CM.SW,2019,23.77
CM.SW,2020,23.93
CM.SW,2021,24.05
CM.SW,2022,23.75
