Geography,Year,Count
CV.BV,1901,23.26
CV.BV,1902,23.34
CV.BV,1903,23.66
CV.BV,1904,23.25
CV.BV,1905,23.47
CV.BV,1906,23.72
CV.BV,1907,22.59
CV.BV,1908,23.59
CV.BV,1909,23.34
CV.BV,1910,23.47
CV.BV,1911,23.4
CV.BV,1912,23.31
CV.BV,1913,23.67
CV.BV,1914,23.19
CV.BV,1915,23.75
CV.BV,1916,23.31
CV.BV,1917,23.14
CV.BV,1918,23.58
CV.BV,1919,24.09
CV.BV,1920,23.27
CV.BV,1921,23.28
CV.BV,1922,22.89
CV.BV,1923,23.36
CV.BV,1924,23.23
CV.BV,1925,23.35
CV.BV,1926,23.82
CV.BV,1927,23.6
CV.BV,1928,23.23
CV.BV,1929,23.2
CV.BV,1930,22.93
CV.BV,1931,23.32
CV.BV,1932,23.42
CV.BV,1933,23.49
CV.BV,1934,23.2
CV.BV,1935,23.12
CV.BV,1936,23.62
CV.BV,1937,23.81
CV.BV,1938,23.58
CV.BV,1939,23.22
CV.BV,1940,23.3
CV.BV,1941,23.48
CV.BV,1942,23.17
CV.BV,1943,23.38
CV.BV,1944,23.7
CV.BV,1945,24.1
CV.BV,1946,23.49
CV.BV,1947,23.51
CV.BV,1948,23.52
CV.BV,1949,23.52
CV.BV,1950,23.65
CV.BV,1951,23.2
CV.BV,1952,23.27
CV.BV,1953,23.31
CV.BV,1954,23.38
CV.BV,1955,23.55
CV.BV,1956,23.17
CV.BV,1957,23.13
CV.BV,1958,23.76
CV.BV,1959,23.41
CV.BV,1960,23.53
CV.BV,1961,23.82
CV.BV,1962,23.76
CV.BV,1963,23.9
CV.BV,1964,23.61
CV.BV,1965,23.29
CV.BV,1966,23.83
CV.BV,1967,23.21
CV.BV,1968,23.12
CV.BV,1969,24.17
CV.BV,1970,23.9
CV.BV,1971,22.77
CV.BV,1972,22.96
CV.BV,1973,23.34
CV.BV,1974,22.7
CV.BV,1975,22.95
CV.BV,1976,22.87
CV.BV,1977,23.46
CV.BV,1978,23.26
CV.BV,1979,23.54
CV.BV,1980,23.18
CV.BV,1981,23.49
CV.BV,1982,23.03
CV.BV,1983,23.8
CV.BV,1984,23.29
CV.BV,1985,23.1
CV.BV,1986,23.1
CV.BV,1987,23.86
CV.BV,1988,23.45
CV.BV,1989,23.34
CV.BV,1990,23.75
CV.BV,1991,23.44
CV.BV,1992,23.43
CV.BV,1993,23.43
CV.BV,1994,23.33
CV.BV,1995,23.55
CV.BV,1996,23.75
CV.BV,1997,24.04
CV.BV,1998,24.14
CV.BV,1999,23.44
CV.BV,2000,23.62
CV.BV,2001,24.0
CV.BV,2002,23.91
CV.BV,2003,23.86
CV.BV,2004,23.95
CV.BV,2005,24.17
CV.BV,2006,23.86
CV.BV,2007,23.87
CV.BV,2008,24.02
CV.BV,2009,23.71
CV.BV,2010,24.35
CV.BV,2011,23.81
CV.BV,2012,23.87
CV.BV,2013,23.98
CV.BV,2014,23.8
CV.BV,2015,23.92
CV.BV,2016,24.1
CV.BV,2017,24.17
CV.BV,2018,23.52
CV.BV,2019,23.69
CV.BV,2020,24.4
CV.BV,2021,24.18
CV.BV,2022,24.03
