Geography,Year,Count
CV.MA,1901,23.75
CV.MA,1902,23.8
CV.MA,1903,24.1
CV.MA,1904,23.72
CV.MA,1905,23.93
CV.MA,1906,24.13
CV.MA,1907,23.08
CV.MA,1908,24.03
CV.MA,1909,23.84
CV.MA,1910,23.93
CV.MA,1911,23.87
CV.MA,1912,23.77
CV.MA,1913,24.08
CV.MA,1914,23.63
CV.MA,1915,24.19
CV.MA,1916,23.77
CV.MA,1917,23.63
CV.MA,1918,24.02
CV.MA,1919,24.52
CV.MA,1920,23.77
CV.MA,1921,23.76
CV.MA,1922,23.39
CV.MA,1923,23.8
CV.MA,1924,23.69
CV.MA,1925,23.81
CV.MA,1926,24.23
CV.MA,1927,24.01
CV.MA,1928,23.65
CV.MA,1929,23.66
CV.MA,1930,23.39
CV.MA,1931,23.78
CV.MA,1932,23.85
CV.MA,1933,23.92
CV.MA,1934,23.62
CV.MA,1935,23.55
CV.MA,1936,24.03
CV.MA,1937,24.25
CV.MA,1938,24.02
CV.MA,1939,23.66
CV.MA,1940,23.76
CV.MA,1941,23.91
CV.MA,1942,23.66
CV.MA,1943,23.8
CV.MA,1944,24.09
CV.MA,1945,24.45
CV.MA,1946,23.9
CV.MA,1947,23.92
CV.MA,1948,23.94
CV.MA,1949,23.92
CV.MA,1950,24.03
CV.MA,1951,23.57
CV.MA,1952,23.59
CV.MA,1953,23.65
CV.MA,1954,23.75
CV.MA,1955,23.89
CV.MA,1956,23.58
CV.MA,1957,23.48
CV.MA,1958,24.08
CV.MA,1959,23.78
CV.MA,1960,23.92
CV.MA,1961,24.19
CV.MA,1962,24.14
CV.MA,1963,24.18
CV.MA,1964,23.99
CV.MA,1965,23.62
CV.MA,1966,24.13
CV.MA,1967,23.54
CV.MA,1968,23.57
CV.MA,1969,24.48
CV.MA,1970,24.28
CV.MA,1971,23.3
CV.MA,1972,23.52
CV.MA,1973,23.85
CV.MA,1974,23.19
CV.MA,1975,23.42
CV.MA,1976,23.38
CV.MA,1977,23.94
CV.MA,1978,23.72
CV.MA,1979,23.99
CV.MA,1980,23.65
CV.MA,1981,23.96
CV.MA,1982,23.52
CV.MA,1983,24.24
CV.MA,1984,23.78
CV.MA,1985,23.56
CV.MA,1986,23.57
CV.MA,1987,24.31
CV.MA,1988,23.91
CV.MA,1989,23.79
CV.MA,1990,24.15
CV.MA,1991,23.92
CV.MA,1992,23.9
CV.MA,1993,23.92
CV.MA,1994,23.84
CV.MA,1995,23.96
CV.MA,1996,24.18
CV.MA,1997,24.43
CV.MA,1998,24.6
CV.MA,1999,23.87
CV.MA,2000,24.09
CV.MA,2001,24.41
CV.MA,2002,24.32
CV.MA,2003,24.29
CV.MA,2004,24.36
CV.MA,2005,24.58
CV.MA,2006,24.28
CV.MA,2007,24.28
CV.MA,2008,24.4
CV.MA,2009,24.07
CV.MA,2010,24.73
CV.MA,2011,24.21
CV.MA,2012,24.28
CV.MA,2013,24.36
CV.MA,2014,24.24
CV.MA,2015,24.32
CV.MA,2016,24.48
CV.MA,2017,24.58
CV.MA,2018,23.93
CV.MA,2019,24.12
CV.MA,2020,24.77
CV.MA,2021,24.57
CV.MA,2022,24.4
