Year,Geography,Count
1901,CV,22.74
1902,CV,22.79
1903,CV,23.06
1904,CV,22.71
1905,CV,22.89
1906,CV,23.1
1907,CV,22.15
1908,CV,22.98
1909,CV,22.82
1910,CV,22.89
1911,CV,22.85
1912,CV,22.75
1913,CV,23.04
1914,CV,22.65
1915,CV,23.14
1916,CV,22.74
1917,CV,22.65
1918,CV,23.0
1919,CV,23.43
1920,CV,22.77
1921,CV,22.73
1922,CV,22.43
1923,CV,22.76
1924,CV,22.68
1925,CV,22.83
1926,CV,23.18
1927,CV,22.98
1928,CV,22.64
1929,CV,22.69
1930,CV,22.43
1931,CV,22.78
1932,CV,22.84
1933,CV,22.88
1934,CV,22.59
1935,CV,22.54
1936,CV,22.99
1937,CV,23.2
1938,CV,22.95
1939,CV,22.65
1940,CV,22.72
1941,CV,22.89
1942,CV,22.63
1943,CV,22.78
1944,CV,23.03
1945,CV,23.38
1946,CV,22.88
1947,CV,22.88
1948,CV,22.9
1949,CV,22.86
1950,CV,22.98
1951,CV,22.55
1952,CV,22.59
1953,CV,22.64
1954,CV,22.72
1955,CV,22.85
1956,CV,22.55
1957,CV,22.5
1958,CV,23.03
1959,CV,22.75
1960,CV,22.87
1961,CV,23.11
1962,CV,23.09
1963,CV,23.11
1964,CV,22.95
1965,CV,22.63
1966,CV,23.09
1967,CV,22.55
1968,CV,22.58
1969,CV,23.39
1970,CV,23.2
1971,CV,22.31
1972,CV,22.52
1973,CV,22.81
1974,CV,22.24
1975,CV,22.44
1976,CV,22.38
1977,CV,22.88
1978,CV,22.72
1979,CV,22.94
1980,CV,22.63
1981,CV,22.92
1982,CV,22.52
1983,CV,23.17
1984,CV,22.74
1985,CV,22.53
1986,CV,22.56
1987,CV,23.2
1988,CV,22.85
1989,CV,22.77
1990,CV,23.09
1991,CV,22.87
1992,CV,22.87
1993,CV,22.88
1994,CV,22.79
1995,CV,22.92
1996,CV,23.11
1997,CV,23.36
1998,CV,23.48
1999,CV,22.84
2000,CV,23.03
2001,CV,23.33
2002,CV,23.22
2003,CV,23.21
2004,CV,23.26
2005,CV,23.47
2006,CV,23.2
2007,CV,23.21
2008,CV,23.32
2009,CV,23.02
2010,CV,23.61
2011,CV,23.15
2012,CV,23.19
2013,CV,23.26
2014,CV,23.14
2015,CV,23.24
2016,CV,23.37
2017,CV,23.47
2018,CV,22.91
2019,CV,23.06
2020,CV,23.65
2021,CV,23.45
2022,CV,22.67
