Geography,Year,Count
DZ.AD,1901,16.38
DZ.AD,1902,16.64
DZ.AD,1903,16.34
DZ.AD,1904,16.82
DZ.AD,1905,16.27
DZ.AD,1906,16.23
DZ.AD,1907,16.15
DZ.AD,1908,16.41
DZ.AD,1909,16.1
DZ.AD,1910,16.24
DZ.AD,1911,16.64
DZ.AD,1912,16.32
DZ.AD,1913,16.72
DZ.AD,1914,16.52
DZ.AD,1915,16.28
DZ.AD,1916,16.31
DZ.AD,1917,15.82
DZ.AD,1918,15.86
DZ.AD,1919,15.73
DZ.AD,1920,16.38
DZ.AD,1921,16.56
DZ.AD,1922,16.4
DZ.AD,1923,16.35
DZ.AD,1924,16.92
DZ.AD,1925,15.75
DZ.AD,1926,17.06
DZ.AD,1927,16.83
DZ.AD,1928,16.75
DZ.AD,1929,16.33
DZ.AD,1930,16.86
DZ.AD,1931,16.61
DZ.AD,1932,16.21
DZ.AD,1933,16.62
DZ.AD,1934,16.32
DZ.AD,1935,16.35
DZ.AD,1936,16.23
DZ.AD,1937,17.02
DZ.AD,1938,16.34
DZ.AD,1939,16.25
DZ.AD,1940,16.69
DZ.AD,1941,16.23
DZ.AD,1942,17.08
DZ.AD,1943,17.16
DZ.AD,1944,16.47
DZ.AD,1945,17.39
DZ.AD,1946,17.01
DZ.AD,1947,17.3
DZ.AD,1948,17.27
DZ.AD,1949,17.29
DZ.AD,1950,17.32
DZ.AD,1951,16.93
DZ.AD,1952,17.4
DZ.AD,1953,17.09
DZ.AD,1954,16.76
DZ.AD,1955,17.89
DZ.AD,1956,16.29
DZ.AD,1957,16.76
DZ.AD,1958,17.46
DZ.AD,1959,17.39
DZ.AD,1960,17.11
DZ.AD,1961,17.81
DZ.AD,1962,16.98
DZ.AD,1963,16.81
DZ.AD,1964,17.28
DZ.AD,1965,17.1
DZ.AD,1966,17.15
DZ.AD,1967,17.13
DZ.AD,1968,17.19
DZ.AD,1969,16.56
DZ.AD,1970,16.91
DZ.AD,1971,16.49
DZ.AD,1972,16.01
DZ.AD,1973,16.45
DZ.AD,1974,16.42
DZ.AD,1975,16.53
DZ.AD,1976,16.24
DZ.AD,1977,17.0
DZ.AD,1978,16.72
DZ.AD,1979,17.13
DZ.AD,1980,16.83
DZ.AD,1981,17.16
DZ.AD,1982,17.32
DZ.AD,1983,17.58
DZ.AD,1984,16.6
DZ.AD,1985,17.37
DZ.AD,1986,17.17
DZ.AD,1987,17.66
DZ.AD,1988,17.37
DZ.AD,1989,17.83
DZ.AD,1990,17.7
DZ.AD,1991,16.63
DZ.AD,1992,16.69
DZ.AD,1993,16.85
DZ.AD,1994,17.89
DZ.AD,1995,17.72
DZ.AD,1996,17.05
DZ.AD,1997,17.93
DZ.AD,1998,17.3
DZ.AD,1999,17.72
DZ.AD,2000,17.79
DZ.AD,2001,18.01
DZ.AD,2002,17.67
DZ.AD,2003,18.03
DZ.AD,2004,17.47
DZ.AD,2005,17.01
DZ.AD,2006,18.12
DZ.AD,2007,17.47
DZ.AD,2008,17.49
DZ.AD,2009,17.87
DZ.AD,2010,17.67
DZ.AD,2011,17.85
DZ.AD,2012,17.59
DZ.AD,2013,17.2
DZ.AD,2014,18.21
DZ.AD,2015,18.17
DZ.AD,2016,18.27
DZ.AD,2017,18.27
DZ.AD,2018,17.66
DZ.AD,2019,17.83
DZ.AD,2020,18.08
DZ.AD,2021,18.29
DZ.AD,2022,18.88
