Geography,Year,Count
DZ.AL,1901,16.78
DZ.AL,1902,17.06
DZ.AL,1903,16.75
DZ.AL,1904,17.22
DZ.AL,1905,16.69
DZ.AL,1906,16.64
DZ.AL,1907,16.61
DZ.AL,1908,16.86
DZ.AL,1909,16.53
DZ.AL,1910,16.65
DZ.AL,1911,17.2
DZ.AL,1912,16.76
DZ.AL,1913,17.19
DZ.AL,1914,16.96
DZ.AL,1915,16.76
DZ.AL,1916,16.81
DZ.AL,1917,16.29
DZ.AL,1918,16.32
DZ.AL,1919,16.19
DZ.AL,1920,16.91
DZ.AL,1921,17.06
DZ.AL,1922,16.89
DZ.AL,1923,16.74
DZ.AL,1924,17.33
DZ.AL,1925,16.2
DZ.AL,1926,17.49
DZ.AL,1927,17.33
DZ.AL,1928,17.23
DZ.AL,1929,16.73
DZ.AL,1930,17.34
DZ.AL,1931,17.09
DZ.AL,1932,16.8
DZ.AL,1933,17.13
DZ.AL,1934,16.82
DZ.AL,1935,16.76
DZ.AL,1936,16.7
DZ.AL,1937,17.44
DZ.AL,1938,16.76
DZ.AL,1939,16.73
DZ.AL,1940,17.18
DZ.AL,1941,16.7
DZ.AL,1942,17.56
DZ.AL,1943,17.67
DZ.AL,1944,16.97
DZ.AL,1945,17.81
DZ.AL,1946,17.53
DZ.AL,1947,17.88
DZ.AL,1948,17.72
DZ.AL,1949,17.71
DZ.AL,1950,17.73
DZ.AL,1951,17.44
DZ.AL,1952,17.94
DZ.AL,1953,17.54
DZ.AL,1954,17.28
DZ.AL,1955,18.33
DZ.AL,1956,16.8
DZ.AL,1957,17.23
DZ.AL,1958,18.02
DZ.AL,1959,17.87
DZ.AL,1960,17.64
DZ.AL,1961,18.21
DZ.AL,1962,17.37
DZ.AL,1963,17.33
DZ.AL,1964,17.73
DZ.AL,1965,17.56
DZ.AL,1966,17.63
DZ.AL,1967,17.68
DZ.AL,1968,17.69
DZ.AL,1969,17.03
DZ.AL,1970,17.36
DZ.AL,1971,16.98
DZ.AL,1972,16.48
DZ.AL,1973,16.96
DZ.AL,1974,16.9
DZ.AL,1975,16.97
DZ.AL,1976,16.66
DZ.AL,1977,17.52
DZ.AL,1978,17.19
DZ.AL,1979,17.58
DZ.AL,1980,17.14
DZ.AL,1981,17.69
DZ.AL,1982,17.88
DZ.AL,1983,18.06
DZ.AL,1984,17.04
DZ.AL,1985,17.93
DZ.AL,1986,17.77
DZ.AL,1987,18.19
DZ.AL,1988,17.94
DZ.AL,1989,18.25
DZ.AL,1990,18.25
DZ.AL,1991,17.16
DZ.AL,1992,17.27
DZ.AL,1993,17.51
DZ.AL,1994,18.55
DZ.AL,1995,18.3
DZ.AL,1996,17.64
DZ.AL,1997,18.58
DZ.AL,1998,17.9
DZ.AL,1999,18.43
DZ.AL,2000,18.31
DZ.AL,2001,18.56
DZ.AL,2002,18.31
DZ.AL,2003,18.66
DZ.AL,2004,18.07
DZ.AL,2005,17.62
DZ.AL,2006,18.8
DZ.AL,2007,18.14
DZ.AL,2008,18.09
DZ.AL,2009,18.4
DZ.AL,2010,18.12
DZ.AL,2011,18.41
DZ.AL,2012,18.31
DZ.AL,2013,17.83
DZ.AL,2014,18.81
DZ.AL,2015,18.59
DZ.AL,2016,18.72
DZ.AL,2017,18.69
DZ.AL,2018,18.19
DZ.AL,2019,18.36
DZ.AL,2020,18.63
DZ.AL,2021,18.87
DZ.AL,2022,19.46
