Geography,Year,Count
DZ.AN,1901,16.36
DZ.AN,1902,16.6
DZ.AN,1903,16.08
DZ.AN,1904,16.53
DZ.AN,1905,16.13
DZ.AN,1906,16.05
DZ.AN,1907,15.99
DZ.AN,1908,16.25
DZ.AN,1909,16.12
DZ.AN,1910,16.04
DZ.AN,1911,16.77
DZ.AN,1912,16.44
DZ.AN,1913,16.77
DZ.AN,1914,16.41
DZ.AN,1915,16.39
DZ.AN,1916,16.61
DZ.AN,1917,16.08
DZ.AN,1918,15.9
DZ.AN,1919,15.97
DZ.AN,1920,16.77
DZ.AN,1921,16.55
DZ.AN,1922,16.67
DZ.AN,1923,16.31
DZ.AN,1924,16.91
DZ.AN,1925,16.12
DZ.AN,1926,17.03
DZ.AN,1927,17.13
DZ.AN,1928,16.9
DZ.AN,1929,16.31
DZ.AN,1930,16.87
DZ.AN,1931,16.71
DZ.AN,1932,16.47
DZ.AN,1933,16.6
DZ.AN,1934,16.43
DZ.AN,1935,16.34
DZ.AN,1936,16.24
DZ.AN,1937,16.86
DZ.AN,1938,16.25
DZ.AN,1939,16.33
DZ.AN,1940,16.56
DZ.AN,1941,16.32
DZ.AN,1942,17.12
DZ.AN,1943,17.46
DZ.AN,1944,16.63
DZ.AN,1945,17.23
DZ.AN,1946,17.2
DZ.AN,1947,17.7
DZ.AN,1948,17.19
DZ.AN,1949,17.18
DZ.AN,1950,17.3
DZ.AN,1951,16.78
DZ.AN,1952,17.35
DZ.AN,1953,16.7
DZ.AN,1954,16.46
DZ.AN,1955,17.53
DZ.AN,1956,16.09
DZ.AN,1957,16.6
DZ.AN,1958,17.29
DZ.AN,1959,17.06
DZ.AN,1960,16.9
DZ.AN,1961,17.27
DZ.AN,1962,16.68
DZ.AN,1963,16.64
DZ.AN,1964,16.93
DZ.AN,1965,16.81
DZ.AN,1966,16.9
DZ.AN,1967,16.95
DZ.AN,1968,16.97
DZ.AN,1969,16.42
DZ.AN,1970,16.74
DZ.AN,1971,16.44
DZ.AN,1972,16.2
DZ.AN,1973,16.58
DZ.AN,1974,16.38
DZ.AN,1975,16.37
DZ.AN,1976,15.89
DZ.AN,1977,17.27
DZ.AN,1978,16.42
DZ.AN,1979,16.84
DZ.AN,1980,16.14
DZ.AN,1981,17.06
DZ.AN,1982,17.42
DZ.AN,1983,17.39
DZ.AN,1984,16.61
DZ.AN,1985,17.27
DZ.AN,1986,17.33
DZ.AN,1987,17.58
DZ.AN,1988,17.59
DZ.AN,1989,17.48
DZ.AN,1990,17.66
DZ.AN,1991,16.6
DZ.AN,1992,16.75
DZ.AN,1993,17.13
DZ.AN,1994,18.3
DZ.AN,1995,17.6
DZ.AN,1996,17.15
DZ.AN,1997,18.05
DZ.AN,1998,17.39
DZ.AN,1999,18.22
DZ.AN,2000,17.93
DZ.AN,2001,18.17
DZ.AN,2002,17.91
DZ.AN,2003,18.27
DZ.AN,2004,17.58
DZ.AN,2005,17.41
DZ.AN,2006,18.19
DZ.AN,2007,17.89
DZ.AN,2008,17.88
DZ.AN,2009,17.81
DZ.AN,2010,17.88
DZ.AN,2011,17.83
DZ.AN,2012,18.23
DZ.AN,2013,17.77
DZ.AN,2014,18.48
DZ.AN,2015,18.13
DZ.AN,2016,18.38
DZ.AN,2017,18.13
DZ.AN,2018,18.02
DZ.AN,2019,18.06
DZ.AN,2020,18.19
DZ.AN,2021,18.59
DZ.AN,2022,18.84
