Geography,Year,Count
DZ.AR,1901,25.83
DZ.AR,1902,25.77
DZ.AR,1903,25.83
DZ.AR,1904,25.89
DZ.AR,1905,25.73
DZ.AR,1906,25.68
DZ.AR,1907,25.58
DZ.AR,1908,25.7
DZ.AR,1909,25.76
DZ.AR,1910,25.66
DZ.AR,1911,25.55
DZ.AR,1912,25.62
DZ.AR,1913,25.66
DZ.AR,1914,25.57
DZ.AR,1915,25.59
DZ.AR,1916,25.42
DZ.AR,1917,25.46
DZ.AR,1918,25.43
DZ.AR,1919,25.76
DZ.AR,1920,25.81
DZ.AR,1921,25.8
DZ.AR,1922,25.63
DZ.AR,1923,25.54
DZ.AR,1924,25.82
DZ.AR,1925,25.6
DZ.AR,1926,25.92
DZ.AR,1927,25.66
DZ.AR,1928,25.74
DZ.AR,1929,25.63
DZ.AR,1930,25.84
DZ.AR,1931,25.82
DZ.AR,1932,25.51
DZ.AR,1933,25.76
DZ.AR,1934,25.45
DZ.AR,1935,25.89
DZ.AR,1936,25.8
DZ.AR,1937,26.23
DZ.AR,1938,25.96
DZ.AR,1939,25.74
DZ.AR,1940,26.02
DZ.AR,1941,26.12
DZ.AR,1942,26.16
DZ.AR,1943,25.95
DZ.AR,1944,25.98
DZ.AR,1945,26.23
DZ.AR,1946,26.01
DZ.AR,1947,26.19
DZ.AR,1948,26.1
DZ.AR,1949,26.17
DZ.AR,1950,25.68
DZ.AR,1951,26.06
DZ.AR,1952,25.76
DZ.AR,1953,25.82
DZ.AR,1954,25.61
DZ.AR,1955,26.29
DZ.AR,1956,25.46
DZ.AR,1957,25.47
DZ.AR,1958,26.09
DZ.AR,1959,25.96
DZ.AR,1960,25.8
DZ.AR,1961,25.97
DZ.AR,1962,25.77
DZ.AR,1963,25.79
DZ.AR,1964,25.82
DZ.AR,1965,25.64
DZ.AR,1966,25.94
DZ.AR,1967,25.57
DZ.AR,1968,25.78
DZ.AR,1969,25.94
DZ.AR,1970,25.98
DZ.AR,1971,25.41
DZ.AR,1972,25.49
DZ.AR,1973,25.73
DZ.AR,1974,25.32
DZ.AR,1975,25.42
DZ.AR,1976,25.23
DZ.AR,1977,25.84
DZ.AR,1978,26.03
DZ.AR,1979,26.07
DZ.AR,1980,26.01
DZ.AR,1981,26.04
DZ.AR,1982,25.82
DZ.AR,1983,26.28
DZ.AR,1984,25.82
DZ.AR,1985,25.99
DZ.AR,1986,25.73
DZ.AR,1987,26.55
DZ.AR,1988,25.98
DZ.AR,1989,26.24
DZ.AR,1990,26.45
DZ.AR,1991,25.62
DZ.AR,1992,25.71
DZ.AR,1993,25.91
DZ.AR,1994,26.09
DZ.AR,1995,26.41
DZ.AR,1996,26.19
DZ.AR,1997,26.39
DZ.AR,1998,26.35
DZ.AR,1999,26.31
DZ.AR,2000,26.42
DZ.AR,2001,26.58
DZ.AR,2002,26.63
DZ.AR,2003,26.58
DZ.AR,2004,26.4
DZ.AR,2005,26.55
DZ.AR,2006,26.46
DZ.AR,2007,26.36
DZ.AR,2008,26.14
DZ.AR,2009,26.71
DZ.AR,2010,26.96
DZ.AR,2011,26.62
DZ.AR,2012,26.49
DZ.AR,2013,26.17
DZ.AR,2014,26.6
DZ.AR,2015,26.63
DZ.AR,2016,26.66
DZ.AR,2017,26.65
DZ.AR,2018,26.13
DZ.AR,2019,26.47
DZ.AR,2020,26.57
DZ.AR,2021,26.62
DZ.AR,2022,26.88
