Geography,Year,Count
DZ.AT,1901,16.89
DZ.AT,1902,16.98
DZ.AT,1903,16.83
DZ.AT,1904,17.25
DZ.AT,1905,16.68
DZ.AT,1906,16.77
DZ.AT,1907,16.62
DZ.AT,1908,16.91
DZ.AT,1909,16.57
DZ.AT,1910,16.7
DZ.AT,1911,16.95
DZ.AT,1912,16.72
DZ.AT,1913,17.08
DZ.AT,1914,16.81
DZ.AT,1915,16.79
DZ.AT,1916,16.8
DZ.AT,1917,16.31
DZ.AT,1918,16.51
DZ.AT,1919,16.44
DZ.AT,1920,16.89
DZ.AT,1921,17.01
DZ.AT,1922,16.78
DZ.AT,1923,16.84
DZ.AT,1924,17.44
DZ.AT,1925,16.27
DZ.AT,1926,17.63
DZ.AT,1927,17.21
DZ.AT,1928,17.17
DZ.AT,1929,16.96
DZ.AT,1930,17.31
DZ.AT,1931,16.92
DZ.AT,1932,16.55
DZ.AT,1933,17.08
DZ.AT,1934,16.74
DZ.AT,1935,16.89
DZ.AT,1936,16.73
DZ.AT,1937,17.58
DZ.AT,1938,16.86
DZ.AT,1939,16.71
DZ.AT,1940,17.25
DZ.AT,1941,16.83
DZ.AT,1942,17.46
DZ.AT,1943,17.49
DZ.AT,1944,17.02
DZ.AT,1945,17.9
DZ.AT,1946,17.33
DZ.AT,1947,17.55
DZ.AT,1948,17.77
DZ.AT,1949,17.78
DZ.AT,1950,17.66
DZ.AT,1951,17.3
DZ.AT,1952,17.79
DZ.AT,1953,17.61
DZ.AT,1954,17.28
DZ.AT,1955,18.46
DZ.AT,1956,16.72
DZ.AT,1957,17.24
DZ.AT,1958,17.7
DZ.AT,1959,17.62
DZ.AT,1960,17.56
DZ.AT,1961,18.25
DZ.AT,1962,17.56
DZ.AT,1963,17.29
DZ.AT,1964,17.58
DZ.AT,1965,17.32
DZ.AT,1966,17.45
DZ.AT,1967,17.28
DZ.AT,1968,17.53
DZ.AT,1969,17.0
DZ.AT,1970,17.34
DZ.AT,1971,16.75
DZ.AT,1972,16.38
DZ.AT,1973,16.93
DZ.AT,1974,16.94
DZ.AT,1975,16.97
DZ.AT,1976,16.75
DZ.AT,1977,17.23
DZ.AT,1978,17.29
DZ.AT,1979,17.59
DZ.AT,1980,17.47
DZ.AT,1981,17.69
DZ.AT,1982,17.64
DZ.AT,1983,17.95
DZ.AT,1984,17.09
DZ.AT,1985,17.8
DZ.AT,1986,17.49
DZ.AT,1987,18.02
DZ.AT,1988,17.73
DZ.AT,1989,18.3
DZ.AT,1990,18.11
DZ.AT,1991,17.14
DZ.AT,1992,17.19
DZ.AT,1993,17.17
DZ.AT,1994,18.16
DZ.AT,1995,18.24
DZ.AT,1996,17.44
DZ.AT,1997,18.28
DZ.AT,1998,17.78
DZ.AT,1999,17.96
DZ.AT,2000,18.1
DZ.AT,2001,18.42
DZ.AT,2002,17.99
DZ.AT,2003,18.31
DZ.AT,2004,17.84
DZ.AT,2005,17.58
DZ.AT,2006,18.44
DZ.AT,2007,17.83
DZ.AT,2008,17.84
DZ.AT,2009,18.34
DZ.AT,2010,18.25
DZ.AT,2011,18.36
DZ.AT,2012,17.99
DZ.AT,2013,17.66
DZ.AT,2014,18.5
DZ.AT,2015,18.7
DZ.AT,2016,18.77
DZ.AT,2017,18.83
DZ.AT,2018,17.96
DZ.AT,2019,18.36
DZ.AT,2020,18.65
DZ.AT,2021,18.62
DZ.AT,2022,19.26
