Geography,Year,Count
DZ.BB,1901,14.58
DZ.BB,1902,14.87
DZ.BB,1903,14.46
DZ.BB,1904,14.92
DZ.BB,1905,14.46
DZ.BB,1906,14.37
DZ.BB,1907,14.32
DZ.BB,1908,14.56
DZ.BB,1909,14.33
DZ.BB,1910,14.41
DZ.BB,1911,15.01
DZ.BB,1912,14.63
DZ.BB,1913,14.96
DZ.BB,1914,14.77
DZ.BB,1915,14.55
DZ.BB,1916,14.67
DZ.BB,1917,14.15
DZ.BB,1918,14.07
DZ.BB,1919,14.02
DZ.BB,1920,14.74
DZ.BB,1921,14.79
DZ.BB,1922,14.77
DZ.BB,1923,14.46
DZ.BB,1924,15.12
DZ.BB,1925,14.06
DZ.BB,1926,15.24
DZ.BB,1927,15.12
DZ.BB,1928,14.98
DZ.BB,1929,14.41
DZ.BB,1930,15.03
DZ.BB,1931,14.94
DZ.BB,1932,14.64
DZ.BB,1933,14.87
DZ.BB,1934,14.6
DZ.BB,1935,14.59
DZ.BB,1936,14.51
DZ.BB,1937,15.21
DZ.BB,1938,14.57
DZ.BB,1939,14.54
DZ.BB,1940,14.85
DZ.BB,1941,14.49
DZ.BB,1942,15.38
DZ.BB,1943,15.52
DZ.BB,1944,14.84
DZ.BB,1945,15.54
DZ.BB,1946,15.37
DZ.BB,1947,15.7
DZ.BB,1948,15.52
DZ.BB,1949,15.47
DZ.BB,1950,15.51
DZ.BB,1951,15.3
DZ.BB,1952,15.79
DZ.BB,1953,15.26
DZ.BB,1954,15.0
DZ.BB,1955,16.09
DZ.BB,1956,14.6
DZ.BB,1957,15.09
DZ.BB,1958,15.81
DZ.BB,1959,15.62
DZ.BB,1960,15.37
DZ.BB,1961,15.97
DZ.BB,1962,15.12
DZ.BB,1963,15.14
DZ.BB,1964,15.42
DZ.BB,1965,15.29
DZ.BB,1966,15.28
DZ.BB,1967,15.36
DZ.BB,1968,15.4
DZ.BB,1969,14.71
DZ.BB,1970,15.08
DZ.BB,1971,14.78
DZ.BB,1972,14.31
DZ.BB,1973,14.8
DZ.BB,1974,14.7
DZ.BB,1975,14.71
DZ.BB,1976,14.33
DZ.BB,1977,15.41
DZ.BB,1978,14.84
DZ.BB,1979,15.28
DZ.BB,1980,14.79
DZ.BB,1981,15.49
DZ.BB,1982,15.69
DZ.BB,1983,15.89
DZ.BB,1984,14.84
DZ.BB,1985,15.77
DZ.BB,1986,15.58
DZ.BB,1987,15.99
DZ.BB,1988,15.78
DZ.BB,1989,15.99
DZ.BB,1990,16.04
DZ.BB,1991,14.9
DZ.BB,1992,15.03
DZ.BB,1993,15.51
DZ.BB,1994,16.54
DZ.BB,1995,16.03
DZ.BB,1996,15.35
DZ.BB,1997,16.36
DZ.BB,1998,15.62
DZ.BB,1999,16.38
DZ.BB,2000,16.19
DZ.BB,2001,16.41
DZ.BB,2002,16.14
DZ.BB,2003,16.51
DZ.BB,2004,15.81
DZ.BB,2005,15.55
DZ.BB,2006,16.56
DZ.BB,2007,15.95
DZ.BB,2008,15.95
DZ.BB,2009,16.07
DZ.BB,2010,15.93
DZ.BB,2011,16.12
DZ.BB,2012,16.28
DZ.BB,2013,15.74
DZ.BB,2014,16.61
DZ.BB,2015,16.34
DZ.BB,2016,16.55
DZ.BB,2017,16.49
DZ.BB,2018,15.93
DZ.BB,2019,16.15
DZ.BB,2020,16.51
DZ.BB,2021,16.81
DZ.BB,2022,17.23
