Geography,Year,Count
DZ.BL,1901,15.91
DZ.BL,1902,16.18
DZ.BL,1903,15.86
DZ.BL,1904,16.35
DZ.BL,1905,15.81
DZ.BL,1906,15.76
DZ.BL,1907,15.71
DZ.BL,1908,15.96
DZ.BL,1909,15.66
DZ.BL,1910,15.77
DZ.BL,1911,16.27
DZ.BL,1912,15.88
DZ.BL,1913,16.28
DZ.BL,1914,16.09
DZ.BL,1915,15.84
DZ.BL,1916,15.9
DZ.BL,1917,15.39
DZ.BL,1918,15.41
DZ.BL,1919,15.28
DZ.BL,1920,15.99
DZ.BL,1921,16.14
DZ.BL,1922,15.99
DZ.BL,1923,15.83
DZ.BL,1924,16.44
DZ.BL,1925,15.3
DZ.BL,1926,16.57
DZ.BL,1927,16.41
DZ.BL,1928,16.31
DZ.BL,1929,15.82
DZ.BL,1930,16.41
DZ.BL,1931,16.2
DZ.BL,1932,15.88
DZ.BL,1933,16.22
DZ.BL,1934,15.89
DZ.BL,1935,15.88
DZ.BL,1936,15.81
DZ.BL,1937,16.55
DZ.BL,1938,15.86
DZ.BL,1939,15.82
DZ.BL,1940,16.29
DZ.BL,1941,15.81
DZ.BL,1942,16.68
DZ.BL,1943,16.76
DZ.BL,1944,16.07
DZ.BL,1945,16.91
DZ.BL,1946,16.64
DZ.BL,1947,16.95
DZ.BL,1948,16.81
DZ.BL,1949,16.81
DZ.BL,1950,16.83
DZ.BL,1951,16.55
DZ.BL,1952,17.04
DZ.BL,1953,16.63
DZ.BL,1954,16.36
DZ.BL,1955,17.43
DZ.BL,1956,15.9
DZ.BL,1957,16.35
DZ.BL,1958,17.13
DZ.BL,1959,16.98
DZ.BL,1960,16.74
DZ.BL,1961,17.32
DZ.BL,1962,16.48
DZ.BL,1963,16.41
DZ.BL,1964,16.82
DZ.BL,1965,16.67
DZ.BL,1966,16.73
DZ.BL,1967,16.76
DZ.BL,1968,16.79
DZ.BL,1969,16.12
DZ.BL,1970,16.47
DZ.BL,1971,16.07
DZ.BL,1972,15.57
DZ.BL,1973,16.04
DZ.BL,1974,16.0
DZ.BL,1975,16.08
DZ.BL,1976,15.76
DZ.BL,1977,16.62
DZ.BL,1978,16.28
DZ.BL,1979,16.68
DZ.BL,1980,16.27
DZ.BL,1981,16.78
DZ.BL,1982,16.95
DZ.BL,1983,17.17
DZ.BL,1984,16.14
DZ.BL,1985,17.0
DZ.BL,1986,16.82
DZ.BL,1987,17.25
DZ.BL,1988,17.0
DZ.BL,1989,17.34
DZ.BL,1990,17.32
DZ.BL,1991,16.19
DZ.BL,1992,16.32
DZ.BL,1993,16.55
DZ.BL,1994,17.58
DZ.BL,1995,17.34
DZ.BL,1996,16.68
DZ.BL,1997,17.62
DZ.BL,1998,16.94
DZ.BL,1999,17.46
DZ.BL,2000,17.38
DZ.BL,2001,17.63
DZ.BL,2002,17.37
DZ.BL,2003,17.71
DZ.BL,2004,17.11
DZ.BL,2005,16.67
DZ.BL,2006,17.85
DZ.BL,2007,17.14
DZ.BL,2008,17.15
DZ.BL,2009,17.47
DZ.BL,2010,17.22
DZ.BL,2011,17.46
DZ.BL,2012,17.35
DZ.BL,2013,16.87
DZ.BL,2014,17.86
DZ.BL,2015,17.67
DZ.BL,2016,17.79
DZ.BL,2017,17.77
DZ.BL,2018,17.25
DZ.BL,2019,17.43
DZ.BL,2020,17.68
DZ.BL,2021,17.92
DZ.BL,2022,18.52
