Geography,Year,Count
DZ.BM,1901,16.16
DZ.BM,1902,16.46
DZ.BM,1903,16.12
DZ.BM,1904,16.62
DZ.BM,1905,16.08
DZ.BM,1906,15.99
DZ.BM,1907,15.99
DZ.BM,1908,16.24
DZ.BM,1909,15.95
DZ.BM,1910,16.04
DZ.BM,1911,16.61
DZ.BM,1912,16.17
DZ.BM,1913,16.57
DZ.BM,1914,16.4
DZ.BM,1915,16.17
DZ.BM,1916,16.22
DZ.BM,1917,15.71
DZ.BM,1918,15.72
DZ.BM,1919,15.57
DZ.BM,1920,16.35
DZ.BM,1921,16.49
DZ.BM,1922,16.33
DZ.BM,1923,16.12
DZ.BM,1924,16.72
DZ.BM,1925,15.64
DZ.BM,1926,16.92
DZ.BM,1927,16.77
DZ.BM,1928,16.65
DZ.BM,1929,16.1
DZ.BM,1930,16.72
DZ.BM,1931,16.52
DZ.BM,1932,16.26
DZ.BM,1933,16.5
DZ.BM,1934,16.23
DZ.BM,1935,16.18
DZ.BM,1936,16.12
DZ.BM,1937,16.85
DZ.BM,1938,16.19
DZ.BM,1939,16.16
DZ.BM,1940,16.58
DZ.BM,1941,16.13
DZ.BM,1942,17.0
DZ.BM,1943,17.14
DZ.BM,1944,16.42
DZ.BM,1945,17.22
DZ.BM,1946,16.98
DZ.BM,1947,17.33
DZ.BM,1948,17.14
DZ.BM,1949,17.12
DZ.BM,1950,17.13
DZ.BM,1951,16.86
DZ.BM,1952,17.34
DZ.BM,1953,16.91
DZ.BM,1954,16.65
DZ.BM,1955,17.71
DZ.BM,1956,16.21
DZ.BM,1957,16.66
DZ.BM,1958,17.45
DZ.BM,1959,17.29
DZ.BM,1960,17.05
DZ.BM,1961,17.59
DZ.BM,1962,16.77
DZ.BM,1963,16.73
DZ.BM,1964,17.11
DZ.BM,1965,16.98
DZ.BM,1966,16.98
DZ.BM,1967,17.07
DZ.BM,1968,17.06
DZ.BM,1969,16.42
DZ.BM,1970,16.74
DZ.BM,1971,16.39
DZ.BM,1972,15.89
DZ.BM,1973,16.36
DZ.BM,1974,16.33
DZ.BM,1975,16.36
DZ.BM,1976,16.04
DZ.BM,1977,16.95
DZ.BM,1978,16.54
DZ.BM,1979,16.91
DZ.BM,1980,16.49
DZ.BM,1981,17.07
DZ.BM,1982,17.29
DZ.BM,1983,17.49
DZ.BM,1984,16.47
DZ.BM,1985,17.36
DZ.BM,1986,17.18
DZ.BM,1987,17.6
DZ.BM,1988,17.39
DZ.BM,1989,17.63
DZ.BM,1990,17.67
DZ.BM,1991,16.52
DZ.BM,1992,16.63
DZ.BM,1993,16.97
DZ.BM,1994,18.0
DZ.BM,1995,17.66
DZ.BM,1996,16.99
DZ.BM,1997,17.96
DZ.BM,1998,17.22
DZ.BM,1999,17.89
DZ.BM,2000,17.72
DZ.BM,2001,17.96
DZ.BM,2002,17.67
DZ.BM,2003,18.04
DZ.BM,2004,17.4
DZ.BM,2005,17.04
DZ.BM,2006,18.15
DZ.BM,2007,17.54
DZ.BM,2008,17.51
DZ.BM,2009,17.71
DZ.BM,2010,17.54
DZ.BM,2011,17.74
DZ.BM,2012,17.73
DZ.BM,2013,17.2
DZ.BM,2014,18.17
DZ.BM,2015,17.97
DZ.BM,2016,18.08
DZ.BM,2017,18.06
DZ.BM,2018,17.49
DZ.BM,2019,17.7
DZ.BM,2020,18.0
DZ.BM,2021,18.32
DZ.BM,2022,18.81
