Geography,Year,Count
DZ.BT,1901,14.89
DZ.BT,1902,15.13
DZ.BT,1903,14.7
DZ.BT,1904,15.11
DZ.BT,1905,14.7
DZ.BT,1906,14.6
DZ.BT,1907,14.51
DZ.BT,1908,14.79
DZ.BT,1909,14.6
DZ.BT,1910,14.63
DZ.BT,1911,15.23
DZ.BT,1912,14.94
DZ.BT,1913,15.19
DZ.BT,1914,14.94
DZ.BT,1915,14.85
DZ.BT,1916,15.02
DZ.BT,1917,14.48
DZ.BT,1918,14.36
DZ.BT,1919,14.39
DZ.BT,1920,15.05
DZ.BT,1921,14.99
DZ.BT,1922,15.11
DZ.BT,1923,14.71
DZ.BT,1924,15.42
DZ.BT,1925,14.45
DZ.BT,1926,15.43
DZ.BT,1927,15.38
DZ.BT,1928,15.25
DZ.BT,1929,14.63
DZ.BT,1930,15.23
DZ.BT,1931,15.25
DZ.BT,1932,14.96
DZ.BT,1933,15.15
DZ.BT,1934,14.91
DZ.BT,1935,14.89
DZ.BT,1936,14.77
DZ.BT,1937,15.42
DZ.BT,1938,14.8
DZ.BT,1939,14.81
DZ.BT,1940,15.09
DZ.BT,1941,14.76
DZ.BT,1942,15.61
DZ.BT,1943,15.74
DZ.BT,1944,15.05
DZ.BT,1945,15.7
DZ.BT,1946,15.63
DZ.BT,1947,16.0
DZ.BT,1948,15.7
DZ.BT,1949,15.65
DZ.BT,1950,15.74
DZ.BT,1951,15.44
DZ.BT,1952,15.97
DZ.BT,1953,15.35
DZ.BT,1954,15.07
DZ.BT,1955,16.21
DZ.BT,1956,14.72
DZ.BT,1957,15.21
DZ.BT,1958,15.86
DZ.BT,1959,15.69
DZ.BT,1960,15.56
DZ.BT,1961,16.08
DZ.BT,1962,15.3
DZ.BT,1963,15.31
DZ.BT,1964,15.5
DZ.BT,1965,15.43
DZ.BT,1966,15.44
DZ.BT,1967,15.46
DZ.BT,1968,15.55
DZ.BT,1969,14.87
DZ.BT,1970,15.25
DZ.BT,1971,14.98
DZ.BT,1972,14.62
DZ.BT,1973,15.04
DZ.BT,1974,14.89
DZ.BT,1975,14.93
DZ.BT,1976,14.48
DZ.BT,1977,15.72
DZ.BT,1978,15.02
DZ.BT,1979,15.46
DZ.BT,1980,14.87
DZ.BT,1981,15.71
DZ.BT,1982,15.94
DZ.BT,1983,16.08
DZ.BT,1984,15.12
DZ.BT,1985,15.98
DZ.BT,1986,15.87
DZ.BT,1987,16.24
DZ.BT,1988,16.1
DZ.BT,1989,16.16
DZ.BT,1990,16.27
DZ.BT,1991,15.19
DZ.BT,1992,15.25
DZ.BT,1993,15.75
DZ.BT,1994,16.86
DZ.BT,1995,16.24
DZ.BT,1996,15.64
DZ.BT,1997,16.62
DZ.BT,1998,15.93
DZ.BT,1999,16.73
DZ.BT,2000,16.5
DZ.BT,2001,16.72
DZ.BT,2002,16.43
DZ.BT,2003,16.77
DZ.BT,2004,16.13
DZ.BT,2005,15.88
DZ.BT,2006,16.77
DZ.BT,2007,16.3
DZ.BT,2008,16.3
DZ.BT,2009,16.33
DZ.BT,2010,16.29
DZ.BT,2011,16.38
DZ.BT,2012,16.66
DZ.BT,2013,16.15
DZ.BT,2014,16.95
DZ.BT,2015,16.69
DZ.BT,2016,16.91
DZ.BT,2017,16.73
DZ.BT,2018,16.37
DZ.BT,2019,16.51
DZ.BT,2020,16.79
DZ.BT,2021,17.16
DZ.BT,2022,17.48
