Geography,Year,Count
DZ.BU,1901,14.59
DZ.BU,1902,14.87
DZ.BU,1903,14.48
DZ.BU,1904,14.99
DZ.BU,1905,14.47
DZ.BU,1906,14.39
DZ.BU,1907,14.37
DZ.BU,1908,14.59
DZ.BU,1909,14.35
DZ.BU,1910,14.42
DZ.BU,1911,14.99
DZ.BU,1912,14.58
DZ.BU,1913,14.94
DZ.BU,1914,14.81
DZ.BU,1915,14.52
DZ.BU,1916,14.6
DZ.BU,1917,14.1
DZ.BU,1918,14.06
DZ.BU,1919,13.96
DZ.BU,1920,14.7
DZ.BU,1921,14.82
DZ.BU,1922,14.73
DZ.BU,1923,14.46
DZ.BU,1924,15.1
DZ.BU,1925,14.01
DZ.BU,1926,15.25
DZ.BU,1927,15.11
DZ.BU,1928,14.97
DZ.BU,1929,14.44
DZ.BU,1930,15.06
DZ.BU,1931,14.92
DZ.BU,1932,14.62
DZ.BU,1933,14.89
DZ.BU,1934,14.61
DZ.BU,1935,14.57
DZ.BU,1936,14.49
DZ.BU,1937,15.24
DZ.BU,1938,14.58
DZ.BU,1939,14.52
DZ.BU,1940,14.89
DZ.BU,1941,14.52
DZ.BU,1942,15.38
DZ.BU,1943,15.5
DZ.BU,1944,14.83
DZ.BU,1945,15.57
DZ.BU,1946,15.37
DZ.BU,1947,15.66
DZ.BU,1948,15.52
DZ.BU,1949,15.48
DZ.BU,1950,15.52
DZ.BU,1951,15.27
DZ.BU,1952,15.75
DZ.BU,1953,15.29
DZ.BU,1954,15.04
DZ.BU,1955,16.12
DZ.BU,1956,14.59
DZ.BU,1957,15.09
DZ.BU,1958,15.86
DZ.BU,1959,15.7
DZ.BU,1960,15.43
DZ.BU,1961,15.98
DZ.BU,1962,15.15
DZ.BU,1963,15.08
DZ.BU,1964,15.44
DZ.BU,1965,15.35
DZ.BU,1966,15.35
DZ.BU,1967,15.42
DZ.BU,1968,15.4
DZ.BU,1969,14.78
DZ.BU,1970,15.1
DZ.BU,1971,14.77
DZ.BU,1972,14.25
DZ.BU,1973,14.74
DZ.BU,1974,14.68
DZ.BU,1975,14.73
DZ.BU,1976,14.37
DZ.BU,1977,15.34
DZ.BU,1978,14.9
DZ.BU,1979,15.29
DZ.BU,1980,14.85
DZ.BU,1981,15.45
DZ.BU,1982,15.66
DZ.BU,1983,15.87
DZ.BU,1984,14.83
DZ.BU,1985,15.75
DZ.BU,1986,15.54
DZ.BU,1987,15.97
DZ.BU,1988,15.74
DZ.BU,1989,16.01
DZ.BU,1990,16.04
DZ.BU,1991,14.87
DZ.BU,1992,15.0
DZ.BU,1993,15.35
DZ.BU,1994,16.37
DZ.BU,1995,16.02
DZ.BU,1996,15.33
DZ.BU,1997,16.31
DZ.BU,1998,15.56
DZ.BU,1999,16.27
DZ.BU,2000,16.09
DZ.BU,2001,16.34
DZ.BU,2002,16.07
DZ.BU,2003,16.42
DZ.BU,2004,15.76
DZ.BU,2005,15.43
DZ.BU,2006,16.53
DZ.BU,2007,15.87
DZ.BU,2008,15.89
DZ.BU,2009,16.06
DZ.BU,2010,15.91
DZ.BU,2011,16.1
DZ.BU,2012,16.11
DZ.BU,2013,15.59
DZ.BU,2014,16.52
DZ.BU,2015,16.34
DZ.BU,2016,16.47
DZ.BU,2017,16.44
DZ.BU,2018,15.84
DZ.BU,2019,16.07
DZ.BU,2020,16.41
DZ.BU,2021,16.7
DZ.BU,2022,17.19
