Geography,Year,Count
DZ.CH,1901,17.22
DZ.CH,1902,17.47
DZ.CH,1903,17.21
DZ.CH,1904,17.69
DZ.CH,1905,17.13
DZ.CH,1906,17.13
DZ.CH,1907,17.0
DZ.CH,1908,17.28
DZ.CH,1909,16.94
DZ.CH,1910,17.1
DZ.CH,1911,17.47
DZ.CH,1912,17.18
DZ.CH,1913,17.55
DZ.CH,1914,17.35
DZ.CH,1915,17.13
DZ.CH,1916,17.17
DZ.CH,1917,16.67
DZ.CH,1918,16.75
DZ.CH,1919,16.62
DZ.CH,1920,17.25
DZ.CH,1921,17.41
DZ.CH,1922,17.21
DZ.CH,1923,17.24
DZ.CH,1924,17.79
DZ.CH,1925,16.59
DZ.CH,1926,17.99
DZ.CH,1927,17.71
DZ.CH,1928,17.65
DZ.CH,1929,17.28
DZ.CH,1930,17.75
DZ.CH,1931,17.44
DZ.CH,1932,17.01
DZ.CH,1933,17.49
DZ.CH,1934,17.19
DZ.CH,1935,17.22
DZ.CH,1936,17.07
DZ.CH,1937,17.89
DZ.CH,1938,17.18
DZ.CH,1939,17.1
DZ.CH,1940,17.49
DZ.CH,1941,17.04
DZ.CH,1942,17.88
DZ.CH,1943,17.95
DZ.CH,1944,17.3
DZ.CH,1945,18.23
DZ.CH,1946,17.81
DZ.CH,1947,18.1
DZ.CH,1948,18.09
DZ.CH,1949,18.17
DZ.CH,1950,18.19
DZ.CH,1951,17.6
DZ.CH,1952,18.19
DZ.CH,1953,17.89
DZ.CH,1954,17.58
DZ.CH,1955,18.7
DZ.CH,1956,17.09
DZ.CH,1957,17.53
DZ.CH,1958,18.15
DZ.CH,1959,18.15
DZ.CH,1960,17.9
DZ.CH,1961,18.64
DZ.CH,1962,17.82
DZ.CH,1963,17.68
DZ.CH,1964,18.13
DZ.CH,1965,17.89
DZ.CH,1966,17.96
DZ.CH,1967,17.82
DZ.CH,1968,17.98
DZ.CH,1969,17.42
DZ.CH,1970,17.75
DZ.CH,1971,17.28
DZ.CH,1972,16.87
DZ.CH,1973,17.25
DZ.CH,1974,17.25
DZ.CH,1975,17.36
DZ.CH,1976,17.14
DZ.CH,1977,17.72
DZ.CH,1978,17.6
DZ.CH,1979,18.01
DZ.CH,1980,17.77
DZ.CH,1981,18.0
DZ.CH,1982,18.12
DZ.CH,1983,18.37
DZ.CH,1984,17.44
DZ.CH,1985,18.22
DZ.CH,1986,18.0
DZ.CH,1987,18.5
DZ.CH,1988,18.21
DZ.CH,1989,18.72
DZ.CH,1990,18.55
DZ.CH,1991,17.56
DZ.CH,1992,17.62
DZ.CH,1993,17.67
DZ.CH,1994,18.69
DZ.CH,1995,18.62
DZ.CH,1996,17.93
DZ.CH,1997,18.81
DZ.CH,1998,18.25
DZ.CH,1999,18.52
DZ.CH,2000,18.6
DZ.CH,2001,18.83
DZ.CH,2002,18.5
DZ.CH,2003,18.85
DZ.CH,2004,18.37
DZ.CH,2005,17.86
DZ.CH,2006,18.96
DZ.CH,2007,18.35
DZ.CH,2008,18.36
DZ.CH,2009,18.79
DZ.CH,2010,18.54
DZ.CH,2011,18.75
DZ.CH,2012,18.44
DZ.CH,2013,18.11
DZ.CH,2014,19.12
DZ.CH,2015,19.08
DZ.CH,2016,19.19
DZ.CH,2017,19.15
DZ.CH,2018,18.58
DZ.CH,2019,18.76
DZ.CH,2020,19.0
DZ.CH,2021,19.11
DZ.CH,2022,19.74
