Geography,Year,Count
DZ.CO,1901,14.28
DZ.CO,1902,14.53
DZ.CO,1903,14.11
DZ.CO,1904,14.5
DZ.CO,1905,14.09
DZ.CO,1906,14.03
DZ.CO,1907,13.9
DZ.CO,1908,14.19
DZ.CO,1909,14.03
DZ.CO,1910,14.0
DZ.CO,1911,14.63
DZ.CO,1912,14.35
DZ.CO,1913,14.59
DZ.CO,1914,14.33
DZ.CO,1915,14.32
DZ.CO,1916,14.53
DZ.CO,1917,13.97
DZ.CO,1918,13.86
DZ.CO,1919,13.87
DZ.CO,1920,14.56
DZ.CO,1921,14.45
DZ.CO,1922,14.57
DZ.CO,1923,14.21
DZ.CO,1924,14.89
DZ.CO,1925,13.95
DZ.CO,1926,14.86
DZ.CO,1927,14.82
DZ.CO,1928,14.69
DZ.CO,1929,14.07
DZ.CO,1930,14.64
DZ.CO,1931,14.67
DZ.CO,1932,14.42
DZ.CO,1933,14.57
DZ.CO,1934,14.37
DZ.CO,1935,14.31
DZ.CO,1936,14.21
DZ.CO,1937,14.84
DZ.CO,1938,14.21
DZ.CO,1939,14.27
DZ.CO,1940,14.55
DZ.CO,1941,14.26
DZ.CO,1942,15.05
DZ.CO,1943,15.23
DZ.CO,1944,14.54
DZ.CO,1945,15.18
DZ.CO,1946,15.13
DZ.CO,1947,15.66
DZ.CO,1948,15.2
DZ.CO,1949,15.11
DZ.CO,1950,15.2
DZ.CO,1951,14.82
DZ.CO,1952,15.36
DZ.CO,1953,14.73
DZ.CO,1954,14.46
DZ.CO,1955,15.59
DZ.CO,1956,14.1
DZ.CO,1957,14.62
DZ.CO,1958,15.25
DZ.CO,1959,15.04
DZ.CO,1960,14.93
DZ.CO,1961,15.44
DZ.CO,1962,14.68
DZ.CO,1963,14.69
DZ.CO,1964,14.91
DZ.CO,1965,14.85
DZ.CO,1966,14.83
DZ.CO,1967,14.91
DZ.CO,1968,14.93
DZ.CO,1969,14.37
DZ.CO,1970,14.7
DZ.CO,1971,14.39
DZ.CO,1972,14.1
DZ.CO,1973,14.48
DZ.CO,1974,14.38
DZ.CO,1975,14.41
DZ.CO,1976,13.93
DZ.CO,1977,15.16
DZ.CO,1978,14.42
DZ.CO,1979,14.87
DZ.CO,1980,14.17
DZ.CO,1981,15.07
DZ.CO,1982,15.37
DZ.CO,1983,15.39
DZ.CO,1984,14.55
DZ.CO,1985,15.34
DZ.CO,1986,15.31
DZ.CO,1987,15.67
DZ.CO,1988,15.58
DZ.CO,1989,15.57
DZ.CO,1990,15.71
DZ.CO,1991,14.63
DZ.CO,1992,14.69
DZ.CO,1993,15.1
DZ.CO,1994,16.33
DZ.CO,1995,15.61
DZ.CO,1996,15.14
DZ.CO,1997,16.07
DZ.CO,1998,15.36
DZ.CO,1999,16.24
DZ.CO,2000,15.94
DZ.CO,2001,16.13
DZ.CO,2002,15.87
DZ.CO,2003,16.23
DZ.CO,2004,15.58
DZ.CO,2005,15.36
DZ.CO,2006,16.2
DZ.CO,2007,15.83
DZ.CO,2008,15.86
DZ.CO,2009,15.8
DZ.CO,2010,15.82
DZ.CO,2011,15.84
DZ.CO,2012,16.18
DZ.CO,2013,15.71
DZ.CO,2014,16.46
DZ.CO,2015,16.1
DZ.CO,2016,16.36
DZ.CO,2017,16.12
DZ.CO,2018,15.98
DZ.CO,2019,16.03
DZ.CO,2020,16.19
DZ.CO,2021,16.59
DZ.CO,2022,16.84
