Geography,Year,Count
DZ.EB,1901,18.19
DZ.EB,1902,18.28
DZ.EB,1903,18.0
DZ.EB,1904,18.41
DZ.EB,1905,17.94
DZ.EB,1906,17.89
DZ.EB,1907,17.76
DZ.EB,1908,17.99
DZ.EB,1909,17.77
DZ.EB,1910,17.94
DZ.EB,1911,18.24
DZ.EB,1912,17.95
DZ.EB,1913,18.28
DZ.EB,1914,18.08
DZ.EB,1915,17.95
DZ.EB,1916,17.95
DZ.EB,1917,17.52
DZ.EB,1918,17.59
DZ.EB,1919,17.53
DZ.EB,1920,18.05
DZ.EB,1921,18.11
DZ.EB,1922,17.98
DZ.EB,1923,17.96
DZ.EB,1924,18.58
DZ.EB,1925,17.51
DZ.EB,1926,18.78
DZ.EB,1927,18.42
DZ.EB,1928,18.31
DZ.EB,1929,18.08
DZ.EB,1930,18.43
DZ.EB,1931,18.21
DZ.EB,1932,17.72
DZ.EB,1933,18.24
DZ.EB,1934,17.86
DZ.EB,1935,18.06
DZ.EB,1936,17.97
DZ.EB,1937,18.75
DZ.EB,1938,18.08
DZ.EB,1939,17.91
DZ.EB,1940,18.56
DZ.EB,1941,18.23
DZ.EB,1942,18.79
DZ.EB,1943,18.72
DZ.EB,1944,18.26
DZ.EB,1945,19.16
DZ.EB,1946,18.71
DZ.EB,1947,18.92
DZ.EB,1948,19.03
DZ.EB,1949,18.96
DZ.EB,1950,18.94
DZ.EB,1951,18.55
DZ.EB,1952,19.01
DZ.EB,1953,18.71
DZ.EB,1954,18.43
DZ.EB,1955,19.57
DZ.EB,1956,17.91
DZ.EB,1957,18.41
DZ.EB,1958,19.01
DZ.EB,1959,18.87
DZ.EB,1960,18.74
DZ.EB,1961,19.38
DZ.EB,1962,18.64
DZ.EB,1963,18.45
DZ.EB,1964,18.76
DZ.EB,1965,18.58
DZ.EB,1966,18.61
DZ.EB,1967,18.49
DZ.EB,1968,18.7
DZ.EB,1969,18.17
DZ.EB,1970,18.48
DZ.EB,1971,17.88
DZ.EB,1972,17.6
DZ.EB,1973,18.07
DZ.EB,1974,18.03
DZ.EB,1975,18.07
DZ.EB,1976,17.8
DZ.EB,1977,18.46
DZ.EB,1978,18.33
DZ.EB,1979,18.72
DZ.EB,1980,18.44
DZ.EB,1981,18.76
DZ.EB,1982,18.78
DZ.EB,1983,19.04
DZ.EB,1984,18.18
DZ.EB,1985,18.89
DZ.EB,1986,18.58
DZ.EB,1987,19.17
DZ.EB,1988,18.8
DZ.EB,1989,19.39
DZ.EB,1990,19.22
DZ.EB,1991,18.17
DZ.EB,1992,18.21
DZ.EB,1993,18.36
DZ.EB,1994,19.31
DZ.EB,1995,19.31
DZ.EB,1996,18.58
DZ.EB,1997,19.35
DZ.EB,1998,18.88
DZ.EB,1999,19.18
DZ.EB,2000,19.19
DZ.EB,2001,19.49
DZ.EB,2002,19.17
DZ.EB,2003,19.37
DZ.EB,2004,18.94
DZ.EB,2005,18.71
DZ.EB,2006,19.59
DZ.EB,2007,19.02
DZ.EB,2008,18.97
DZ.EB,2009,19.44
DZ.EB,2010,19.39
DZ.EB,2011,19.37
DZ.EB,2012,19.17
DZ.EB,2013,18.74
DZ.EB,2014,19.63
DZ.EB,2015,19.65
DZ.EB,2016,19.8
DZ.EB,2017,19.87
DZ.EB,2018,19.0
DZ.EB,2019,19.39
DZ.EB,2020,19.69
DZ.EB,2021,19.78
DZ.EB,2022,20.32
