Geography,Year,Count
DZ.GR,1901,20.93
DZ.GR,1902,21.06
DZ.GR,1903,20.76
DZ.GR,1904,21.09
DZ.GR,1905,20.76
DZ.GR,1906,20.68
DZ.GR,1907,20.57
DZ.GR,1908,20.74
DZ.GR,1909,20.67
DZ.GR,1910,20.76
DZ.GR,1911,21.11
DZ.GR,1912,20.89
DZ.GR,1913,21.09
DZ.GR,1914,20.96
DZ.GR,1915,20.68
DZ.GR,1916,20.64
DZ.GR,1917,20.3
DZ.GR,1918,20.31
DZ.GR,1919,20.4
DZ.GR,1920,20.86
DZ.GR,1921,20.77
DZ.GR,1922,20.78
DZ.GR,1923,20.56
DZ.GR,1924,21.19
DZ.GR,1925,20.32
DZ.GR,1926,21.32
DZ.GR,1927,21.08
DZ.GR,1928,20.97
DZ.GR,1929,20.67
DZ.GR,1930,21.08
DZ.GR,1931,21.01
DZ.GR,1932,20.62
DZ.GR,1933,21.01
DZ.GR,1934,20.65
DZ.GR,1935,20.8
DZ.GR,1936,20.71
DZ.GR,1937,21.31
DZ.GR,1938,20.83
DZ.GR,1939,20.7
DZ.GR,1940,21.19
DZ.GR,1941,20.92
DZ.GR,1942,21.47
DZ.GR,1943,21.43
DZ.GR,1944,20.98
DZ.GR,1945,21.64
DZ.GR,1946,21.44
DZ.GR,1947,21.57
DZ.GR,1948,21.54
DZ.GR,1949,21.52
DZ.GR,1950,21.55
DZ.GR,1951,21.24
DZ.GR,1952,21.68
DZ.GR,1953,21.3
DZ.GR,1954,21.08
DZ.GR,1955,22.06
DZ.GR,1956,20.74
DZ.GR,1957,21.11
DZ.GR,1958,21.7
DZ.GR,1959,21.57
DZ.GR,1960,21.46
DZ.GR,1961,21.89
DZ.GR,1962,21.28
DZ.GR,1963,21.18
DZ.GR,1964,21.35
DZ.GR,1965,21.3
DZ.GR,1966,21.34
DZ.GR,1967,21.25
DZ.GR,1968,21.41
DZ.GR,1969,20.89
DZ.GR,1970,21.19
DZ.GR,1971,20.76
DZ.GR,1972,20.5
DZ.GR,1973,20.88
DZ.GR,1974,20.75
DZ.GR,1975,20.87
DZ.GR,1976,20.54
DZ.GR,1977,21.36
DZ.GR,1978,20.98
DZ.GR,1979,21.41
DZ.GR,1980,21.02
DZ.GR,1981,21.45
DZ.GR,1982,21.47
DZ.GR,1983,21.68
DZ.GR,1984,20.93
DZ.GR,1985,21.56
DZ.GR,1986,21.35
DZ.GR,1987,21.8
DZ.GR,1988,21.54
DZ.GR,1989,21.95
DZ.GR,1990,21.86
DZ.GR,1991,20.87
DZ.GR,1992,20.94
DZ.GR,1993,21.26
DZ.GR,1994,22.01
DZ.GR,1995,21.86
DZ.GR,1996,21.31
DZ.GR,1997,22.04
DZ.GR,1998,21.54
DZ.GR,1999,22.01
DZ.GR,2000,21.89
DZ.GR,2001,22.13
DZ.GR,2002,21.96
DZ.GR,2003,22.08
DZ.GR,2004,21.64
DZ.GR,2005,21.47
DZ.GR,2006,22.23
DZ.GR,2007,21.77
DZ.GR,2008,21.72
DZ.GR,2009,21.99
DZ.GR,2010,21.97
DZ.GR,2011,21.95
DZ.GR,2012,21.94
DZ.GR,2013,21.51
DZ.GR,2014,22.3
DZ.GR,2015,22.17
DZ.GR,2016,22.38
DZ.GR,2017,22.31
DZ.GR,2018,21.79
DZ.GR,2019,21.99
DZ.GR,2020,22.3
DZ.GR,2021,22.46
DZ.GR,2022,22.85
