Geography,Year,Count
DZ.MC,1901,16.63
DZ.MC,1902,16.78
DZ.MC,1903,16.53
DZ.MC,1904,16.97
DZ.MC,1905,16.43
DZ.MC,1906,16.44
DZ.MC,1907,16.34
DZ.MC,1908,16.6
DZ.MC,1909,16.27
DZ.MC,1910,16.44
DZ.MC,1911,16.77
DZ.MC,1912,16.47
DZ.MC,1913,16.88
DZ.MC,1914,16.62
DZ.MC,1915,16.49
DZ.MC,1916,16.49
DZ.MC,1917,16.0
DZ.MC,1918,16.15
DZ.MC,1919,16.04
DZ.MC,1920,16.59
DZ.MC,1921,16.72
DZ.MC,1922,16.52
DZ.MC,1923,16.56
DZ.MC,1924,17.15
DZ.MC,1925,15.96
DZ.MC,1926,17.33
DZ.MC,1927,17.01
DZ.MC,1928,16.95
DZ.MC,1929,16.62
DZ.MC,1930,17.02
DZ.MC,1931,16.71
DZ.MC,1932,16.31
DZ.MC,1933,16.79
DZ.MC,1934,16.46
DZ.MC,1935,16.6
DZ.MC,1936,16.43
DZ.MC,1937,17.25
DZ.MC,1938,16.56
DZ.MC,1939,16.48
DZ.MC,1940,16.95
DZ.MC,1941,16.5
DZ.MC,1942,17.23
DZ.MC,1943,17.24
DZ.MC,1944,16.73
DZ.MC,1945,17.68
DZ.MC,1946,17.18
DZ.MC,1947,17.4
DZ.MC,1948,17.55
DZ.MC,1949,17.52
DZ.MC,1950,17.5
DZ.MC,1951,16.94
DZ.MC,1952,17.54
DZ.MC,1953,17.2
DZ.MC,1954,16.93
DZ.MC,1955,18.07
DZ.MC,1956,16.4
DZ.MC,1957,16.85
DZ.MC,1958,17.42
DZ.MC,1959,17.4
DZ.MC,1960,17.28
DZ.MC,1961,17.96
DZ.MC,1962,17.23
DZ.MC,1963,17.0
DZ.MC,1964,17.38
DZ.MC,1965,17.14
DZ.MC,1966,17.27
DZ.MC,1967,17.1
DZ.MC,1968,17.31
DZ.MC,1969,16.73
DZ.MC,1970,17.06
DZ.MC,1971,16.59
DZ.MC,1972,16.17
DZ.MC,1973,16.6
DZ.MC,1974,16.59
DZ.MC,1975,16.69
DZ.MC,1976,16.46
DZ.MC,1977,17.03
DZ.MC,1978,16.92
DZ.MC,1979,17.36
DZ.MC,1980,17.12
DZ.MC,1981,17.34
DZ.MC,1982,17.42
DZ.MC,1983,17.69
DZ.MC,1984,16.79
DZ.MC,1985,17.51
DZ.MC,1986,17.29
DZ.MC,1987,17.79
DZ.MC,1988,17.5
DZ.MC,1989,18.04
DZ.MC,1990,17.86
DZ.MC,1991,16.84
DZ.MC,1992,16.91
DZ.MC,1993,16.95
DZ.MC,1994,17.95
DZ.MC,1995,17.93
DZ.MC,1996,17.23
DZ.MC,1997,18.08
DZ.MC,1998,17.54
DZ.MC,1999,17.81
DZ.MC,2000,17.85
DZ.MC,2001,18.11
DZ.MC,2002,17.75
DZ.MC,2003,18.1
DZ.MC,2004,17.65
DZ.MC,2005,17.16
DZ.MC,2006,18.24
DZ.MC,2007,17.61
DZ.MC,2008,17.65
DZ.MC,2009,18.08
DZ.MC,2010,17.88
DZ.MC,2011,18.05
DZ.MC,2012,17.73
DZ.MC,2013,17.41
DZ.MC,2014,18.37
DZ.MC,2015,18.36
DZ.MC,2016,18.43
DZ.MC,2017,18.46
DZ.MC,2018,17.82
DZ.MC,2019,18.05
DZ.MC,2020,18.33
DZ.MC,2021,18.41
DZ.MC,2022,19.04
