Geography,Year,Count
DZ.MG,1901,17.46
DZ.MG,1902,17.66
DZ.MG,1903,17.43
DZ.MG,1904,17.89
DZ.MG,1905,17.33
DZ.MG,1906,17.34
DZ.MG,1907,17.23
DZ.MG,1908,17.49
DZ.MG,1909,17.16
DZ.MG,1910,17.35
DZ.MG,1911,17.66
DZ.MG,1912,17.37
DZ.MG,1913,17.77
DZ.MG,1914,17.52
DZ.MG,1915,17.35
DZ.MG,1916,17.36
DZ.MG,1917,16.87
DZ.MG,1918,17.01
DZ.MG,1919,16.9
DZ.MG,1920,17.47
DZ.MG,1921,17.61
DZ.MG,1922,17.4
DZ.MG,1923,17.44
DZ.MG,1924,18.01
DZ.MG,1925,16.81
DZ.MG,1926,18.21
DZ.MG,1927,17.91
DZ.MG,1928,17.85
DZ.MG,1929,17.49
DZ.MG,1930,17.91
DZ.MG,1931,17.62
DZ.MG,1932,17.21
DZ.MG,1933,17.67
DZ.MG,1934,17.35
DZ.MG,1935,17.45
DZ.MG,1936,17.29
DZ.MG,1937,18.11
DZ.MG,1938,17.39
DZ.MG,1939,17.33
DZ.MG,1940,17.75
DZ.MG,1941,17.28
DZ.MG,1942,18.07
DZ.MG,1943,18.11
DZ.MG,1944,17.54
DZ.MG,1945,18.48
DZ.MG,1946,18.01
DZ.MG,1947,18.26
DZ.MG,1948,18.35
DZ.MG,1949,18.37
DZ.MG,1950,18.35
DZ.MG,1951,17.77
DZ.MG,1952,18.39
DZ.MG,1953,18.08
DZ.MG,1954,17.78
DZ.MG,1955,18.89
DZ.MG,1956,17.29
DZ.MG,1957,17.73
DZ.MG,1958,18.32
DZ.MG,1959,18.32
DZ.MG,1960,18.18
DZ.MG,1961,18.83
DZ.MG,1962,18.07
DZ.MG,1963,17.86
DZ.MG,1964,18.31
DZ.MG,1965,18.04
DZ.MG,1966,18.15
DZ.MG,1967,17.98
DZ.MG,1968,18.18
DZ.MG,1969,17.6
DZ.MG,1970,17.96
DZ.MG,1971,17.46
DZ.MG,1972,17.04
DZ.MG,1973,17.47
DZ.MG,1974,17.46
DZ.MG,1975,17.59
DZ.MG,1976,17.35
DZ.MG,1977,17.88
DZ.MG,1978,17.82
DZ.MG,1979,18.23
DZ.MG,1980,17.99
DZ.MG,1981,18.22
DZ.MG,1982,18.33
DZ.MG,1983,18.56
DZ.MG,1984,17.64
DZ.MG,1985,18.39
DZ.MG,1986,18.18
DZ.MG,1987,18.69
DZ.MG,1988,18.39
DZ.MG,1989,18.92
DZ.MG,1990,18.74
DZ.MG,1991,17.75
DZ.MG,1992,17.82
DZ.MG,1993,17.85
DZ.MG,1994,18.83
DZ.MG,1995,18.83
DZ.MG,1996,18.13
DZ.MG,1997,18.98
DZ.MG,1998,18.46
DZ.MG,1999,18.73
DZ.MG,2000,18.74
DZ.MG,2001,18.99
DZ.MG,2002,18.72
DZ.MG,2003,19.04
DZ.MG,2004,18.61
DZ.MG,2005,18.09
DZ.MG,2006,19.17
DZ.MG,2007,18.54
DZ.MG,2008,18.56
DZ.MG,2009,19.03
DZ.MG,2010,18.73
DZ.MG,2011,18.99
DZ.MG,2012,18.67
DZ.MG,2013,18.37
DZ.MG,2014,19.32
DZ.MG,2015,19.27
DZ.MG,2016,19.37
DZ.MG,2017,19.36
DZ.MG,2018,18.8
DZ.MG,2019,18.97
DZ.MG,2020,19.27
DZ.MG,2021,19.31
DZ.MG,2022,19.97
