Geography,Year,Count
DZ.OB,1901,13.94
DZ.OB,1902,14.16
DZ.OB,1903,13.71
DZ.OB,1904,14.09
DZ.OB,1905,13.69
DZ.OB,1906,13.61
DZ.OB,1907,13.52
DZ.OB,1908,13.79
DZ.OB,1909,13.64
DZ.OB,1910,13.63
DZ.OB,1911,14.25
DZ.OB,1912,13.99
DZ.OB,1913,14.27
DZ.OB,1914,13.95
DZ.OB,1915,13.91
DZ.OB,1916,14.14
DZ.OB,1917,13.6
DZ.OB,1918,13.44
DZ.OB,1919,13.51
DZ.OB,1920,14.19
DZ.OB,1921,14.03
DZ.OB,1922,14.18
DZ.OB,1923,13.79
DZ.OB,1924,14.47
DZ.OB,1925,13.57
DZ.OB,1926,14.49
DZ.OB,1927,14.5
DZ.OB,1928,14.33
DZ.OB,1929,13.69
DZ.OB,1930,14.28
DZ.OB,1931,14.28
DZ.OB,1932,14.02
DZ.OB,1933,14.17
DZ.OB,1934,13.95
DZ.OB,1935,13.92
DZ.OB,1936,13.81
DZ.OB,1937,14.43
DZ.OB,1938,13.8
DZ.OB,1939,13.86
DZ.OB,1940,14.13
DZ.OB,1941,13.86
DZ.OB,1942,14.66
DZ.OB,1943,14.87
DZ.OB,1944,14.15
DZ.OB,1945,14.75
DZ.OB,1946,14.75
DZ.OB,1947,15.26
DZ.OB,1948,14.75
DZ.OB,1949,14.7
DZ.OB,1950,14.81
DZ.OB,1951,14.41
DZ.OB,1952,14.94
DZ.OB,1953,14.28
DZ.OB,1954,14.01
DZ.OB,1955,15.15
DZ.OB,1956,13.69
DZ.OB,1957,14.19
DZ.OB,1958,14.79
DZ.OB,1959,14.62
DZ.OB,1960,14.53
DZ.OB,1961,14.95
DZ.OB,1962,14.26
DZ.OB,1963,14.26
DZ.OB,1964,14.48
DZ.OB,1965,14.41
DZ.OB,1966,14.45
DZ.OB,1967,14.45
DZ.OB,1968,14.5
DZ.OB,1969,13.95
DZ.OB,1970,14.29
DZ.OB,1971,13.97
DZ.OB,1972,13.71
DZ.OB,1973,14.1
DZ.OB,1974,13.95
DZ.OB,1975,13.99
DZ.OB,1976,13.49
DZ.OB,1977,14.78
DZ.OB,1978,14.01
DZ.OB,1979,14.47
DZ.OB,1980,13.75
DZ.OB,1981,14.66
DZ.OB,1982,14.98
DZ.OB,1983,14.96
DZ.OB,1984,14.19
DZ.OB,1985,14.93
DZ.OB,1986,14.9
DZ.OB,1987,15.2
DZ.OB,1988,15.17
DZ.OB,1989,15.13
DZ.OB,1990,15.29
DZ.OB,1991,14.23
DZ.OB,1992,14.28
DZ.OB,1993,14.72
DZ.OB,1994,15.92
DZ.OB,1995,15.19
DZ.OB,1996,14.75
DZ.OB,1997,15.65
DZ.OB,1998,15.0
DZ.OB,1999,15.84
DZ.OB,2000,15.52
DZ.OB,2001,15.76
DZ.OB,2002,15.49
DZ.OB,2003,15.85
DZ.OB,2004,15.17
DZ.OB,2005,14.99
DZ.OB,2006,15.78
DZ.OB,2007,15.47
DZ.OB,2008,15.46
DZ.OB,2009,15.4
DZ.OB,2010,15.47
DZ.OB,2011,15.42
DZ.OB,2012,15.8
DZ.OB,2013,15.35
DZ.OB,2014,16.06
DZ.OB,2015,15.7
DZ.OB,2016,15.99
DZ.OB,2017,15.72
DZ.OB,2018,15.6
DZ.OB,2019,15.63
DZ.OB,2020,15.8
DZ.OB,2021,16.2
DZ.OB,2022,16.44
