Geography,Year,Count
DZ.OR,1901,17.14
DZ.OR,1902,17.3
DZ.OR,1903,17.13
DZ.OR,1904,17.6
DZ.OR,1905,17.0
DZ.OR,1906,17.08
DZ.OR,1907,16.92
DZ.OR,1908,17.21
DZ.OR,1909,16.85
DZ.OR,1910,17.02
DZ.OR,1911,17.27
DZ.OR,1912,17.04
DZ.OR,1913,17.42
DZ.OR,1914,17.14
DZ.OR,1915,17.05
DZ.OR,1916,17.06
DZ.OR,1917,16.56
DZ.OR,1918,16.76
DZ.OR,1919,16.66
DZ.OR,1920,17.18
DZ.OR,1921,17.29
DZ.OR,1922,17.05
DZ.OR,1923,17.11
DZ.OR,1924,17.71
DZ.OR,1925,16.52
DZ.OR,1926,17.9
DZ.OR,1927,17.53
DZ.OR,1928,17.5
DZ.OR,1929,17.19
DZ.OR,1930,17.58
DZ.OR,1931,17.25
DZ.OR,1932,16.86
DZ.OR,1933,17.35
DZ.OR,1934,17.02
DZ.OR,1935,17.17
DZ.OR,1936,17.0
DZ.OR,1937,17.84
DZ.OR,1938,17.12
DZ.OR,1939,17.02
DZ.OR,1940,17.5
DZ.OR,1941,17.06
DZ.OR,1942,17.72
DZ.OR,1943,17.76
DZ.OR,1944,17.27
DZ.OR,1945,18.18
DZ.OR,1946,17.59
DZ.OR,1947,17.87
DZ.OR,1948,18.02
DZ.OR,1949,18.05
DZ.OR,1950,18.01
DZ.OR,1951,17.5
DZ.OR,1952,18.07
DZ.OR,1953,17.79
DZ.OR,1954,17.47
DZ.OR,1955,18.58
DZ.OR,1956,16.93
DZ.OR,1957,17.4
DZ.OR,1958,17.95
DZ.OR,1959,17.94
DZ.OR,1960,17.83
DZ.OR,1961,18.48
DZ.OR,1962,17.8
DZ.OR,1963,17.59
DZ.OR,1964,17.92
DZ.OR,1965,17.64
DZ.OR,1966,17.78
DZ.OR,1967,17.59
DZ.OR,1968,17.8
DZ.OR,1969,17.29
DZ.OR,1970,17.61
DZ.OR,1971,17.12
DZ.OR,1972,16.69
DZ.OR,1973,17.17
DZ.OR,1974,17.18
DZ.OR,1975,17.28
DZ.OR,1976,17.05
DZ.OR,1977,17.56
DZ.OR,1978,17.52
DZ.OR,1979,17.93
DZ.OR,1980,17.74
DZ.OR,1981,17.93
DZ.OR,1982,17.96
DZ.OR,1983,18.24
DZ.OR,1984,17.34
DZ.OR,1985,18.07
DZ.OR,1986,17.87
DZ.OR,1987,18.33
DZ.OR,1988,18.09
DZ.OR,1989,18.64
DZ.OR,1990,18.44
DZ.OR,1991,17.46
DZ.OR,1992,17.51
DZ.OR,1993,17.53
DZ.OR,1994,18.49
DZ.OR,1995,18.53
DZ.OR,1996,17.79
DZ.OR,1997,18.65
DZ.OR,1998,18.15
DZ.OR,1999,18.32
DZ.OR,2000,18.39
DZ.OR,2001,18.69
DZ.OR,2002,18.32
DZ.OR,2003,18.67
DZ.OR,2004,18.24
DZ.OR,2005,17.75
DZ.OR,2006,18.76
DZ.OR,2007,18.15
DZ.OR,2008,18.21
DZ.OR,2009,18.64
DZ.OR,2010,18.42
DZ.OR,2011,18.65
DZ.OR,2012,18.3
DZ.OR,2013,17.99
DZ.OR,2014,18.93
DZ.OR,2015,19.0
DZ.OR,2016,19.03
DZ.OR,2017,19.04
DZ.OR,2018,18.44
DZ.OR,2019,18.67
DZ.OR,2020,18.97
DZ.OR,2021,18.97
DZ.OR,2022,19.58
