Geography,Year,Count
DZ.SA,1901,14.51
DZ.SA,1902,14.73
DZ.SA,1903,14.22
DZ.SA,1904,14.65
DZ.SA,1905,14.26
DZ.SA,1906,14.19
DZ.SA,1907,14.11
DZ.SA,1908,14.37
DZ.SA,1909,14.27
DZ.SA,1910,14.18
DZ.SA,1911,14.88
DZ.SA,1912,14.61
DZ.SA,1913,14.9
DZ.SA,1914,14.53
DZ.SA,1915,14.52
DZ.SA,1916,14.75
DZ.SA,1917,14.21
DZ.SA,1918,14.03
DZ.SA,1919,14.18
DZ.SA,1920,14.96
DZ.SA,1921,14.66
DZ.SA,1922,14.82
DZ.SA,1923,14.41
DZ.SA,1924,15.05
DZ.SA,1925,14.27
DZ.SA,1926,15.14
DZ.SA,1927,15.23
DZ.SA,1928,14.99
DZ.SA,1929,14.39
DZ.SA,1930,14.96
DZ.SA,1931,14.86
DZ.SA,1932,14.6
DZ.SA,1933,14.74
DZ.SA,1934,14.54
DZ.SA,1935,14.48
DZ.SA,1936,14.38
DZ.SA,1937,14.98
DZ.SA,1938,14.38
DZ.SA,1939,14.46
DZ.SA,1940,14.67
DZ.SA,1941,14.45
DZ.SA,1942,15.26
DZ.SA,1943,15.56
DZ.SA,1944,14.75
DZ.SA,1945,15.33
DZ.SA,1946,15.33
DZ.SA,1947,15.81
DZ.SA,1948,15.28
DZ.SA,1949,15.27
DZ.SA,1950,15.38
DZ.SA,1951,14.94
DZ.SA,1952,15.49
DZ.SA,1953,14.81
DZ.SA,1954,14.53
DZ.SA,1955,15.66
DZ.SA,1956,14.24
DZ.SA,1957,14.72
DZ.SA,1958,15.33
DZ.SA,1959,15.14
DZ.SA,1960,15.12
DZ.SA,1961,15.33
DZ.SA,1962,14.82
DZ.SA,1963,14.78
DZ.SA,1964,15.01
DZ.SA,1965,14.94
DZ.SA,1966,15.01
DZ.SA,1967,14.99
DZ.SA,1968,15.05
DZ.SA,1969,14.51
DZ.SA,1970,14.84
DZ.SA,1971,14.51
DZ.SA,1972,14.28
DZ.SA,1973,14.68
DZ.SA,1974,14.51
DZ.SA,1975,14.54
DZ.SA,1976,14.03
DZ.SA,1977,15.35
DZ.SA,1978,14.55
DZ.SA,1979,15.02
DZ.SA,1980,14.29
DZ.SA,1981,15.23
DZ.SA,1982,15.56
DZ.SA,1983,15.49
DZ.SA,1984,14.78
DZ.SA,1985,15.48
DZ.SA,1986,15.46
DZ.SA,1987,15.66
DZ.SA,1988,15.74
DZ.SA,1989,15.63
DZ.SA,1990,15.81
DZ.SA,1991,14.78
DZ.SA,1992,14.84
DZ.SA,1993,15.31
DZ.SA,1994,16.47
DZ.SA,1995,15.74
DZ.SA,1996,15.33
DZ.SA,1997,16.2
DZ.SA,1998,15.56
DZ.SA,1999,16.41
DZ.SA,2000,16.07
DZ.SA,2001,16.33
DZ.SA,2002,16.07
DZ.SA,2003,16.41
DZ.SA,2004,15.74
DZ.SA,2005,15.59
DZ.SA,2006,16.32
DZ.SA,2007,16.04
DZ.SA,2008,16.04
DZ.SA,2009,15.96
DZ.SA,2010,16.07
DZ.SA,2011,15.95
DZ.SA,2012,16.4
DZ.SA,2013,15.94
DZ.SA,2014,16.59
DZ.SA,2015,16.25
DZ.SA,2016,16.51
DZ.SA,2017,16.23
DZ.SA,2018,16.16
DZ.SA,2019,16.18
DZ.SA,2020,16.32
DZ.SA,2021,16.74
DZ.SA,2022,16.98
