Geography,Year,Count
DZ.SD,1901,15.17
DZ.SD,1902,15.32
DZ.SD,1903,15.06
DZ.SD,1904,15.49
DZ.SD,1905,14.96
DZ.SD,1906,14.95
DZ.SD,1907,14.85
DZ.SD,1908,15.12
DZ.SD,1909,14.8
DZ.SD,1910,14.96
DZ.SD,1911,15.3
DZ.SD,1912,14.99
DZ.SD,1913,15.39
DZ.SD,1914,15.16
DZ.SD,1915,15.02
DZ.SD,1916,15.02
DZ.SD,1917,14.55
DZ.SD,1918,14.67
DZ.SD,1919,14.57
DZ.SD,1920,15.11
DZ.SD,1921,15.25
DZ.SD,1922,15.06
DZ.SD,1923,15.1
DZ.SD,1924,15.7
DZ.SD,1925,14.52
DZ.SD,1926,15.88
DZ.SD,1927,15.5
DZ.SD,1928,15.45
DZ.SD,1929,15.15
DZ.SD,1930,15.55
DZ.SD,1931,15.21
DZ.SD,1932,14.83
DZ.SD,1933,15.31
DZ.SD,1934,14.96
DZ.SD,1935,15.13
DZ.SD,1936,14.99
DZ.SD,1937,15.8
DZ.SD,1938,15.11
DZ.SD,1939,15.02
DZ.SD,1940,15.51
DZ.SD,1941,15.07
DZ.SD,1942,15.78
DZ.SD,1943,15.79
DZ.SD,1944,15.28
DZ.SD,1945,16.24
DZ.SD,1946,15.75
DZ.SD,1947,15.94
DZ.SD,1948,16.11
DZ.SD,1949,16.05
DZ.SD,1950,16.05
DZ.SD,1951,15.55
DZ.SD,1952,16.1
DZ.SD,1953,15.75
DZ.SD,1954,15.5
DZ.SD,1955,16.67
DZ.SD,1956,14.95
DZ.SD,1957,15.44
DZ.SD,1958,16.01
DZ.SD,1959,15.95
DZ.SD,1960,15.83
DZ.SD,1961,16.5
DZ.SD,1962,15.77
DZ.SD,1963,15.53
DZ.SD,1964,15.89
DZ.SD,1965,15.68
DZ.SD,1966,15.75
DZ.SD,1967,15.62
DZ.SD,1968,15.85
DZ.SD,1969,15.28
DZ.SD,1970,15.59
DZ.SD,1971,15.08
DZ.SD,1972,14.68
DZ.SD,1973,15.16
DZ.SD,1974,15.14
DZ.SD,1975,15.22
DZ.SD,1976,14.98
DZ.SD,1977,15.56
DZ.SD,1978,15.45
DZ.SD,1979,15.86
DZ.SD,1980,15.62
DZ.SD,1981,15.87
DZ.SD,1982,15.92
DZ.SD,1983,16.21
DZ.SD,1984,15.3
DZ.SD,1985,16.04
DZ.SD,1986,15.77
DZ.SD,1987,16.33
DZ.SD,1988,15.99
DZ.SD,1989,16.54
DZ.SD,1990,16.37
DZ.SD,1991,15.35
DZ.SD,1992,15.38
DZ.SD,1993,15.46
DZ.SD,1994,16.49
DZ.SD,1995,16.44
DZ.SD,1996,15.72
DZ.SD,1997,16.58
DZ.SD,1998,16.02
DZ.SD,1999,16.3
DZ.SD,2000,16.37
DZ.SD,2001,16.67
DZ.SD,2002,16.25
DZ.SD,2003,16.57
DZ.SD,2004,16.09
DZ.SD,2005,15.74
DZ.SD,2006,16.74
DZ.SD,2007,16.13
DZ.SD,2008,16.12
DZ.SD,2009,16.59
DZ.SD,2010,16.46
DZ.SD,2011,16.53
DZ.SD,2012,16.24
DZ.SD,2013,15.88
DZ.SD,2014,16.84
DZ.SD,2015,16.87
DZ.SD,2016,16.94
DZ.SD,2017,17.01
DZ.SD,2018,16.27
DZ.SD,2019,16.55
DZ.SD,2020,16.82
DZ.SD,2021,16.92
DZ.SD,2022,17.52
