Geography,Year,Count
DZ.TB,1901,15.48
DZ.TB,1902,15.68
DZ.TB,1903,15.19
DZ.TB,1904,15.58
DZ.TB,1905,15.22
DZ.TB,1906,15.13
DZ.TB,1907,15.04
DZ.TB,1908,15.31
DZ.TB,1909,15.22
DZ.TB,1910,15.15
DZ.TB,1911,15.81
DZ.TB,1912,15.56
DZ.TB,1913,15.84
DZ.TB,1914,15.46
DZ.TB,1915,15.43
DZ.TB,1916,15.68
DZ.TB,1917,15.16
DZ.TB,1918,14.97
DZ.TB,1919,15.14
DZ.TB,1920,15.84
DZ.TB,1921,15.53
DZ.TB,1922,15.74
DZ.TB,1923,15.28
DZ.TB,1924,15.99
DZ.TB,1925,15.17
DZ.TB,1926,16.02
DZ.TB,1927,16.06
DZ.TB,1928,15.86
DZ.TB,1929,15.23
DZ.TB,1930,15.81
DZ.TB,1931,15.84
DZ.TB,1932,15.53
DZ.TB,1933,15.69
DZ.TB,1934,15.46
DZ.TB,1935,15.45
DZ.TB,1936,15.32
DZ.TB,1937,15.93
DZ.TB,1938,15.35
DZ.TB,1939,15.39
DZ.TB,1940,15.6
DZ.TB,1941,15.39
DZ.TB,1942,16.17
DZ.TB,1943,16.42
DZ.TB,1944,15.65
DZ.TB,1945,16.23
DZ.TB,1946,16.27
DZ.TB,1947,16.75
DZ.TB,1948,16.2
DZ.TB,1949,16.17
DZ.TB,1950,16.29
DZ.TB,1951,15.88
DZ.TB,1952,16.41
DZ.TB,1953,15.73
DZ.TB,1954,15.42
DZ.TB,1955,16.59
DZ.TB,1956,15.14
DZ.TB,1957,15.56
DZ.TB,1958,16.2
DZ.TB,1959,16.04
DZ.TB,1960,16.09
DZ.TB,1961,16.27
DZ.TB,1962,15.73
DZ.TB,1963,15.73
DZ.TB,1964,15.93
DZ.TB,1965,15.87
DZ.TB,1966,15.96
DZ.TB,1967,15.91
DZ.TB,1968,15.97
DZ.TB,1969,15.45
DZ.TB,1970,15.78
DZ.TB,1971,15.44
DZ.TB,1972,15.24
DZ.TB,1973,15.63
DZ.TB,1974,15.44
DZ.TB,1975,15.47
DZ.TB,1976,14.96
DZ.TB,1977,16.31
DZ.TB,1978,15.5
DZ.TB,1979,15.98
DZ.TB,1980,15.25
DZ.TB,1981,16.17
DZ.TB,1982,16.5
DZ.TB,1983,16.43
DZ.TB,1984,15.74
DZ.TB,1985,16.41
DZ.TB,1986,16.41
DZ.TB,1987,16.61
DZ.TB,1988,16.69
DZ.TB,1989,16.58
DZ.TB,1990,16.74
DZ.TB,1991,15.71
DZ.TB,1992,15.74
DZ.TB,1993,16.25
DZ.TB,1994,17.37
DZ.TB,1995,16.65
DZ.TB,1996,16.28
DZ.TB,1997,17.13
DZ.TB,1998,16.53
DZ.TB,1999,17.36
DZ.TB,2000,16.97
DZ.TB,2001,17.28
DZ.TB,2002,17.04
DZ.TB,2003,17.35
DZ.TB,2004,16.68
DZ.TB,2005,16.53
DZ.TB,2006,17.27
DZ.TB,2007,17.0
DZ.TB,2008,16.99
DZ.TB,2009,16.93
DZ.TB,2010,17.05
DZ.TB,2011,16.92
DZ.TB,2012,17.33
DZ.TB,2013,16.92
DZ.TB,2014,17.58
DZ.TB,2015,17.22
DZ.TB,2016,17.51
DZ.TB,2017,17.23
DZ.TB,2018,17.14
DZ.TB,2019,17.15
DZ.TB,2020,17.31
DZ.TB,2021,17.71
DZ.TB,2022,17.94
