Geography,Year,Count
DZ.TM,1901,25.02
DZ.TM,1902,25.05
DZ.TM,1903,25.09
DZ.TM,1904,25.09
DZ.TM,1905,25.03
DZ.TM,1906,25.07
DZ.TM,1907,25.02
DZ.TM,1908,25.04
DZ.TM,1909,25.06
DZ.TM,1910,25.05
DZ.TM,1911,25.0
DZ.TM,1912,25.05
DZ.TM,1913,25.1
DZ.TM,1914,25.12
DZ.TM,1915,24.97
DZ.TM,1916,24.88
DZ.TM,1917,24.92
DZ.TM,1918,24.9
DZ.TM,1919,25.09
DZ.TM,1920,25.09
DZ.TM,1921,25.08
DZ.TM,1922,25.01
DZ.TM,1923,25.03
DZ.TM,1924,25.11
DZ.TM,1925,24.97
DZ.TM,1926,25.23
DZ.TM,1927,25.25
DZ.TM,1928,25.24
DZ.TM,1929,25.2
DZ.TM,1930,25.64
DZ.TM,1931,25.66
DZ.TM,1932,25.0
DZ.TM,1933,25.06
DZ.TM,1934,25.1
DZ.TM,1935,25.35
DZ.TM,1936,25.34
DZ.TM,1937,25.27
DZ.TM,1938,25.28
DZ.TM,1939,25.19
DZ.TM,1940,25.1
DZ.TM,1941,25.55
DZ.TM,1942,25.44
DZ.TM,1943,25.16
DZ.TM,1944,25.09
DZ.TM,1945,24.92
DZ.TM,1946,25.12
DZ.TM,1947,25.28
DZ.TM,1948,24.87
DZ.TM,1949,25.18
DZ.TM,1950,24.52
DZ.TM,1951,25.33
DZ.TM,1952,24.73
DZ.TM,1953,24.84
DZ.TM,1954,24.7
DZ.TM,1955,25.2
DZ.TM,1956,24.87
DZ.TM,1957,24.72
DZ.TM,1958,25.16
DZ.TM,1959,25.11
DZ.TM,1960,24.97
DZ.TM,1961,24.63
DZ.TM,1962,24.91
DZ.TM,1963,25.12
DZ.TM,1964,24.94
DZ.TM,1965,24.74
DZ.TM,1966,25.16
DZ.TM,1967,24.84
DZ.TM,1968,25.06
DZ.TM,1969,25.53
DZ.TM,1970,25.19
DZ.TM,1971,25.03
DZ.TM,1972,25.18
DZ.TM,1973,25.13
DZ.TM,1974,24.62
DZ.TM,1975,24.76
DZ.TM,1976,24.71
DZ.TM,1977,25.03
DZ.TM,1978,25.29
DZ.TM,1979,25.4
DZ.TM,1980,25.31
DZ.TM,1981,25.09
DZ.TM,1982,25.07
DZ.TM,1983,25.29
DZ.TM,1984,25.27
DZ.TM,1985,25.17
DZ.TM,1986,25.09
DZ.TM,1987,25.68
DZ.TM,1988,25.28
DZ.TM,1989,25.15
DZ.TM,1990,25.65
DZ.TM,1991,25.07
DZ.TM,1992,24.91
DZ.TM,1993,25.35
DZ.TM,1994,25.16
DZ.TM,1995,25.48
DZ.TM,1996,25.57
DZ.TM,1997,25.59
DZ.TM,1998,25.63
DZ.TM,1999,25.62
DZ.TM,2000,25.52
DZ.TM,2001,25.66
DZ.TM,2002,25.72
DZ.TM,2003,25.82
DZ.TM,2004,25.73
DZ.TM,2005,25.82
DZ.TM,2006,25.54
DZ.TM,2007,25.64
DZ.TM,2008,25.3
DZ.TM,2009,25.98
DZ.TM,2010,26.27
DZ.TM,2011,25.89
DZ.TM,2012,25.71
DZ.TM,2013,25.55
DZ.TM,2014,25.79
DZ.TM,2015,25.52
DZ.TM,2016,25.85
DZ.TM,2017,25.52
DZ.TM,2018,25.63
DZ.TM,2019,25.51
DZ.TM,2020,25.48
DZ.TM,2021,25.63
DZ.TM,2022,25.46
